Date,Price,Open,High,Low,Vol.,Change %
02/10/2023,21234,21575,21589,21196,,-1.81%
02/09/2023,21624.36,21154.25,21637.55,21151.27,1.93B,1.60%
02/08/2023,21283.52,21283.9,21443.48,21178.87,1.89B,-0.07%
02/07/2023,21298.7,21288.39,21512.21,21259.21,1.78B,0.36%
02/06/2023,21222.16,21349.17,21349.17,21085.72,2.31B,-2.02%
02/03/2023,21660.47,21811.08,21820.78,21459.65,2.41B,-1.36%
02/02/2023,21958.36,22276.23,22311.96,21930.53,2.40B,-0.52%
02/01/2023,22072.18,21920.8,22072.18,21703.6,2.55B,1.05%
01/31/2023,21842.33,22190.27,22284.32,21631.55,3.30B,-1.03%
01/30/2023,22069.73,22579.88,22623.81,21992.51,3.80B,-2.73%
01/27/2023,22688.9,22614.92,22700.85,22483.78,2.01B,0.54%
01/26/2023,22566.78,22386.37,22566.78,22329.07,2.46B,2.37%
01/20/2023,22044.65,21812.46,22051.77,21754.35,1.96B,1.82%
01/19/2023,21650.98,21452.26,21754.08,21383.03,1.66B,-0.12%
01/18/2023,21678,21514.8,21691.67,21422.19,2.49B,0.47%
01/17/2023,21577.64,21678.05,21797.62,21417.25,2.31B,-0.78%
01/16/2023,21746.72,21818.65,21947.55,21572.51,2.56B,0.04%
01/13/2023,21738.66,21605.07,21770.08,21474.98,2.46B,1.04%
01/12/2023,21514.1,21599.82,21698.94,21223.84,2.83B,0.36%
01/11/2023,21436.05,21463.82,21686.3,21327.41,2.97B,0.49%
01/10/2023,21331.46,21370.42,21395.42,21187.73,2.54B,-0.27%
01/09/2023,21388.34,21295.94,21470.69,21216.92,2.70B,1.89%
01/06/2023,20991.64,21220.89,21282.71,20862.77,2.75B,-0.29%
01/05/2023,21052.17,21295.87,21396.09,20962.4,2.88B,1.25%
01/04/2023,20793.11,20319.98,20793.11,20233.39,3.02B,3.22%
01/03/2023,20145.29,19570.43,20212.55,19303.73,2.29B,1.84%
12/30/2022,19781.41,20030.85,20073.92,19781.41,1.75B,0.20%
12/29/2022,19741.14,19648.4,19764.52,19539.84,1.99B,-0.79%
12/28/2022,19898.91,19787.94,20099.77,19787.94,2.82B,1.56%
12/23/2022,19593.06,19382.23,19686.77,19380.47,1.36B,-0.44%
12/22/2022,19679.22,19537.45,19735,19475.68,1.94B,2.71%
12/21/2022,19160.49,19190.91,19255.74,19063.3,1.35B,0.34%
12/20/2022,19094.8,19156.94,19283.14,18885.2,1.94B,-1.33%
12/19/2022,19352.81,19472.21,19786.29,19255.95,2.24B,-0.50%
12/16/2022,19450.67,19343.7,19621.13,19130.53,2.88B,0.42%
12/15/2022,19368.59,19612.67,19675.68,19233.86,2.24B,-1.55%
12/14/2022,19673.45,19775.33,19859.75,19528.71,2.76B,0.39%
12/13/2022,19596.2,19458.02,19707.75,19382.3,2.58B,0.68%
12/12/2022,19463.63,19594.52,19718.08,19366.22,3.12B,-2.20%
12/09/2022,19900.87,19484.23,19926.48,19404.5,4.02B,2.32%
12/08/2022,19450.23,18965.05,19521.6,18965.05,2.86B,3.38%
12/07/2022,18814.82,19380.8,19737.31,18799.81,5.31B,-3.22%
12/06/2022,19441.18,19211.7,19569.67,19202.87,3.55B,-0.40%
12/05/2022,19518.29,19221.68,19539.6,19035.14,4.89B,4.51%
12/02/2022,18675.35,18785.28,18841.22,18530.82,3.76B,-0.33%
12/01/2022,18736.44,19058.9,19237.45,18679.35,4.26B,0.75%
11/30/2022,18597.23,18141.56,18645.35,18052.32,5.36B,2.16%
11/29/2022,18204.68,17558.6,18204.68,17536.45,4.27B,5.24%
11/28/2022,17297.94,17000.23,17364.21,16833.68,2.80B,-1.57%
11/25/2022,17573.58,17673.2,17673.2,17412.04,3.18B,-0.49%
11/24/2022,17660.9,17684.53,17759.24,17517.12,2.91B,0.78%
11/23/2022,17523.81,17460.9,17640.84,17375.96,2.42B,0.57%
11/22/2022,17424.41,17625.19,17751.93,17287.6,3.02B,-1.31%
11/21/2022,17655.91,17654.15,17746.34,17389.45,2.23B,-1.87%
11/18/2022,17992.54,18316.36,18378.06,17910.19,2.79B,-0.29%
11/17/2022,18045.66,18071.6,18220.81,17711.84,2.93B,-1.15%
11/16/2022,18256.48,18169.21,18414.09,18031.87,3.92B,-0.47%
