Date,Price,Open,High,Low,Vol.,Change %
02/08/2023,3947.9,3903.91,3965.47,3903.91,335.67M,1.07%
02/07/2023,3906.08,3893.29,3944.05,3893.29,375.91M,0.40%
02/06/2023,3890.65,3914.6,3914.6,3861.81,369.02M,-1.37%
02/03/2023,3944.84,4001.15,4001.15,3919.93,405.28M,-1.30%
02/02/2023,3996.7,4053.59,4054.59,3993.35,476.30M,-0.92%
02/01/2023,4033.79,3978.73,4037.67,3967.44,455.73M,1.38%
01/31/2023,3978.79,4059.24,4080.29,3957.89,504.86M,-1.56%
01/30/2023,4041.94,4135.85,4135.85,4029.56,606.89M,-2.24%
01/27/2023,4134.35,4114.04,4134.35,4095.09,226.13M,0.53%
01/26/2023,4112.44,4107.85,4121.51,4079.55,285.29M,0.95%
01/20/2023,4073.6,3987.57,4073.8,3987.57,336.17M,2.04%
01/19/2023,3991.98,3940.29,4008.18,3938.32,173.19M,0.61%
01/18/2023,3967.78,3944.43,3970.53,3928.56,372.76M,0.65%
01/17/2023,3942.12,3956.19,3956.57,3913.79,359.21M,-0.64%
01/16/2023,3967.57,3987.79,4030.41,3958.82,507.59M,0.10%
01/13/2023,3963.5,3943.6,3987.14,3942.08,436.88M,0.50%
01/12/2023,3943.81,3925.69,3951.67,3901.71,476.33M,0.66%
01/11/2023,3917.91,3922.06,3950.72,3908.32,494.81M,0.17%
01/10/2023,3911.28,3921.43,3954.11,3902.65,383.04M,-0.41%
01/09/2023,3927.2,3914.2,3941.77,3896.77,464.73M,0.86%
01/06/2023,3893.89,3894.05,3931.34,3873.84,426.64M,0.40%
01/05/2023,3878.22,3875.35,3912.86,3869.33,576.66M,0.48%
01/04/2023,3859.62,3784.88,3860.5,3778.82,522.57M,2.42%
01/03/2023,3768.48,3678.29,3791.96,3627.17,644.13M,1.96%
12/30/2022,3695.99,3678.51,3710.35,3664.29,327.65M,0.96%
12/29/2022,3660.86,3665.53,3669.07,3629.75,354.47M,-0.81%
12/28/2022,3690.74,3642.1,3710.18,3642.1,685.99M,2.09%
12/23/2022,3615.25,3591.22,3635.2,3587.77,434.94M,-0.02%
12/22/2022,3615.98,3614.67,3634.4,3594.41,309.04M,1.06%
12/21/2022,3578.21,3576.18,3589.51,3545.91,205.68M,0.27%
12/20/2022,3568.47,3627.09,3627.09,3544.42,295.83M,-2.09%
12/19/2022,3644.52,3682.17,3709.8,3613.94,286.68M,-1.19%
12/16/2022,3688.23,3659.07,3704.29,3634.71,399.45M,0.96%
12/15/2022,3653.11,3665.85,3675.75,3596.43,311.17M,-0.34%
12/14/2022,3665.65,3683.24,3702.98,3654.64,349.47M,0.21%
12/13/2022,3657.93,3689.34,3689.34,3640.17,349.94M,-0.16%
12/12/2022,3663.81,3673.88,3696.61,3650.44,515.05M,-1.10%
12/09/2022,3704.51,3570.55,3712.12,3570.55,857.64M,3.41%
12/08/2022,3582.44,3546.03,3597.99,3546.03,687.85M,1.50%
12/07/2022,3529.58,3633.51,3653.8,3529.58,655.50M,-3.11%
12/06/2022,3642.95,3602.4,3646.61,3593,469.71M,0.59%
12/05/2022,3621.51,3596.9,3625.04,3579.66,769.74M,2.31%
12/02/2022,3539.74,3604.3,3608.87,3524.77,526.21M,-1.52%
12/01/2022,3594.46,3690.41,3707.64,3584.74,735.62M,-1.66%
11/30/2022,3655.13,3585.86,3658.4,3554.82,1.08B,1.73%
11/29/2022,3593.07,3513.17,3593.07,3512.35,591.51M,3.52%
11/28/2022,3470.99,3424.63,3483.67,3375.18,371.47M,-1.16%
11/25/2022,3511.74,3490.83,3519.22,3464.75,455.93M,0.79%
11/24/2022,3484.29,3444.01,3485.41,3444.01,313.77M,1.51%
11/23/2022,3432.33,3409.84,3458.35,3399.74,452.71M,0.77%
11/22/2022,3406,3396.1,3448.93,3379.94,636.76M,0.28%
11/21/2022,3396.52,3408.46,3408.46,3324.43,336.33M,-1.10%
11/18/2022,3434.16,3480.96,3490.93,3428.07,417.56M,-1.20%
11/17/2022,3475.83,3459.89,3501.44,3424.61,398.22M,-0.39%
11/16/2022,3489.49,3505.33,3544.06,3480.27,633.52M,-0.61%
11/15/2022,3510.78,3451.25,3510.78,3424.27,670.51M,2.03%
11/14/2022,3440.88,3447.62,3486.57,3401.21,992.37M,3.71%
11/11/2022,3317.82,3254.9,3329.4,3230.55,672.07M,5.68%
11/10/2022,3139.36,3158.61,3158.61,3115.28,341.26M,-1.33%
11/09/2022,3181.8,3160.9,3240.71,3160.9,402.63M,0.63%
11/08/2022,3161.93,3180.48,3190.1,3130.78,328.97M,-0.37%
11/07/2022,3173.76,3102.25,3208.47,3092.54,590.48M,2.48%
11/04/2022,3096.91,2967.67,3132.97,2967.67,678.35M,4.59%
