Date,Price,Open,High,Low,Vol.,Change %
02/10/2023,7144.09,7313.73,7313.73,7133.66,,-2.32%
02/09/2023,7313.73,7137.14,7315.12,7137.14,2.28B,1.73%
02/08/2023,7189.29,7219.14,7270.59,7143.69,2.19B,-0.59%
02/07/2023,7232.25,7216.03,7315.73,7210.29,2.38B,0.60%
02/06/2023,7189.37,7242.03,7244.16,7142.41,3.02B,-2.68%
02/03/2023,7387.02,7456.7,7463.28,7318.44,2.69B,-1.58%
02/02/2023,7505.79,7639.02,7644.85,7495.71,2.81B,-0.72%
02/01/2023,7560.4,7459.16,7563.66,7406.39,3.33B,1.82%
01/31/2023,7424.92,7551.42,7586.24,7349.51,3.63B,-0.95%
01/30/2023,7496.07,7719.88,7734.12,7465.05,4.60B,-3.57%
01/27/2023,7773.61,7727.45,7773.61,7692.38,3.07B,0.87%
01/26/2023,7706.72,7608.07,7706.72,7588.24,2.33B,2.98%
01/20/2023,7483.58,7378.29,7494.53,7370.53,1.83B,2.34%
01/19/2023,7312.76,7249.28,7353.26,7229.03,1.57B,-0.38%
01/18/2023,7340.73,7291.08,7358.52,7242.82,2.44B,0.36%
01/17/2023,7314.04,7333.8,7389.15,7249.55,2.16B,-0.49%
01/16/2023,7350.34,7423.45,7445.02,7288.18,2.42B,-0.55%
01/13/2023,7391.18,7326.78,7407.06,7283.32,2.39B,1.09%
01/12/2023,7311.84,7365.86,7403.2,7219.32,2.77B,0.01%
01/11/2023,7310.92,7304.81,7403.95,7271.36,2.94B,0.65%
01/10/2023,7263.63,7279.43,7290.37,7202.42,2.36B,-0.31%
01/09/2023,7286.07,7243.64,7318.73,7199.49,2.50B,1.99%
01/06/2023,7143.64,7250.48,7260.6,7099.89,2.69B,-0.40%
01/05/2023,7172.43,7240.19,7286.73,7136.2,2.64B,1.51%
01/04/2023,7065.53,6891.32,7065.53,6855.36,2.93B,3.39%
01/03/2023,6833.98,6624.79,6860.8,6536.3,2.24B,1.92%
12/30/2022,6704.94,6810.37,6821.62,6702.61,1.75B,0.14%
12/29/2022,6695.57,6670.81,6718.27,6617.79,1.93B,-1.14%
12/28/2022,6772.76,6706.06,6840.31,6706.06,2.77B,1.95%
12/23/2022,6642.9,6599.19,6703.8,6597.06,1.17B,-1.09%
12/22/2022,6716.32,6633.97,6734.45,6617.32,1.85B,3.33%
12/21/2022,6500.18,6496.68,6524.03,6452.07,1.25B,0.43%
12/20/2022,6472.29,6529.04,6546.89,6393.35,1.82B,-2.00%
12/19/2022,6604.62,6651.1,6782.5,6564.74,2.04B,-0.45%
12/16/2022,6634.75,6577.81,6704.02,6515.55,2.72B,0.66%
12/15/2022,6591.46,6684.79,6702.88,6543.38,2.21B,-1.65%
12/14/2022,6702.36,6727.37,6764.1,6633.27,2.49B,0.71%
12/13/2022,6654.85,6622.53,6727.05,6601.66,2.47B,0.40%
12/12/2022,6628.3,6702.67,6753.25,6587.76,3.39B,-3.01%
12/09/2022,6834.21,6675.36,6840.78,6641.59,4.10B,2.51%
12/08/2022,6666.77,6499.54,6690.55,6499.54,2.92B,3.63%
12/07/2022,6432.95,6633.03,6780.83,6424.78,5.98B,-3.31%
12/06/2022,6652.95,6582.72,6726.22,6573.89,3.32B,-0.80%
12/05/2022,6706.29,6576.67,6710.5,6506.86,4.89B,5.30%
12/02/2022,6368.74,6401.93,6435.23,6313.34,3.53B,-0.25%
12/01/2022,6384.9,6546.28,6607.54,6368.08,3.95B,0.16%
11/30/2022,6374.44,6189.7,6398.38,6148,5.20B,2.21%
11/29/2022,6236.72,5987.95,6236.72,5974.16,4.31B,6.20%
11/28/2022,5872.38,5751.96,5892.56,5701.88,2.78B,-1.65%
11/25/2022,5971.1,5992.3,5994.51,5902.14,3.23B,-0.35%
11/24/2022,5992.35,5997.18,6030.85,5937,3.01B,0.79%
11/23/2022,5945.11,5918.32,6001.13,5887.35,2.48B,0.74%
11/22/2022,5901.22,5993.41,6033.42,5854.19,2.88B,-1.68%
11/21/2022,6001.9,5996.35,6044.06,5899.62,2.31B,-2.02%
11/18/2022,6125.4,6252.03,6276.15,6095.73,3.01B,-0.25%
11/17/2022,6140.57,6145.07,6200.78,6010.51,3.37B,-1.37%
11/16/2022,6225.71,6209.82,6299.79,6135.72,4.59B,-0.70%
11/15/2022,6269.29,5986.56,6276.58,5945.6,5.26B,4.84%
11/14/2022,5979.8,6137.07,6137.07,5939.77,5.57B,1.92%
11/11/2022,5867.31,5785.63,5882.16,5672.98,5.44B,8.31%
11/10/2022,5417.13,5454.27,5454.27,5384.16,2.31B,-2.13%
11/09/2022,5534.76,5605.26,5674.33,5486.49,3.53B,-1.21%
11/08/2022,5602.61,5647.01,5680.24,5549.25,2.76B,-0.60%
11/07/2022,5636.21,5414.14,5711.65,5395.69,3.92B,2.80%
11/04/2022,5482.52,5217.02,5626.5,5217.02,3.96B,6.03%
11/03/2022,5170.51,5223.3,5288.47,5165.16,2.31B,-3.45%
11/02/2022,5355.03,5176.07,5374.93,5137.29,2.66B,2.79%
11/01/2022,5209.6,5005.74,5277.71,4994.78,3.76B,5.49%
10/31/2022,4938.56,5013.85,5104.48,4919.03,3.72B,-1.80%
10/28/2022,5028.98,5233.44,5233.44,4995.12,2.79B,-4.08%
10/27/2022,5242.86,5370.64,5396.77,5238.78,2.47B,0.49%
10/26/2022,5217.54,5146.67,5313.62,5122.88,2.60B,0.72%
10/25/2022,5180.31,5150.47,5254.07,5025.88,3.25B,1.29%
10/24/2022,5114.48,5387.22,5429.47,5075.32,3.52B,-7.30%
10/21/2022,5517.44,5535.59,5557.11,5487.43,2.03B,0.09%
10/20/2022,5512.3,5491.75,5573.66,5413.23,2.30B,-1.53%
10/19/2022,5597.79,5716.48,5758.75,5596.12,1.71B,-2.75%
