Date,Price,Open,High,Low,Vol.,Change %
02/08/2023,1598.9,1574.41,1614.18,1574.41,20.98M,1.45%
02/07/2023,1576.09,1580.15,1593.88,1573.83,18.45M,-0.37%
02/06/2023,1582.01,1596.52,1596.52,1570.88,20.25M,-1.23%
02/03/2023,1601.69,1625.93,1629.93,1591.33,21.37M,-1.76%
02/02/2023,1630.37,1656.18,1657.19,1629.74,22.30M,-1.11%
02/01/2023,1648.65,1624.35,1648.65,1622.19,24.38M,1.41%
01/31/2023,1625.67,1657.52,1659.21,1618,39.31M,-1.57%
01/30/2023,1651.63,1649.62,1667.66,1646.05,33.97M,0.43%
01/27/2023,1644.51,1638.93,1645.65,1635.78,15.54M,-0.13%
01/26/2023,1646.6,1650.15,1652.31,1634.89,26.40M,1.50%
01/20/2023,1622.26,1596.82,1623.55,1595.46,23.17M,1.21%
01/19/2023,1602.83,1589.02,1606.37,1584.98,18.15M,0.08%
01/18/2023,1601.56,1600.13,1603.94,1591.19,19.62M,0.08%
01/17/2023,1600.3,1611.41,1611.41,1594.51,21.99M,-0.81%
01/16/2023,1613.29,1584.09,1615.81,1582.11,24.93M,2.17%
01/13/2023,1579.05,1578.76,1588.28,1571.38,24.58M,0.53%
01/12/2023,1570.74,1551.38,1570.98,1546.11,33.19M,1.92%
01/11/2023,1541.22,1553.86,1566.11,1538.85,35.20M,-0.63%
01/10/2023,1550.92,1550.95,1565.02,1543.34,26.30M,0.06%
01/09/2023,1549.92,1553.64,1566.1,1547.43,21.31M,0.69%
01/06/2023,1539.37,1550.51,1553.96,1531.9,24.91M,-0.60%
01/05/2023,1548.67,1549.83,1557.71,1541,33.66M,1.01%
01/04/2023,1533.14,1524.76,1540.35,1517.31,31.00M,1.28%
01/03/2023,1513.75,1505.47,1524.92,1472.04,24.86M,0.39%
12/30/2022,1507.94,1510.12,1518.84,1504.34,19.11M,0.78%
12/29/2022,1496.2,1516.5,1516.5,1490.67,19.19M,-1.47%
12/28/2022,1518.57,1492.25,1530.23,1491.69,34.65M,2.71%
12/23/2022,1478.56,1475.45,1487.27,1475.45,21.58M,-0.60%
12/22/2022,1487.47,1478.78,1489.75,1475.21,23.69M,2.29%
12/21/2022,1454.21,1462.7,1467.51,1447.74,16.05M,-0.47%
12/20/2022,1461.1,1445.65,1471.8,1445.03,20.77M,0.47%
12/19/2022,1454.24,1455.58,1465.39,1446.49,23.70M,-0.69%
12/16/2022,1464.32,1446.79,1470.12,1445.24,43.23M,1.19%
12/15/2022,1447.03,1457.91,1461.18,1439.52,21.83M,-0.54%
12/14/2022,1454.85,1468.27,1471.16,1452.99,28.13M,-0.15%
12/13/2022,1456.98,1459.02,1459.02,1445.03,32.27M,0.69%
12/12/2022,1447.01,1446.79,1457.19,1436.33,36.90M,-0.50%
12/09/2022,1454.32,1410.43,1458.89,1410.43,45.97M,2.76%
12/08/2022,1415.27,1403.5,1417.89,1398.77,40.00M,1.32%
12/07/2022,1396.82,1423.72,1428.65,1395.94,47.41M,-1.78%
12/06/2022,1422.19,1402.5,1422.19,1400.93,35.32M,0.64%
12/05/2022,1413.08,1401.41,1418.18,1397.9,58.98M,1.72%
12/02/2022,1389.15,1415.37,1415.64,1387.29,46.95M,-2.18%
12/01/2022,1420.04,1440.99,1449.17,1414.06,46.18M,-0.94%
11/30/2022,1433.55,1398.01,1433.55,1392.02,67.57M,2.23%
11/29/2022,1402.28,1385.99,1403.97,1384.25,35.35M,2.06%
11/28/2022,1373.95,1373.87,1380.5,1340.32,26.72M,-1.08%
11/25/2022,1388.94,1393.13,1394.58,1382.19,18.21M,-0.41%
11/24/2022,1394.63,1385.5,1394.63,1381.4,18.18M,0.55%
11/23/2022,1386.95,1386.69,1394.24,1378.72,23.41M,0.19%
11/22/2022,1384.32,1386.13,1397.17,1376.63,24.07M,0.23%
11/21/2022,1381.15,1374.17,1382.46,1354.95,23.77M,0.08%
11/18/2022,1379.98,1390.14,1396.77,1374.13,24.92M,-1.34%
11/17/2022,1398.79,1403.13,1410.88,1382.14,28.57M,-0.55%
11/16/2022,1406.48,1406.86,1414.63,1400.28,46.14M,-0.49%
11/15/2022,1413.41,1381.03,1413.73,1367.4,72.93M,3.56%
11/14/2022,1364.77,1373.36,1387.5,1355.17,62.75M,1.11%
11/11/2022,1349.85,1339.15,1359.99,1328.97,54.52M,3.88%
11/10/2022,1299.44,1319.55,1319.55,1291.94,20.86M,-1.53%
11/09/2022,1319.63,1338.52,1349.11,1313.7,28.11M,-0.97%
11/08/2022,1332.57,1330.95,1337.19,1322.26,25.69M,0.67%
11/07/2022,1323.76,1290.28,1334.24,1283.72,50.14M,2.53%
11/04/2022,1291.14,1253.3,1302.82,1253.3,52.39M,2.72%
11/03/2022,1256.93,1271.66,1271.66,1253.33,29.70M,-1.71%
11/02/2022,1278.86,1251.53,1291.46,1239.54,48.67M,2.08%
11/01/2022,1252.77,1244.72,1257.46,1231.54,48.71M,1.58%
10/31/2022,1233.34,1263.19,1264.27,1229.32,50.24M,-2.53%
10/28/2022,1265.34,1285.89,1294.21,1257.39,37.54M,-1.27%
10/27/2022,1281.56,1288.02,1302.22,1278.43,40.43M,-0.20%
10/26/2022,1284.07,1286.84,1302.82,1277.62,39.63M,-0.51%
10/25/2022,1290.61,1294.76,1303.99,1275.72,61.12M,0.44%
10/24/2022,1285,1313.79,1313.79,1271.52,51.61M,-2.01%
10/21/2022,1311.37,1328.35,1328.35,1297.27,25.13M,-1.27%
10/20/2022,1328.28,1326.28,1329.68,1313.38,51.18M,0.30%
10/19/2022,1324.25,1322.03,1350.52,1321.64,22.63M,0.09%
10/18/2022,1323.02,1321.14,1330.61,1311.02,23.67M,0.30%
10/17/2022,1319.08,1324.25,1327.7,1309.49,25.44M,0.01%
10/14/2022,1318.94,1331.83,1349.06,1317.09,30.31M,-0.16%
10/13/2022,1321.01,1329.41,1334.23,1319,33.60M,-0.68%
10/12/2022,1330.05,1355.36,1355.94,1328.2,41.09M,-1.49%
10/11/2022,1350.11,1362.04,1370.83,1346.99,33.68M,-0.60%
10/10/2022,1358.24,1368.38,1369.81,1356.48,28.26M,-2.21%
10/07/2022,1389,1395.93,1395.93,1385.3,15.47M,-1.01%
10/06/2022,1403.18,1407.62,1418.38,1398.64,17.79M,-0.17%
10/05/2022,1405.6,1407.91,1420.91,1386.4,40.12M,3.83%
10/03/2022,1353.78,1350.33,1356.37,1339.77,21.32M,-0.30%
09/30/2022,1357.84,1342.2,1367,1337.91,44.38M,1.01%
09/29/2022,1344.31,1365.31,1383.83,1337.04,47.01M,-0.73%
09/28/2022,1354.22,1385.78,1385.85,1347.55,44.38M,-3.31%
09/27/2022,1400.56,1391.52,1403.6,1384.36,43.82M,1.84%
09/26/2022,1375.2,1443.24,1443.36,1360.16,71.95M,-5.11%
09/23/2022,1449.25,1449.75,1455.04,1437.62,30.23M,-0.29%
09/22/2022,1453.52,1454.65,1454.7,1436,34.19M,-1.23%
09/21/2022,1471.55,1469.24,1482.6,1461.83,41.94M,-0.68%
09/20/2022,1481.6,1463.71,1485.68,1461.99,34.82M,1.17%
09/19/2022,1464.53,1462.86,1467.84,1453.12,32.94M,-0.47%
09/16/2022,1471.49,1444.63,1475.68,1444.63,79.23M,0.53%
09/15/2022,1463.67,1454.46,1467.3,1453.71,53.55M,0.61%
09/14/2022,1454.77,1465.97,1467.97,1450.49,74.06M,-2.09%
09/13/2022,1485.86,1468.21,1500.53,1468.21,36.77M,1.10%
09/09/2022,1469.64,1451.21,1478.63,1451.21,25.38M,1.49%
09/08/2022,1448.07,1455.98,1462.38,1442.4,28.92M,-0.91%
09/07/2022,1461.38,1463.48,1468.27,1454.66,23.11M,-0.88%
09/06/2022,1474.38,1490.35,1492.1,1473.07,25.51M,-0.82%
09/05/2022,1486.59,1479.17,1488.13,1469.44,29.78M,-1.05%
09/02/2022,1502.42,1501.38,1509.04,1498.87,32.86M,-0.32%
09/01/2022,1507.25,1512.01,1512.95,1502.93,32.41M,-0.79%
08/31/2022,1519.31,1524.68,1525.75,1507.62,54.63M,-1.05%
08/30/2022,1535.42,1530.14,1540.15,1510.11,30.41M,0.32%
08/29/2022,1530.47,1555.2,1555.2,1528.25,17.76M,-1.77%
08/26/2022,1558.04,1538.25,1558.37,1532.21,20.31M,1.54%
08/25/2022,1534.41,1519.61,1536.25,1501.63,24.05M,1.14%
08/24/2022,1517.15,1557.11,1557.11,1515.89,26.76M,-1.94%
08/23/2022,1547.24,1575.07,1575.07,1543.25,26.93M,-1.65%
08/22/2022,1573.16,1563.69,1578.5,1559.01,17.25M,0.25%
08/19/2022,1569.24,1554.99,1575.04,1546.9,21.48M,0.82%
08/18/2022,1556.41,1564.74,1565.16,1550.34,14.47M,-0.45%
08/17/2022,1563.4,1555.12,1576.83,1555.12,23.34M,0.22%
08/16/2022,1559.92,1560.74,1569.92,1551.24,24.76M,-0.22%
08/15/2022,1563.41,1568.86,1577.12,1557.25,17.71M,-0.40%
08/12/2022,1569.73,1569.21,1576.72,1564.74,63.12M,0.58%
08/11/2022,1560.65,1547.64,1561.79,1534.64,25.67M,2.20%
08/10/2022,1527.07,1538.54,1542.57,1520.36,22.63M,-0.93%
08/09/2022,1541.33,1534.86,1555.63,1528.63,20.04M,0.75%
08/08/2022,1529.86,1526.54,1543.14,1523.44,20.29M,-0.37%
08/05/2022,1535.55,1511.55,1538.6,1511.55,22.30M,1.53%
08/04/2022,1512.45,1501.05,1515.05,1501.05,21.66M,0.98%
08/03/2022,1497.76,1497.63,1503.33,1485,19.08M,0.26%
08/02/2022,1493.83,1516.81,1521.37,1485.58,34.89M,-2.39%
08/01/2022,1530.46,1541.81,1542.37,1526.06,23.47M,-0.40%
07/29/2022,1536.68,1545.42,1558.7,1530.16,32.83M,-0.42%
07/28/2022,1543.23,1544.08,1544.37,1532.39,20.73M,-0.01%
07/27/2022,1543.43,1546.01,1552.28,1530.01,22.72M,-0.93%
07/26/2022,1557.95,1534.9,1564.24,1532.86,22.42M,1.66%
07/25/2022,1532.51,1532.79,1540.2,1522.75,17.53M,-0.09%
07/22/2022,1533.82,1550.65,1555.71,1528.31,17.36M,-0.77%
07/21/2022,1545.68,1553.92,1561.55,1544.54,20.45M,-0.87%
07/20/2022,1559.32,1566.76,1571.34,1558.9,25.48M,0.05%
07/19/2022,1558.56,1560.94,1565.44,1547.1,24.88M,-0.64%
07/18/2022,1568.54,1548.1,1572.08,1532.54,31.29M,2.53%
