"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","3,055.36","3,060.77","3,082.87","3,041.43","3.83B","0.01%"
"02/07/2023","3,055.17","3,064.98","3,094.51","3,048.42","2.17B","0.03%"
"02/06/2023","3,054.14","3,111.76","3,111.76","3,036.32","3.18B","-2.99%"
"02/03/2023","3,148.13","3,170.48","3,170.48","3,105.71","4.51B","-1.00%"
"02/02/2023","3,179.96","3,227.91","3,228.10","3,174.35","7.15B","-0.61%"
"02/01/2023","3,199.61","3,141.23","3,199.61","3,137.61","2.60B","2.54%"
"01/31/2023","3,120.40","3,158.52","3,179.30","3,091.51","2.05B","-0.19%"
"01/30/2023","3,126.31","3,255.67","3,255.67","3,115.60","3.60B","-3.81%"
"01/27/2023","3,249.99","3,233.13","3,249.99","3,207.23","942.39M","1.16%"
"01/26/2023","3,212.82","3,169.94","3,212.82","3,162.34","1.38B","3.03%"
"01/20/2023","3,118.28","3,083.70","3,118.28","3,075.12","981.33M","1.62%"
"01/19/2023","3,068.54","3,041.42","3,076.51","3,026.24","828.68M","0.52%"
"01/18/2023","3,052.61","3,022.00","3,071.64","3,008.80","2.23B","0.49%"
"01/17/2023","3,037.78","3,064.79","3,087.59","3,014.01","2.07B","-1.21%"
"01/16/2023","3,074.98","3,091.90","3,098.78","3,056.71","4.08B","-0.02%"
"01/13/2023","3,075.64","3,041.81","3,076.52","3,030.75","2.20B","1.33%"
"01/12/2023","3,035.14","3,063.05","3,079.24","3,004.09","2.23B","0.47%"
"01/11/2023","3,020.96","3,037.16","3,066.76","3,006.15","4.82B","-0.56%"
"01/10/2023","3,037.99","3,015.38","3,053.47","2,978.76","4.47B","1.09%"
"01/09/2023","3,005.37","2,972.22","3,009.63","2,965.02","7.75B","2.70%"
"01/06/2023","2,926.35","2,995.71","2,995.71","2,909.87","4.64B","-1.54%"
"01/05/2023","2,972.13","2,970.41","3,002.49","2,956.17","3.10B","1.72%"
"01/04/2023","2,921.75","2,885.76","2,921.75","2,853.22","2.54B","2.04%"
"01/03/2023","2,863.47","2,782.23","2,875.74","2,737.74","3.72B","2.18%"
"12/30/2022","2,802.42","2,821.60","2,829.75","2,795.32","3.82B","0.81%"
"12/29/2022","2,779.89","2,784.25","2,796.92","2,758.36","2.95B","-1.35%"
"12/28/2022","2,818.06","2,829.67","2,847.92","2,799.37","3.75B","0.63%"
"12/23/2022","2,800.39","2,788.67","2,822.43","2,770.69","3.38B","-0.95%"
"12/22/2022","2,827.29","2,784.81","2,835.33","2,771.89","2.59B","3.47%"
"12/21/2022","2,732.51","2,720.51","2,733.27","2,705.94","2.88B","0.92%"
"12/20/2022","2,707.59","2,720.94","2,737.27","2,669.19","3.18B","-1.30%"
"12/19/2022","2,743.36","2,778.38","2,822.61","2,725.92","3.09B","-1.57%"
"12/16/2022","2,787.21","2,761.14","2,800.60","2,728.51","2.87B","0.69%"
"12/15/2022","2,767.99","2,808.13","2,814.71","2,736.58","3.05B","-1.23%"
"12/14/2022","2,802.44","2,822.75","2,836.17","2,770.68","3.72B","0.05%"
"12/13/2022","2,801.10","2,777.42","2,840.89","2,760.80","4.27B","0.82%"
"12/12/2022","2,778.21","2,815.14","2,823.74","2,761.63","4.00B","-2.86%"
"12/09/2022","2,860.14","2,830.83","2,870.57","2,785.61","6.39B","1.49%"
"12/08/2022","2,818.24","2,731.24","2,829.67","2,731.24","4.87B","4.32%"
"12/07/2022","2,701.58","2,767.01","2,886.05","2,696.00","6.31B","-2.32%"
"12/06/2022","2,765.73","2,748.20","2,815.10","2,732.32","5.03B","-0.31%"
"12/05/2022","2,774.26","2,716.02","2,775.58","2,692.71","6.46B","4.91%"
"12/02/2022","2,644.41","2,656.78","2,665.41","2,608.74","7.41B","-0.05%"
"12/01/2022","2,645.72","2,708.89","2,753.09","2,638.47","9.52B","1.26%"
"11/30/2022","2,612.82","2,482.00","2,612.82","2,456.68","10.23B","4.93%"
"11/29/2022","2,490.08","2,384.33","2,490.75","2,372.34","5.37B","5.55%"
"11/28/2022","2,359.11","2,286.38","2,363.87","2,266.67","9.12B","0.50%"
"11/25/2022","2,347.37","2,407.20","2,407.20","2,341.11","7.05B","-2.20%"
"11/24/2022","2,400.27","2,409.99","2,417.09","2,379.99","1.03B","0.71%"
"11/23/2022","2,383.26","2,389.56","2,397.99","2,357.47","1.10B","-0.46%"
"11/22/2022","2,394.17","2,451.03","2,465.39","2,372.07","1.45B","-2.40%"
"11/21/2022","2,453.15","2,477.50","2,477.50","2,408.23","1.86B","-2.39%"
"11/18/2022","2,513.24","2,560.66","2,572.22","2,501.75","2.66B","-0.83%"
"11/17/2022","2,534.39","2,551.38","2,553.97","2,484.09","2.66B","-1.50%"
"11/16/2022","2,573.03","2,572.48","2,622.87","2,557.20","3.29B","-0.40%"
"11/15/2022","2,583.32","2,504.38","2,590.73","2,472.16","4.13B","3.43%"
"11/14/2022","2,497.53","2,536.34","2,568.62","2,485.62","3.86B","1.58%"
"11/11/2022","2,458.69","2,435.35","2,459.18","2,374.91","2.87B","8.73%"
"11/10/2022","2,261.32","2,290.37","2,290.37","2,236.70","1.84B","-2.75%"
"11/09/2022","2,325.21","2,375.82","2,399.00","2,306.99","1.45B","-1.99%"
"11/08/2022","2,372.51","2,396.84","2,409.49","2,341.68","1.24B","-0.62%"
"11/07/2022","2,387.39","2,287.06","2,407.53","2,272.81","2.30B","2.91%"
"11/04/2022","2,319.95","2,193.98","2,365.48","2,193.98","2.38B","6.52%"
"11/03/2022","2,178.02","2,208.14","2,220.23","2,171.82","1.40B","-3.40%"
"11/02/2022","2,254.79","2,142.85","2,258.53","2,131.54","1.26B","4.75%"
"11/01/2022","2,152.51","2,042.42","2,174.71","2,031.00","1.53B","6.11%"
"10/31/2022","2,028.54","2,051.14","2,080.64","2,011.32","1.26B","-1.17%"
"10/28/2022","2,052.55","2,161.66","2,161.66","2,037.47","1.21B","-5.10%"
"10/27/2022","2,162.84","2,206.58","2,238.79","2,158.05","1.52B","0.27%"
"10/26/2022","2,156.92","2,118.03","2,202.72","2,109.94","1.74B","2.19%"
"10/25/2022","2,110.71","2,094.61","2,136.09","2,042.26","1.27B","0.89%"
"10/24/2022","2,092.01","2,184.08","2,196.82","2,076.34","1.71B","-5.46%"
"10/21/2022","2,212.74","2,238.04","2,239.87","2,201.20","1.06B","-0.73%"
"10/20/2022","2,228.93","2,229.71","2,259.18","2,172.60","1.40B","-1.55%"
"10/19/2022","2,264.09","2,321.16","2,322.13","2,262.67","1.20B","-2.86%"
"10/18/2022","2,330.63","2,317.06","2,330.63","2,250.37","1.47B","2.22%"
"10/17/2022","2,280.02","2,279.99","2,298.05","2,215.34","1.41B","-0.66%"
"10/14/2022","2,295.23","2,290.74","2,344.63","2,281.73","1.38B","1.55%"
"10/13/2022","2,260.24","2,321.02","2,335.20","2,259.88","1.06B","-2.49%"
"10/12/2022","2,317.91","2,322.25","2,361.52","2,254.43","1.21B","-0.61%"
"10/11/2022","2,332.20","2,365.25","2,379.98","2,326.30","933.21M","-1.71%"
"10/10/2022","2,372.74","2,458.94","2,458.94","2,363.96","1.29B","-5.28%"
"10/07/2022","2,505.06","2,533.16","2,533.16","2,494.80","642.25M","-2.08%"
"10/06/2022","2,558.40","2,567.32","2,567.32","2,534.39","782.55M","-0.39%"
"10/05/2022","2,568.50","2,513.07","2,574.87","2,509.60","756.85M","6.78%"
"10/03/2022","2,405.44","2,383.75","2,424.96","2,371.63","523.87M","0.12%"
"09/30/2022","2,402.47","2,437.68","2,441.93","2,363.16","674.17M","-2.02%"
"09/29/2022","2,452.06","2,525.67","2,537.19","2,439.74","801.51M","-1.60%"
"09/28/2022","2,491.86","2,570.63","2,570.63","2,475.88","1.31B","-3.62%"
"09/27/2022","2,585.44","2,556.58","2,589.50","2,533.09","1.44B","1.01%"
"09/26/2022","2,559.70","2,525.46","2,594.80","2,522.01","1.11B","1.82%"
"09/23/2022","2,513.87","2,556.23","2,560.97","2,505.56","929.70M","-1.84%"
"09/22/2022","2,560.87","2,557.07","2,568.02","2,522.42","1.14B","-1.79%"
"09/21/2022","2,607.51","2,655.41","2,655.41","2,599.52","1.55B","-2.24%"
"09/20/2022","2,667.33","2,632.53","2,671.40","2,628.52","1.55B","2.08%"
"09/19/2022","2,612.98","2,634.74","2,641.06","2,600.22","1.18B","-1.21%"
"09/16/2022","2,644.90","2,639.39","2,674.10","2,628.59","1.61B","-0.70%"
"09/15/2022","2,663.54","2,676.21","2,694.78","2,650.82","1.08B","-0.67%"
"09/14/2022","2,681.59","2,692.35","2,694.01","2,651.80","4.24B","-2.47%"
"09/13/2022","2,749.52","2,713.84","2,766.49","2,713.45","1.02B","1.73%"
"09/09/2022","2,702.77","2,649.01","2,705.43","2,635.53","1.05B","2.61%"
"09/08/2022","2,633.90","2,665.92","2,679.58","2,624.67","614.40M","-0.83%"
"09/07/2022","2,655.93","2,629.45","2,663.47","2,625.29","766.22M","-0.61%"
"09/06/2022","2,672.12","2,664.06","2,690.15","2,644.71","931.72M","0.95%"
"09/05/2022","2,647.10","2,688.46","2,688.46","2,634.62","1.12B","-2.74%"
"09/02/2022","2,721.63","2,740.33","2,746.31","2,702.36","1.44B","-1.01%"
"09/01/2022","2,749.34","2,804.15","2,804.15","2,739.85","1.39B","-2.47%"
"08/31/2022","2,819.07","2,763.42","2,845.60","2,736.53","1.26B","-0.37%"
"08/30/2022","2,829.40","2,843.88","2,846.08","2,790.80","1.26B","-0.09%"
"08/29/2022","2,831.89","2,841.01","2,841.01","2,813.91","1.81B","-1.46%"
"08/26/2022","2,873.75","2,858.53","2,880.83","2,846.35","1.49B","0.81%"
"08/25/2022","2,850.71","2,793.68","2,850.71","2,792.54","775.46M","2.12%"
"08/24/2022","2,791.45","2,841.74","2,841.94","2,778.05","1.26B","-1.96%"
"08/23/2022","2,847.18","2,892.13","2,893.08","2,825.32","1.34B","-1.83%"
"08/22/2022","2,900.31","2,874.65","2,929.21","2,867.67","3.64B","0.08%"
"08/19/2022","2,897.89","2,879.63","2,907.44","2,877.08","477.62M","0.36%"
"08/18/2022","2,887.41","2,935.19","2,935.49","2,873.05","564.12M","-1.81%"
"08/17/2022","2,940.52","2,913.02","2,942.88","2,888.61","493.82M","1.52%"
"08/16/2022","2,896.51","2,927.00","2,931.01","2,871.24","682.23M","-0.79%"
"08/15/2022","2,919.53","2,917.79","2,948.04","2,908.44","431.44M","-0.13%"
"08/12/2022","2,923.39","2,917.65","2,931.98","2,893.94","421.32M","0.75%"
"08/11/2022","2,901.59","2,858.73","2,901.59","2,845.05","477.44M","3.72%"
"08/10/2022","2,797.40","2,864.17","2,864.17","2,774.78","616.23M","-2.56%"
"08/09/2022","2,871.02","2,886.34","2,907.38","2,858.65","458.03M","-0.59%"
"08/08/2022","2,888.12","2,899.56","2,899.56","2,861.41","545.82M","-0.98%"
"08/05/2022","2,916.76","2,915.38","2,941.03","2,886.26","569.12M","0.87%"
"08/04/2022","2,891.50","2,874.35","2,907.40","2,865.42","842.93M","1.23%"
"08/03/2022","2,856.33","2,869.62","2,907.89","2,840.98","717.51M","0.23%"
"08/02/2022","2,849.67","2,883.02","2,883.02","2,814.48","955.66M","-2.24%"
"08/01/2022","2,915.08","2,878.82","2,923.34","2,846.52","1.17B","1.66%"
"07/29/2022","2,867.51","2,934.18","2,938.93","2,852.40","817.84M","-2.20%"
"07/28/2022","2,932.14","2,924.44","2,943.93","2,902.49","707.72M","0.63%"
"07/27/2022","2,913.89","2,935.65","2,936.99","2,889.97","602.18M","-1.65%"
"07/26/2022","2,962.70","2,930.71","2,967.98","2,920.89","542.75M","1.09%"
"07/25/2022","2,930.89","2,937.43","2,937.49","2,890.93","607.43M","-0.79%"
"07/22/2022","2,954.11","2,964.36","2,981.35","2,933.94","787.94M","0.08%"
