"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","20,975.94","20,984.49","21,137.87","20,843.37","135.55M","-0.01%"
"02/07/2023","20,978.88","21,048.25","21,197.35","20,969.99","148.10M","-0.29%"
"02/06/2023","21,040.21","21,271.87","21,271.87","20,847.69","164.92M","-1.64%"
"02/03/2023","21,390.96","21,706.64","21,734.61","21,241.67","150.15M","-1.34%"
"02/02/2023","21,682.10","21,847.93","21,851.32","21,568.67","180.41M","0.18%"
"02/01/2023","21,643.66","21,320.33","21,643.66","21,314.07","186.04M","1.38%"
"01/31/2023","21,348.47","21,767.79","21,870.56","21,171.84","256.97M","-1.40%"
"01/30/2023","21,651.11","21,996.54","22,115.59","21,576.34","245.01M","-1.28%"
"01/27/2023","21,932.94","21,876.10","22,017.88","21,780.02","110.33M","0.06%"
"01/26/2023","21,920.33","21,975.35","21,986.46","21,751.54","155.68M","1.18%"
"01/20/2023","21,664.76","21,449.60","21,718.02","21,437.31","107.77M","0.52%"
"01/19/2023","21,552.65","21,417.42","21,712.27","21,289.75","109.17M","0.03%"
"01/18/2023","21,545.73","21,632.19","21,773.62","21,383.17","191.29M","-0.59%"
"01/17/2023","21,674.33","22,024.88","22,114.47","21,583.82","175.24M","-1.60%"
"01/16/2023","22,027.37","22,134.35","22,377.68","21,965.14","219.94M","-0.12%"
"01/13/2023","22,053.71","21,708.47","22,069.21","21,627.43","267.94M","1.83%"
"01/12/2023","21,656.80","21,486.58","21,778.37","21,383.03","357.83M","1.06%"
"01/11/2023","21,430.32","21,911.63","22,012.28","21,309.76","456.70M","-2.23%"
"01/10/2023","21,919.74","22,092.18","22,128.13","21,865.75","207.09M","-0.56%"
"01/09/2023","22,043.36","21,741.44","22,071.19","21,737.85","287.44M","2.39%"
"01/06/2023","21,528.74","21,752.05","21,817.74","21,399.56","231.00M","-0.59%"
"01/05/2023","21,655.64","21,334.80","21,811.40","21,295.31","230.17M","2.19%"
"01/04/2023","21,192.05","21,117.12","21,192.05","20,911.49","173.10M","0.97%"
"01/03/2023","20,988.61","20,487.80","21,084.37","20,190.86","147.23M","1.21%"
"12/30/2022","20,737.14","21,122.22","21,161.84","20,687.79","123.07M","-0.88%"
"12/29/2022","20,922.26","21,031.88","21,031.88","20,678.09","116.90M","-0.75%"
"12/28/2022","21,081.21","20,916.74","21,317.06","20,916.74","183.99M","1.54%"
"12/23/2022","20,760.72","20,774.87","21,020.99","20,645.88","106.21M","-0.65%"
"12/22/2022","20,897.26","20,446.12","20,913.33","20,377.11","183.49M","3.50%"
"12/21/2022","20,190.05","20,187.98","20,292.85","20,077.61","116.97M","0.32%"
"12/20/2022","20,125.57","20,393.71","20,434.28","19,841.11","160.86M","-1.86%"
"12/19/2022","20,507.52","20,433.17","20,716.88","20,306.12","181.29M","0.06%"
"12/16/2022","20,496.16","20,352.50","20,550.22","20,154.88","207.05M","0.40%"
"12/15/2022","20,414.64","20,823.60","20,878.33","20,286.19","191.00M","-1.85%"
"12/14/2022","20,800.13","20,548.03","20,958.66","20,472.52","232.98M","1.35%"
"12/13/2022","20,523.35","20,374.57","20,567.31","20,100.53","210.17M","0.81%"
"12/12/2022","20,357.46","20,391.06","20,551.85","20,280.37","238.43M","-1.02%"
"12/09/2022","20,566.29","20,230.71","20,627.83","20,050.94","271.89M","1.57%"
"12/08/2022","20,248.63","19,892.03","20,298.68","19,892.03","201.67M","2.16%"
"12/07/2022","19,821.00","20,229.98","20,709.64","19,804.97","273.00M","-2.40%"
"12/06/2022","20,309.41","20,034.43","20,619.77","19,917.30","261.62M","0.63%"
"12/05/2022","20,181.49","20,405.84","20,442.75","19,924.60","357.40M","1.31%"
"12/02/2022","19,920.80","20,131.25","20,180.55","19,700.91","271.41M","-0.77%"
"12/01/2022","20,074.96","20,205.17","20,531.55","20,010.79","343.92M","0.66%"
"11/30/2022","19,942.49","18,951.70","19,942.49","18,878.10","462.59M","4.36%"
"11/29/2022","19,109.47","18,311.33","19,109.47","18,311.33","216.49M","4.46%"
"11/28/2022","18,293.19","17,642.36","18,343.56","17,413.80","148.02M","1.31%"
"11/25/2022","18,056.06","18,389.10","18,389.10","18,013.92","99.99M","-1.59%"
"11/24/2022","18,347.46","18,200.75","18,453.84","18,200.75","86.96M","1.18%"
"11/23/2022","18,133.21","18,231.31","18,331.03","17,943.87","175.79M","-0.97%"
"11/22/2022","18,311.13","18,472.02","18,706.26","18,170.83","190.37M","-0.92%"
"11/21/2022","18,481.95","18,599.64","18,599.64","18,237.71","199.02M","-2.04%"
"11/18/2022","18,866.42","19,087.16","19,138.49","18,784.24","217.64M","-0.66%"
"11/17/2022","18,992.29","18,997.89","19,166.55","18,756.12","163.35M","-0.46%"
"11/16/2022","19,079.97","19,041.91","19,300.39","18,907.47","220.48M","-0.62%"
"11/15/2022","19,198.90","18,689.73","19,204.38","18,513.03","272.86M","2.82%"
"11/14/2022","18,672.63","18,994.36","19,036.97","18,576.28","335.90M","1.41%"
"11/11/2022","18,413.67","18,489.32","18,690.50","18,047.58","320.17M","3.97%"
"11/10/2022","17,709.75","17,629.62","17,739.73","17,311.83","179.44M","0.32%"
"11/09/2022","17,654.11","17,834.78","17,983.21","17,542.33","199.38M","-0.89%"
"11/08/2022","17,813.19","17,961.48","17,997.34","17,599.87","175.65M","-0.53%"
"11/07/2022","17,907.29","17,558.85","18,091.28","17,392.04","270.83M","1.46%"
"11/04/2022","17,649.37","16,864.78","17,922.81","16,864.78","333.99M","4.57%"
"11/03/2022","16,878.74","16,980.87","17,029.81","16,774.40","193.77M","-2.28%"
"11/02/2022","17,273.25","16,504.24","17,344.37","16,494.43","225.40M","3.85%"
"11/01/2022","16,633.33","15,823.53","16,765.95","15,800.94","254.63M","6.05%"
"10/31/2022","15,684.51","16,007.39","16,007.39","15,650.87","246.17M","-2.04%"
"10/28/2022","16,010.32","16,799.11","16,799.11","15,885.75","255.47M","-4.30%"
"10/27/2022","16,729.39","16,927.55","17,162.98","16,646.22","287.40M","-0.15%"
"10/26/2022","16,754.06","16,516.31","16,904.47","16,287.56","296.80M","0.71%"
"10/25/2022","16,635.24","16,785.02","16,785.02","16,281.65","246.47M","0.37%"
"10/24/2022","16,573.84","17,235.05","17,235.05","16,493.34","284.43M","-4.28%"
"10/21/2022","17,315.15","17,483.30","17,602.01","17,244.15","152.09M","-0.54%"
"10/20/2022","17,409.74","17,654.10","17,673.01","17,247.79","254.10M","-1.91%"
"10/19/2022","17,748.86","18,318.04","18,332.26","17,748.86","177.73M","-3.26%"
"10/18/2022","18,347.91","18,233.50","18,347.91","17,951.67","181.98M","1.21%"
"10/17/2022","18,128.04","18,234.05","18,330.15","17,923.87","189.26M","-0.05%"
"10/14/2022","18,137.73","18,183.34","18,507.39","18,131.16","182.80M","0.39%"
"10/13/2022","18,067.14","18,247.19","18,367.42","18,020.99","187.22M","-1.29%"
"10/12/2022","18,303.52","18,559.60","18,605.32","18,016.42","209.27M","-1.73%"
"10/11/2022","18,626.38","18,823.53","18,928.30","18,570.14","172.53M","-0.79%"
"10/10/2022","18,774.74","19,379.41","19,379.41","18,687.98","206.65M","-4.28%"
"10/07/2022","19,614.20","19,721.27","19,820.61","19,597.01","105.34M","-0.89%"
"10/06/2022","19,790.49","19,869.30","19,912.61","19,715.62","104.25M","-0.42%"
"10/05/2022","19,874.45","19,479.01","19,878.51","19,469.67","188.31M","5.01%"
"10/03/2022","18,925.64","18,774.59","18,938.62","18,629.75","92.84M","-0.48%"
"09/30/2022","19,017.61","19,063.55","19,187.73","18,952.48","134.76M","0.44%"
"09/29/2022","18,934.16","19,279.22","19,357.11","18,816.22","141.60M","-1.16%"
"09/28/2022","19,156.45","19,492.41","19,529.84","19,053.36","193.02M","-2.06%"
"09/27/2022","19,560.23","19,280.13","19,601.49","19,107.04","205.65M","1.61%"
"09/26/2022","19,250.36","19,222.41","19,436.95","19,088.37","183.59M","-0.07%"
"09/23/2022","19,264.31","19,569.15","19,631.61","19,226.81","147.91M","-1.73%"
"09/22/2022","19,603.78","19,462.96","19,639.09","19,309.14","159.29M","-0.07%"
"09/21/2022","19,616.58","19,888.30","19,909.72","19,605.28","134.72M","-1.55%"
"09/20/2022","19,925.12","19,784.92","20,023.11","19,752.22","137.91M","1.14%"
