"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","8,342.66","8,317.01","8,421.43","8,317.01","297.96M","0.79%"
"02/07/2023","8,277.21","8,187.48","8,337.36","8,187.48","299.93M","1.26%"
"02/06/2023","8,173.97","8,203.93","8,208.96","8,126.74","288.65M","-0.95%"
"02/03/2023","8,252.62","8,442.05","8,442.05","8,211.94","414.81M","-2.36%"
"02/02/2023","8,451.94","8,475.39","8,486.88","8,369.81","291.35M","-0.20%"
"02/01/2023","8,468.92","8,341.38","8,504.60","8,316.05","428.66M","1.17%"
"01/31/2023","8,370.57","8,384.20","8,414.40","8,291.06","548.47M","-0.23%"
"01/30/2023","8,390.02","8,545.32","8,547.07","8,351.84","567.19M","-2.11%"
"01/27/2023","8,570.57","8,486.38","8,585.53","8,445.86","316.43M","1.05%"
"01/26/2023","8,481.30","8,462.34","8,533.61","8,351.03","468.66M","0.87%"
"01/20/2023","8,407.87","8,171.65","8,426.60","8,171.65","492.98M","3.93%"
"01/19/2023","8,089.78","8,107.68","8,187.75","8,055.52","283.64M","-0.97%"
"01/18/2023","8,168.69","8,068.35","8,181.59","8,061.97","385.71M","1.37%"
"01/17/2023","8,058.28","8,082.52","8,082.52","8,018.55","311.38M","-0.19%"
"01/16/2023","8,073.53","8,067.37","8,164.19","8,048.67","422.88M","0.74%"
"01/13/2023","8,014.16","7,990.43","8,075.84","7,973.13","475.27M","1.07%"
"01/12/2023","7,929.42","7,827.80","7,972.69","7,823.69","572.95M","1.84%"
"01/11/2023","7,785.85","7,617.45","7,844.24","7,605.48","532.70M","2.42%"
"01/10/2023","7,601.82","7,589.66","7,651.29","7,567.13","543.65M","0.14%"
"01/09/2023","7,590.83","7,611.89","7,611.89","7,552.79","309.46M","0.44%"
"01/06/2023","7,557.93","7,569.15","7,614.43","7,539.32","241.26M","0.07%"
"01/05/2023","7,552.84","7,566.40","7,566.51","7,469.26","380.23M","-0.35%"
"01/04/2023","7,579.29","7,615.44","7,661.84","7,532.96","345.22M","-0.72%"
"01/03/2023","7,634.57","7,526.13","7,652.36","7,465.61","280.45M","1.20%"
"12/30/2022","7,543.90","7,546.91","7,582.41","7,514.40","321.71M","0.40%"
"12/29/2022","7,513.65","7,568.27","7,575.61","7,484.36","604.55M","-1.26%"
"12/28/2022","7,609.37","7,547.07","7,664.73","7,532.48","430.40M","1.81%"
"12/23/2022","7,474.39","7,467.12","7,510.65","7,439.97","316.53M","-0.36%"
"12/22/2022","7,501.53","7,559.94","7,577.90","7,479.09","369.58M","0.02%"
"12/21/2022","7,500.25","7,486.69","7,519.25","7,445.66","462.03M","0.43%"
"12/20/2022","7,467.99","7,473.59","7,516.63","7,440.74","223.49M","-0.53%"
"12/19/2022","7,507.50","7,591.06","7,616.26","7,449.02","257.92M","-1.21%"
"12/16/2022","7,599.26","7,597.82","7,636.01","7,540.85","308.44M","0.31%"
"12/15/2022","7,575.85","7,617.21","7,682.78","7,537.79","217.79M","-0.48%"
"12/14/2022","7,612.50","7,582.05","7,661.63","7,553.06","314.01M","1.08%"
"12/13/2022","7,530.82","7,511.13","7,565.78","7,481.75","297.72M","0.47%"
"12/12/2022","7,495.24","7,435.40","7,507.09","7,404.76","314.58M","0.19%"
"12/09/2022","7,480.87","7,412.03","7,511.58","7,412.03","377.10M","0.68%"
"12/08/2022","7,430.62","7,475.90","7,513.24","7,397.56","327.79M","-0.93%"
"12/07/2022","7,500.47","7,600.72","7,600.72","7,478.30","507.59M","-1.92%"
"12/06/2022","7,647.30","7,566.95","7,647.30","7,525.54","412.30M","0.45%"
"12/05/2022","7,612.80","7,586.47","7,636.34","7,509.52","551.89M","1.46%"
"12/02/2022","7,502.98","7,635.76","7,635.76","7,450.00","713.42M","-1.37%"
"12/01/2022","7,607.44","7,774.06","7,817.66","7,577.11","550.44M","-1.56%"
"11/30/2022","7,728.04","7,570.90","7,742.86","7,554.09","719.26M","1.92%"
"11/29/2022","7,582.49","7,508.29","7,591.41","7,468.96","416.84M","1.81%"
"11/28/2022","7,447.53","7,481.74","7,488.95","7,379.30","316.45M","-2.13%"
"11/25/2022","7,609.87","7,505.43","7,649.43","7,462.23","296.93M","1.58%"
"11/24/2022","7,491.28","7,450.23","7,524.91","7,430.88","236.43M","-0.14%"
"11/23/2022","7,501.65","7,428.93","7,606.73","7,420.43","356.72M","1.47%"
"11/22/2022","7,393.00","7,273.27","7,461.19","7,264.96","389.95M","1.70%"
"11/21/2022","7,269.74","7,259.05","7,277.79","7,168.86","291.52M","-0.88%"
"11/18/2022","7,334.36","7,387.78","7,387.78","7,289.52","328.06M","-0.97%"
"11/17/2022","7,405.86","7,470.29","7,504.33","7,336.73","367.44M","-1.56%"
"11/16/2022","7,523.16","7,509.67","7,593.98","7,509.07","424.50M","0.11%"
"11/15/2022","7,515.11","7,421.96","7,528.87","7,391.00","455.70M","1.27%"
"11/14/2022","7,420.57","7,531.63","7,591.96","7,386.31","532.26M","-0.35%"
"11/11/2022","7,446.37","7,489.76","7,508.74","7,342.95","445.93M","1.56%"
"11/10/2022","7,331.86","7,258.23","7,344.42","7,146.52","353.61M","-0.49%"
"11/09/2022","7,367.94","7,388.43","7,461.72","7,305.22","297.44M","-0.72%"
"11/08/2022","7,421.06","7,459.01","7,475.69","7,359.23","331.18M","0.26%"
"11/07/2022","7,401.74","7,259.45","7,494.76","7,254.06","466.14M","2.26%"
"11/04/2022","7,238.12","7,076.56","7,331.78","7,055.07","471.42M","2.79%"
"11/03/2022","7,041.77","7,050.25","7,115.18","7,018.69","338.88M","-0.84%"
"11/02/2022","7,101.08","6,971.97","7,152.05","6,910.09","397.95M","1.87%"
"11/01/2022","6,970.52","6,836.53","7,031.46","6,796.72","599.70M","2.93%"
"10/31/2022","6,771.82","7,153.80","7,158.38","6,738.44","1.15B","-5.45%"
"10/28/2022","7,162.02","7,292.66","7,329.29","7,121.35","582.48M","-1.49%"
"10/27/2022","7,270.51","7,307.34","7,382.49","7,254.23","296.89M","0.30%"
"10/26/2022","7,248.48","7,300.11","7,329.28","7,207.26","320.59M","-0.77%"
"10/25/2022","7,305.09","7,254.32","7,324.98","7,133.68","461.72M","0.96%"
"10/24/2022","7,235.31","7,466.73","7,498.01","7,172.81","480.83M","-3.39%"
"10/21/2022","7,489.45","7,417.93","7,527.52","7,384.71","314.13M","1.10%"
"10/20/2022","7,407.64","7,394.23","7,424.95","7,322.28","377.51M","-0.19%"
"10/19/2022","7,421.87","7,434.47","7,498.47","7,390.04","230.58M","-0.44%"
"10/18/2022","7,454.81","7,441.46","7,494.49","7,381.52","246.38M","0.72%"
"10/17/2022","7,401.78","7,392.42","7,446.14","7,295.64","300.34M","0.56%"
"10/14/2022","7,360.65","7,370.78","7,452.35","7,334.75","347.41M","1.16%"
"10/13/2022","7,276.57","7,380.47","7,394.03","7,240.66","333.13M","-1.38%"
"10/12/2022","7,378.55","7,426.17","7,448.38","7,302.78","386.97M","-0.90%"
"10/11/2022","7,445.32","7,542.56","7,546.24","7,416.76","304.43M","-1.33%"
"10/10/2022","7,545.65","7,599.53","7,723.10","7,533.55","401.32M","-0.93%"
"10/07/2022","7,616.43","7,641.53","7,703.78","7,580.94","159.64M","-0.46%"
"10/06/2022","7,651.45","7,630.09","7,673.57","7,614.21","245.81M","0.70%"
"10/05/2022","7,598.41","7,579.80","7,628.75","7,503.15","404.49M","3.65%"
"10/03/2022","7,330.94","7,239.45","7,339.63","7,212.30","232.87M","0.32%"
"09/30/2022","7,307.92","7,232.35","7,355.65","7,217.32","364.57M","1.09%"
"09/29/2022","7,229.31","7,369.40","7,481.07","7,190.65","401.43M","-0.07%"
"09/28/2022","7,234.31","7,397.46","7,440.55","7,213.57","456.79M","-2.31%"
"09/27/2022","7,405.57","7,398.74","7,468.93","7,318.31","379.63M","-0.33%"
"09/26/2022","7,429.92","7,628.34","7,628.34","7,345.76","762.29M","-4.15%"
"09/23/2022","7,751.49","7,832.83","7,991.92","7,733.91","574.32M","-1.15%"
"09/22/2022","7,841.67","7,684.36","7,869.53","7,678.90","443.19M","0.50%"
"09/21/2022","7,802.83","7,694.07","7,845.40","7,655.43","370.77M","1.25%"
