"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","3,376.48","3,355.11","3,391.17","3,355.11","943.43M","0.83%"
"02/07/2023","3,348.69","3,346.44","3,370.42","3,346.26","1.08B","0.22%"
"02/06/2023","3,341.23","3,356.71","3,358.86","3,322.81","1.42B","-0.87%"
"02/03/2023","3,370.44","3,406.03","3,406.03","3,347.71","1.46B","-1.60%"
"02/02/2023","3,425.29","3,472.17","3,472.17","3,420.11","1.53B","-0.69%"
"02/01/2023","3,449.13","3,469.65","3,471.90","3,412.03","1.53B","-0.50%"
"01/31/2023","3,466.32","3,514.66","3,523.98","3,443.41","2.06B","-0.84%"
"01/30/2023","3,495.80","3,554.85","3,556.01","3,486.44","2.22B","-1.67%"
"01/27/2023","3,555.25","3,559.20","3,568.19","3,529.54","975.18M","-0.03%"
"01/26/2023","3,556.36","3,527.33","3,556.36","3,524.91","1.28B","2.18%"
"01/20/2023","3,480.44","3,458.17","3,480.44","3,438.37","1.04B","1.04%"
"01/19/2023","3,444.74","3,421.14","3,452.29","3,409.14","1.00B","0.16%"
"01/18/2023","3,439.37","3,414.93","3,439.37","3,406.76","1.29B","0.59%"
"01/17/2023","3,419.30","3,445.04","3,448.31","3,407.33","1.43B","-1.12%"
"01/16/2023","3,458.02","3,438.37","3,483.92","3,438.37","1.51B","0.53%"
"01/13/2023","3,439.82","3,424.53","3,442.30","3,411.04","1.41B","1.12%"
"01/12/2023","3,401.82","3,379.26","3,401.82","3,354.57","1.59B","1.27%"
"01/11/2023","3,359.04","3,363.41","3,386.50","3,349.75","1.75B","0.34%"
"01/10/2023","3,347.81","3,370.14","3,379.79","3,339.06","1.53B","-0.67%"
"01/09/2023","3,370.30","3,365.90","3,382.99","3,350.72","1.49B","1.15%"
"01/06/2023","3,331.86","3,333.01","3,350.08","3,308.25","1.46B","0.34%"
"01/05/2023","3,320.57","3,369.42","3,369.42","3,315.51","1.60B","0.07%"
"01/04/2023","3,318.21","3,251.54","3,318.21","3,246.06","1.59B","2.89%"
"01/03/2023","3,225.01","3,151.13","3,231.63","3,107.30","1.33B","1.13%"
"12/30/2022","3,188.99","3,200.50","3,210.75","3,185.69","1.16B","0.72%"
"12/29/2022","3,166.14","3,162.15","3,166.14","3,134.31","1.22B","-0.76%"
"12/28/2022","3,190.36","3,156.25","3,215.36","3,156.25","1.81B","1.82%"
"12/23/2022","3,133.44","3,095.02","3,145.93","3,090.07","626.39M","0.43%"
"12/22/2022","3,120.16","3,129.19","3,133.17","3,105.44","1.05B","1.11%"
"12/21/2022","3,086.04","3,086.59","3,096.41","3,071.25","764.57M","0.62%"
"12/20/2022","3,067.09","3,056.16","3,083.07","3,037.09","1.06B","-0.28%"
"12/19/2022","3,075.72","3,099.54","3,126.31","3,062.83","1.07B","-0.97%"
"12/16/2022","3,105.76","3,105.38","3,126.76","3,072.70","1.68B","0.27%"
"12/15/2022","3,097.47","3,110.31","3,129.01","3,069.86","1.29B","-0.82%"
"12/14/2022","3,123.22","3,151.51","3,164.10","3,110.22","1.29B","-0.47%"
"12/13/2022","3,138.05","3,116.59","3,142.15","3,102.30","1.33B","0.73%"
"12/12/2022","3,115.43","3,120.53","3,131.88","3,107.05","1.44B","-0.85%"
"12/09/2022","3,142.17","3,101.43","3,148.94","3,096.65","2.04B","1.55%"
"12/08/2022","3,094.35","3,021.56","3,101.58","3,021.56","1.54B","2.64%"
"12/07/2022","3,014.68","3,100.03","3,115.27","3,012.77","2.83B","-2.89%"
"12/06/2022","3,104.45","3,079.48","3,104.45","3,070.52","1.67B","0.10%"
"12/05/2022","3,101.36","3,058.88","3,106.74","3,041.52","2.56B","3.51%"
"12/02/2022","2,996.15","3,029.43","3,033.77","2,986.34","1.66B","-1.09%"
"12/01/2022","3,029.22","3,052.19","3,071.57","3,019.02","2.12B","0.62%"
"11/30/2022","3,010.53","2,975.07","3,017.78","2,966.68","3.36B","1.62%"
"11/29/2022","2,962.49","2,855.67","2,962.49","2,855.67","2.35B","4.46%"
"11/28/2022","2,835.87","2,841.61","2,844.80","2,780.19","1.58B","-2.42%"
"11/25/2022","2,906.23","2,898.05","2,912.69","2,871.22","3.08B","0.71%"
"11/24/2022","2,885.85","2,879.97","2,893.40","2,870.43","2.25B","1.05%"
"11/23/2022","2,855.92","2,842.53","2,867.72","2,831.49","1.97B","0.68%"
"11/22/2022","2,836.69","2,823.05","2,851.24","2,812.21","2.19B","0.51%"
"11/21/2022","2,822.26","2,812.72","2,831.66","2,781.55","1.38B","-0.85%"
"11/18/2022","2,846.58","2,883.66","2,887.93","2,835.01","2.09B","-0.97%"
"11/17/2022","2,874.40","2,866.80","2,895.82","2,820.91","1.99B","-0.31%"
"11/16/2022","2,883.23","2,878.97","2,897.96","2,861.36","2.95B","-0.72%"
"11/15/2022","2,904.02","2,851.53","2,904.02","2,849.05","5.67B","2.29%"
"11/14/2022","2,839.00","2,876.57","2,889.31","2,824.00","8.14B","1.78%"
"11/11/2022","2,789.48","2,744.77","2,793.43","2,718.08","3.74B","6.01%"
"11/10/2022","2,631.26","2,648.57","2,648.57","2,606.61","1.57B","-1.35%"
"11/09/2022","2,667.20","2,672.71","2,696.64","2,646.57","2.63B","-0.11%"
"11/08/2022","2,670.24","2,675.09","2,678.21","2,649.91","1.62B","0.36%"
"11/07/2022","2,660.70","2,597.12","2,690.22","2,589.41","3.59B","3.28%"
