"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","13,641.62","13,678.26","13,910.97","13,600.56","546.34M","-0.13%"
"02/07/2023","13,658.90","13,571.33","13,891.90","13,533.19","546.24M","0.76%"
"02/06/2023","13,556.51","13,985.47","13,985.47","13,406.29","862.17M","-4.78%"
"02/03/2023","14,236.69","14,437.63","14,628.95","14,181.44","710.79M","-1.50%"
"02/02/2023","14,453.95","14,337.70","14,758.91","14,337.70","942.87M","1.58%"
"02/01/2023","14,229.33","13,742.28","14,279.74","13,742.28","688.84M","3.38%"
"01/31/2023","13,764.34","14,143.05","14,171.95","13,608.97","772.34M","-2.56%"
"01/30/2023","14,125.73","14,685.81","14,714.90","14,078.76","851.73M","-3.88%"
"01/27/2023","14,695.25","14,703.38","14,886.48","14,549.04","245.39M","-0.02%"
"01/26/2023","14,698.70","14,498.43","14,698.70","14,370.34","355.02M","2.17%"
"01/20/2023","14,386.38","14,249.26","14,414.84","14,166.62","247.44M","1.22%"
"01/19/2023","14,212.47","14,087.39","14,382.95","13,933.87","263.65M","0.19%"
"01/18/2023","14,184.83","14,142.02","14,198.29","13,879.40","698.52M","-0.02%"
"01/17/2023","14,187.61","14,557.21","14,564.47","14,098.76","902.94M","-3.36%"
"01/16/2023","14,680.67","14,662.45","15,137.52","14,596.50","1.16B","0.87%"
"01/13/2023","14,554.59","13,932.48","14,554.59","13,932.48","804.83M","4.90%"
"01/12/2023","13,874.10","14,113.06","14,346.52","13,797.82","780.04M","-1.17%"
"01/11/2023","14,038.52","13,877.70","14,390.26","13,877.70","856.91M","1.53%"
"01/10/2023","13,826.47","13,866.83","13,951.75","13,665.59","713.65M","-0.53%"
"01/09/2023","13,900.53","13,670.19","13,921.24","13,670.19","796.95M","2.94%"
"01/06/2023","13,504.01","13,772.19","13,866.19","13,429.12","705.16M","-1.10%"
"01/05/2023","13,654.32","13,744.35","13,976.02","13,590.40","1.16B","0.93%"
"01/04/2023","13,528.97","13,125.29","13,528.97","13,099.51","785.82M","3.45%"
"01/03/2023","13,077.57","12,641.39","13,121.90","12,578.15","587.92M","2.64%"
"12/30/2022","12,740.91","12,938.85","12,988.58","12,643.73","592.54M","-0.25%"
"12/29/2022","12,772.65","12,515.24","12,813.52","12,459.22","683.13M","1.33%"
"12/28/2022","12,604.76","12,288.47","12,771.11","12,288.47","797.74M","2.54%"
"12/23/2022","12,292.89","12,074.16","12,367.24","12,027.87","584.69M","1.00%"
"12/22/2022","12,170.65","12,103.18","12,286.55","11,976.25","574.45M","1.83%"
"12/21/2022","11,951.72","11,821.28","12,031.08","11,797.74","573.22M","1.58%"
"12/20/2022","11,765.35","11,804.19","11,892.71","11,634.03","727.65M","-1.07%"
"12/19/2022","11,892.58","12,444.07","12,521.69","11,844.03","869.64M","-4.30%"
"12/16/2022","12,427.32","12,244.02","12,552.56","12,113.84","756.97M","1.70%"
"12/15/2022","12,219.36","12,564.91","12,564.91","12,189.23","783.06M","-2.79%"
"12/14/2022","12,569.78","12,716.92","12,788.28","12,406.59","1.20B","0.21%"
"12/13/2022","12,543.79","12,687.06","12,748.84","12,409.73","1.41B","-1.12%"
"12/12/2022","12,686.12","12,743.60","12,988.42","12,539.34","1.18B","-1.23%"
"12/09/2022","12,843.47","12,847.13","12,979.51","12,610.28","1.47B","0.04%"
"12/08/2022","12,838.22","12,229.15","12,863.01","12,212.20","1.47B","6.70%"
"12/07/2022","12,031.68","12,272.56","12,784.68","12,003.65","1.54B","-1.54%"
"12/06/2022","12,219.28","12,345.90","12,773.67","12,106.68","1.21B","-2.82%"
"12/05/2022","12,574.25","12,195.98","12,584.54","12,083.86","1.42B","6.20%"
"12/02/2022","11,840.69","11,737.84","12,057.82","11,726.33","1.04B","1.33%"
"12/01/2022","11,685.48","12,086.53","12,258.08","11,530.19","1.20B","-0.98%"
"11/30/2022","11,801.20","11,523.64","11,801.20","11,422.76","1.16B","2.23%"
"11/29/2022","11,543.96","11,195.57","11,543.96","11,129.93","800.24M","4.11%"
"11/28/2022","11,088.71","10,727.84","11,121.30","10,590.73","592.43M","0.42%"
"11/25/2022","11,041.88","11,245.08","11,245.08","10,958.74","460.98M","-1.77%"
"11/24/2022","11,240.30","11,186.81","11,358.04","11,166.92","447.09M","0.98%"
"11/23/2022","11,131.37","11,273.81","11,314.08","10,812.25","591.23M","-1.17%"
"11/22/2022","11,263.43","11,643.08","11,756.49","11,113.85","705.49M","-3.80%"
"11/21/2022","11,708.70","11,706.90","11,758.18","11,465.75","583.42M","-1.89%"
"11/18/2022","11,934.05","12,039.91","12,192.79","11,867.16","945.04M","-0.09%"
"11/17/2022","11,944.73","12,063.03","12,063.03","11,631.31","857.20M","-1.98%"
"11/16/2022","12,185.90","12,078.54","12,505.97","12,031.69","1.30B","0.35%"
"11/15/2022","12,143.61","11,890.41","12,143.61","11,632.80","1.17B","2.36%"
"11/14/2022","11,863.51","11,496.54","11,949.18","11,401.33","1.46B","6.51%"
"11/11/2022","11,138.70","11,202.84","11,353.92","10,903.24","1.19B","6.91%"
"11/10/2022","10,418.57","10,495.38","10,635.75","10,343.49","491.85M","-1.70%"
"11/09/2022","10,599.07","10,878.10","10,962.72","10,456.08","687.11M","-2.76%"
"11/08/2022","10,900.01","11,081.22","11,114.96","10,741.29","668.49M","-0.99%"
"11/07/2022","11,009.14","10,532.20","11,065.85","10,467.70","805.96M","3.96%"
"11/04/2022","10,590.15","10,187.27","10,889.28","10,187.27","1.07B","4.67%"
"11/03/2022","10,117.40","10,028.16","10,179.89","9,940.39","716.66M","-2.52%"
"11/02/2022","10,378.82","9,621.51","10,430.96","9,582.30","929.86M","7.14%"
"11/01/2022","9,687.03","9,195.79","9,772.18","9,195.79","805.00M","6.23%"
"10/31/2022","9,118.80","9,239.61","9,419.96","9,099.86","613.80M","-2.39%"
"10/28/2022","9,341.60","9,738.09","9,881.01","9,261.29","685.49M","-3.70%"
"10/27/2022","9,700.82","9,935.19","10,014.44","9,672.28","595.79M","-0.42%"
"10/26/2022","9,741.70","9,301.21","9,890.02","9,273.61","786.21M","4.87%"
"10/25/2022","9,289.69","9,298.16","9,466.53","8,979.71","644.40M","1.10%"
"10/24/2022","9,188.71","9,830.47","9,959.25","9,109.59","748.32M","-7.28%"
"10/21/2022","9,910.02","9,771.34","9,989.84","9,731.52","484.83M","1.58%"
"10/20/2022","9,755.53","9,762.81","9,977.88","9,577.27","557.63M","-2.08%"
"10/19/2022","9,962.55","10,291.54","10,308.49","9,942.55","487.90M","-3.72%"
"10/18/2022","10,347.01","10,016.11","10,361.82","9,821.19","712.54M","4.57%"
"10/17/2022","9,894.45","9,776.42","10,005.05","9,688.70","578.94M","0.99%"
"10/14/2022","9,797.44","9,331.65","10,118.35","9,331.65","786.79M","6.55%"
"10/13/2022","9,194.88","9,233.54","9,577.54","9,138.60","422.60M","-0.17%"
"10/12/2022","9,210.19","9,143.47","9,369.52","8,873.13","449.14M","0.33%"
"10/11/2022","9,179.58","9,288.94","9,314.23","8,989.29","336.13M","-1.24%"
"10/10/2022","9,294.70","9,649.21","9,649.21","9,221.11","382.67M","-3.07%"
"10/07/2022","9,588.95","9,808.77","9,808.77","9,563.13","199.98M","-2.67%"
"10/06/2022","9,852.18","10,035.63","10,035.63","9,755.97","160.69M","-1.62%"
