Date,Price,Open,High,Low,Vol.,Change %
02/08/2023,1262.72,1260.21,1276.47,1258.99,388.59M,0.18%
02/07/2023,1260.5,1266.49,1277.06,1257.11,379.07M,-0.19%
02/06/2023,1262.96,1295.5,1295.5,1257.53,490.36M,-3.26%
02/03/2023,1305.46,1322.66,1322.66,1290.32,503.50M,-1.33%
02/02/2023,1323.09,1341.01,1348.48,1322.23,790.04M,-0.71%
02/01/2023,1332.55,1286.48,1332.55,1286.48,1.16B,3.80%
01/31/2023,1283.81,1299.51,1312.22,1274.7,519.34M,-1.01%
01/30/2023,1296.89,1328.94,1331.69,1291.58,566.88M,-2.26%
01/27/2023,1326.86,1333.5,1338.89,1315.7,381.92M,-0.29%
01/26/2023,1330.68,1303.69,1330.68,1301,464.52M,3.15%
01/20/2023,1290.07,1265.53,1290.07,1262.74,514.20M,2.11%
01/19/2023,1263.47,1250.56,1265.14,1247.58,331.80M,0.50%
01/18/2023,1257.17,1247.18,1262.97,1242.47,511.15M,0.81%
01/17/2023,1247.08,1253.52,1260.76,1237.07,384.23M,-0.90%
01/16/2023,1258.37,1243.92,1265.57,1241.77,483.81M,1.47%
01/13/2023,1240.16,1246.16,1246.96,1225.87,612.64M,-0.05%
01/12/2023,1240.81,1244.71,1250.8,1230.48,476.35M,0.52%
01/11/2023,1234.33,1236.27,1250.38,1229.73,483.65M,0.06%
01/10/2023,1233.64,1229.66,1240.24,1224.51,433.47M,0.41%
01/09/2023,1228.56,1212.64,1233.31,1212.64,585.52M,1.99%
01/06/2023,1204.63,1201.3,1220.82,1198.63,721.75M,0.74%
01/05/2023,1195.78,1196.57,1205.5,1190.02,577.43M,1.08%
01/04/2023,1182.96,1187.7,1189.7,1169.98,392.53M,-0.18%
01/03/2023,1185.11,1159.97,1186.22,1142.36,311.34M,1.54%
12/30/2022,1167.17,1161.45,1171.05,1161.45,334.27M,1.12%
12/29/2022,1154.27,1172.21,1174.51,1147.62,375.73M,-2.42%
12/28/2022,1182.85,1164.74,1182.87,1163.08,998.57M,2.34%
12/23/2022,1155.77,1152.64,1166.26,1148.46,291.26M,-0.82%
12/22/2022,1165.36,1161.2,1172.29,1152.72,288.56M,1.33%
12/21/2022,1150.05,1152.5,1155.31,1142.98,234.54M,-0.15%
12/20/2022,1151.8,1166.26,1167.39,1140.41,373.70M,-1.70%
12/19/2022,1171.71,1204.34,1209.58,1166.83,354.43M,-2.65%
12/16/2022,1203.64,1181.66,1205.12,1174.66,624.73M,1.65%
12/15/2022,1184.13,1193.58,1195.11,1171.69,431.22M,-0.72%
12/14/2022,1192.68,1194.11,1201.92,1183.1,436.82M,0.82%
12/13/2022,1182.97,1187.02,1191.42,1176.31,445.58M,-0.14%
12/12/2022,1184.61,1200.22,1201.9,1178.13,918.87M,-2.10%
12/09/2022,1210.07,1188.91,1214.81,1187.8,631.76M,1.76%
12/08/2022,1189.18,1157.33,1189.18,1157.33,587.97M,3.33%
12/07/2022,1150.88,1192.53,1208.44,1150.69,846.82M,-3.53%
12/06/2022,1192.95,1186.87,1202.35,1180.1,664.92M,-0.17%
12/05/2022,1195.02,1174.74,1197.53,1168.98,891.04M,3.01%
12/02/2022,1160.06,1183.83,1183.83,1153.36,591.73M,-1.81%
12/01/2022,1181.47,1199.51,1209.43,1179.09,1.19B,-0.14%
11/30/2022,1183.16,1136.46,1183.16,1132.77,2.62B,3.72%
11/29/2022,1140.69,1112.06,1140.69,1111.76,573.28M,3.39%
11/28/2022,1103.3,1103.3,1105.18,1073.28,476.31M,-1.17%
11/25/2022,1116.37,1130.3,1130.3,1112.48,466.85M,-2.33%
11/24/2022,1142.98,1130.76,1143.7,1130.33,398.89M,1.70%
11/23/2022,1123.82,1125.14,1132.89,1115.15,444.00M,0.21%
11/22/2022,1121.48,1124.32,1136.77,1113.05,477.53M,-0.39%
11/21/2022,1125.86,1132.78,1132.78,1107.96,329.24M,-1.35%
11/18/2022,1141.28,1160.75,1166.96,1138.26,420.97M,-1.04%
11/17/2022,1153.28,1165.6,1166.05,1131.9,459.83M,-1.63%
11/16/2022,1172.39,1189.79,1193.85,1162.62,546.55M,-1.62%
11/15/2022,1191.68,1158.5,1191.68,1142.3,705.26M,3.04%
11/14/2022,1156.5,1154.9,1166.45,1144.06,697.83M,3.09%
11/11/2022,1121.81,1118.72,1125.98,1095.06,706.64M,5.68%
11/10/2022,1061.47,1068.34,1071.57,1058.06,420.03M,-2.28%
11/09/2022,1086.24,1093.92,1104.41,1079.05,383.97M,-0.11%
11/08/2022,1087.44,1095.74,1097.94,1073.83,422.79M,-0.17%
11/07/2022,1089.28,1038.03,1099.89,1038.03,658.94M,4.58%
11/04/2022,1041.57,995.57,1056.2,995.57,654.11M,4.96%
11/03/2022,992.37,1004.67,1008.43,990.05,400.54M,-2.16%
11/02/2022,1014.3,987.7,1019.32,982.98,373.28M,2.42%
11/01/2022,990.37,945.5,996.69,945.5,562.11M,5.77%
10/31/2022,936.33,962.18,965.94,934.85,590.40M,-2.66%
10/28/2022,961.9,1007.63,1008.72,954.92,440.23M,-4.43%
10/27/2022,1006.51,1017.53,1030.14,1005.63,402.43M,0.35%
10/26/2022,1003.04,989.48,1014.74,983.24,426.84M,1.58%
10/25/2022,987.47,978.12,994.27,951.69,625.33M,1.83%
10/24/2022,969.76,1012.32,1023.45,964.33,606.80M,-5.24%
10/21/2022,1023.36,1012.79,1026.32,1007.24,425.32M,1.40%
10/20/2022,1009.23,1018.25,1018.38,987.69,560.47M,-1.71%
10/19/2022,1026.8,1042.35,1052.86,1025.98,385.12M,-1.86%
10/18/2022,1046.24,1028.41,1046.79,1021.92,406.77M,2.82%
10/17/2022,1017.53,1007.28,1025.98,1000.37,468.14M,0.66%
10/14/2022,1010.84,999.23,1026.16,999.23,620.20M,2.42%
10/13/2022,987,1000.61,1014.1,985.56,527.20M,-1.62%
10/12/2022,1003.22,1005.08,1019.23,977.47,703.98M,-0.47%
10/11/2022,1007.96,1018.68,1023.47,1005.49,446.35M,-0.91%
10/10/2022,1017.21,1050.73,1050.73,1016.84,416.45M,-4.30%
10/07/2022,1062.94,1077.11,1079.62,1062.94,173.98M,-1.65%
10/06/2022,1080.74,1096.99,1096.99,1079.07,194.98M,-1.33%
10/05/2022,1095.29,1083.68,1102.4,1079.88,314.61M,4.70%
10/03/2022,1046.14,1037.66,1060.82,1034.5,183.75M,0.14%
09/30/2022,1044.65,1041.92,1048.26,1026.1,366.69M,-0.27%
09/29/2022,1047.45,1079.51,1084.45,1040.99,346.90M,-2.20%
09/28/2022,1070.96,1104.3,1104.3,1066.13,455.29M,-3.51%
09/27/2022,1109.92,1095.64,1113.37,1090.39,491.05M,1.03%
09/26/2022,1098.63,1106.74,1115.36,1095.7,488.20M,-1.39%
09/23/2022,1114.12,1136.81,1139.38,1107.07,554.64M,-1.86%
09/22/2022,1135.25,1133.25,1144.02,1124.05,359.07M,-1.50%
09/21/2022,1152.56,1182.33,1182.33,1152.56,435.11M,-2.79%
09/20/2022,1185.69,1184.37,1190.62,1179.68,300.71M,0.82%
09/19/2022,1176.1,1196.9,1196.9,1172.03,470.51M,-2.00%
09/16/2022,1200.06,1214.46,1216.42,1200.06,825.33M,-1.75%
09/15/2022,1221.42,1238.43,1250.7,1217.9,529.19M,-1.56%
09/14/2022,1240.8,1240.64,1243.33,1231.95,376.05M,-1.76%
09/13/2022,1262.97,1259.57,1273.63,1258.5,399.56M,0.90%
09/09/2022,1251.74,1239.17,1253.19,1235.3,322.30M,1.37%
09/08/2022,1234.87,1252.88,1255.54,1230.52,447.26M,-1.11%
09/07/2022,1248.75,1241.59,1252.02,1237.35,569.86M,-0.30%
09/06/2022,1252.56,1246.71,1258.68,1231.82,537.83M,0.73%
09/05/2022,1243.52,1254.88,1254.88,1236.51,417.94M,-1.10%
09/02/2022,1257.3,1276.81,1278.48,1251.44,581.10M,-1.85%
09/01/2022,1280.94,1301.77,1304.25,1277.42,477.80M,-3.04%
08/31/2022,1321.11,1331.23,1332.84,1311.54,632.52M,-1.26%
08/30/2022,1338.03,1337.26,1340.86,1324.79,366.16M,0.23%
08/29/2022,1334.94,1338.55,1338.55,1328.26,278.02M,-1.74%
08/26/2022,1358.54,1349.23,1362.95,1344.81,354.99M,1.65%
08/25/2022,1336.52,1312.86,1337.07,1312.86,230.31M,1.76%
08/24/2022,1313.44,1342.35,1343.57,1307.82,389.27M,-1.85%
08/23/2022,1338.25,1352.72,1355.35,1332.2,256.40M,-1.12%
08/22/2022,1353.39,1364.63,1364.63,1352.23,294.87M,-1.67%
08/19/2022,1376.38,1367.79,1383.04,1360.75,295.85M,0.70%
08/18/2022,1366.87,1377.63,1377.63,1360.57,265.84M,-0.96%
08/17/2022,1380.09,1383.95,1387.49,1370.25,324.18M,0.20%
08/16/2022,1377.31,1376.34,1390.37,1366.03,494.62M,0.28%
08/15/2022,1373.46,1394.62,1395.95,1370.08,450.28M,-1.71%
08/12/2022,1397.38,1403.39,1407.78,1390.42,522.06M,-0.68%
08/11/2022,1406.93,1391.6,1406.93,1391.37,416.09M,2.51%
08/10/2022,1372.49,1404.88,1404.88,1362.57,355.61M,-2.59%
08/09/2022,1408.98,1413.6,1426.86,1403.69,362.07M,-0.51%
08/08/2022,1416.23,1411.82,1418.96,1403.34,305.68M,-0.02%
08/05/2022,1416.51,1385.67,1417.51,1383.85,326.45M,2.71%
08/04/2022,1379.08,1379.43,1392.35,1366.9,340.87M,0.43%
08/03/2022,1373.17,1378.61,1396.69,1364.77,722.99M,-0.03%
08/02/2022,1373.64,1410.58,1410.58,1359.11,610.24M,-3.46%
08/01/2022,1422.86,1431.77,1432.22,1400.62,546.39M,-0.65%
07/29/2022,1432.13,1452.88,1470.46,1427.77,582.68M,-0.92%
07/28/2022,1445.46,1449.52,1456.86,1439.09,299.94M,-0.13%
07/27/2022,1447.29,1451.27,1457.52,1435.77,365.44M,-0.69%
07/26/2022,1457.33,1439.63,1460.19,1434.9,626.88M,1.63%
07/25/2022,1433.96,1458.17,1458.17,1426.27,461.96M,-1.69%
07/22/2022,1458.59,1464.89,1471.01,1446.46,310.05M,-0.04%
07/21/2022,1459.13,1460.88,1471.69,1452.77,438.35M,-0.05%
07/20/2022,1459.82,1462.26,1466.02,1457.18,362.37M,0.99%
07/19/2022,1445.45,1456.54,1461.23,1442.03,393.44M,-1.14%
07/18/2022,1462.05,1436.34,1462.3,1424.4,409.33M,2.18%
07/15/2022,1430.84,1451.36,1461.23,1426.88,524.59M,-1.98%
07/14/2022,1459.79,1442.96,1459.79,1438.32,366.05M,1.45%
07/13/2022,1438.92,1440.83,1451.26,1427.72,384.68M,0.14%
07/12/2022,1436.93,1447.21,1457.2,1424.33,450.34M,-1.26%
07/11/2022,1455.3,1488.75,1488.75,1443.6,481.35M,-2.51%
