Date,Price,Open,High,Low,Vol.,Change %
02/08/2023,11841,11996.38,12035.67,11718.68,1.16B,-1.43%
02/07/2023,12013.08,11980.04,12181.83,11945.26,1.36B,0.91%
02/06/2023,11905.04,11936.04,12029.26,11787.34,1.60B,-3.00%
02/03/2023,12273.84,12261.3,12374.81,12072.75,1.05B,-0.97%
02/02/2023,12394.06,12622.52,12718.61,12362.32,1.49B,-0.58%
02/01/2023,12465.83,12312.27,12496.56,12082.26,1.80B,2.16%
01/31/2023,12202.36,12400.79,12531.66,11992.56,1.34B,-0.91%
01/30/2023,12314.78,12813,12865.79,12235.53,2.04B,-5.42%
01/27/2023,13021.16,12924.33,13025.57,12845.14,1.61B,1.36%
01/26/2023,12846.53,12678.37,12850.3,12628.73,621.49M,3.20%
01/20/2023,12448.58,12294.56,12482.36,12242.48,379.87M,2.98%
01/19/2023,12088.14,11998.31,12183.36,11915.75,371.44M,-0.91%
01/18/2023,12199.14,12112.42,12231.64,11934.16,738.97M,0.58%
01/17/2023,12128.42,12099.81,12292.12,11928.52,680.93M,0.27%
01/16/2023,12096.15,12267.94,12322.78,11895.7,863.79M,-0.87%
01/13/2023,12202.72,12056.83,12225.25,11860.12,582.69M,1.35%
01/12/2023,12040.48,12343.14,12352.95,11821.18,784.45M,-1.65%
01/11/2023,12242.15,12270.37,12447.66,12123.34,875.30M,1.18%
01/10/2023,12099.15,12123.73,12123.73,11913.25,586.42M,-0.50%
01/09/2023,12160.07,11961.94,12183.59,11847,835.03M,3.55%
01/06/2023,11742.78,11932.27,12022.62,11631.28,773.86M,-0.27%
01/05/2023,11774.93,12009.07,12168.05,11646.19,776.86M,2.29%
01/04/2023,11510.82,11079.26,11514.66,11008.87,937.25M,5.13%
01/03/2023,10949.55,10584.46,10970.59,10389.7,674.78M,2.76%
12/30/2022,10655.66,10903.6,10977.46,10630.06,494.37M,-0.48%
12/29/2022,10707.5,10548.71,10732.53,10538.64,523.96M,-0.45%
12/28/2022,10755.97,10710.06,10896.57,10666.25,658.99M,1.77%
12/23/2022,10568.9,10483.44,10732.37,10483.44,362.62M,-1.52%
12/22/2022,10732.31,10518.43,10784.87,10471.5,552.84M,4.78%
12/21/2022,10242.56,10258.08,10314.31,10146.87,349.22M,0.30%
12/20/2022,10212.28,10395.04,10410.17,10079.38,494.75M,-2.99%
12/19/2022,10526.61,10561.92,10882.01,10465.69,544.88M,0.68%
12/16/2022,10455.34,10349.22,10615.67,10220.49,730.21M,-0.02%
12/15/2022,10457.22,10713.33,10729.16,10417.24,668.69M,-2.79%
12/14/2022,10757.03,10724.68,10869.17,10591.26,794.88M,1.45%
12/13/2022,10603.3,10462.02,10797.48,10452.15,823.82M,0.71%
12/12/2022,10528.09,10638.96,10809.04,10452.9,1.15B,-3.55%
12/09/2022,10915.29,10632.27,10942.11,10501.51,1.40B,3.05%
