"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","6,710.50","6,704.36","6,761.49","6,679.86","275.26M","0.24%"
"02/07/2023","6,694.13","6,641.05","6,757.36","6,633.74","295.73M","0.75%"
"02/06/2023","6,644.51","6,818.93","6,818.93","6,565.23","367.73M","-3.92%"
"02/03/2023","6,915.26","7,044.40","7,044.40","6,837.52","312.87M","-2.13%"
"02/02/2023","7,065.94","7,143.72","7,157.68","7,053.76","309.27M","-0.93%"
"02/01/2023","7,132.12","6,962.80","7,132.12","6,931.06","441.87M","3.32%"
"01/31/2023","6,903.15","6,910.31","6,972.71","6,856.63","424.45M","0.48%"
"01/30/2023","6,869.97","7,113.38","7,113.38","6,847.74","470.11M","-3.81%"
"01/27/2023","7,142.21","7,122.85","7,143.05","7,026.77","137.26M","0.33%"
"01/26/2023","7,118.85","6,992.99","7,138.56","6,966.32","230.11M","2.89%"
"01/20/2023","6,919.03","6,759.94","6,919.34","6,759.94","200.50M","2.99%"
"01/19/2023","6,718.12","6,660.43","6,719.15","6,592.97","149.06M","0.83%"
"01/18/2023","6,663.08","6,572.80","6,678.59","6,567.30","369.32M","1.51%"
"01/17/2023","6,563.90","6,644.38","6,652.11","6,493.96","312.18M","-1.51%"
"01/16/2023","6,664.26","6,637.49","6,700.02","6,581.67","386.42M","0.74%"
"01/13/2023","6,615.28","6,633.64","6,677.76","6,536.54","254.34M","0.60%"
"01/12/2023","6,575.92","6,528.31","6,658.56","6,522.38","343.31M","1.20%"
"01/11/2023","6,497.66","6,539.83","6,600.44","6,469.38","364.32M","-0.02%"
"01/10/2023","6,499.25","6,499.91","6,553.79","6,443.75","271.52M","-0.11%"
"01/09/2023","6,506.58","6,274.84","6,506.58","6,274.84","334.56M","5.53%"
"01/06/2023","6,165.42","6,203.72","6,230.95","6,125.17","189.85M","0.05%"
"01/05/2023","6,162.25","6,131.74","6,234.25","6,121.88","246.13M","1.34%"
"01/04/2023","6,080.50","6,083.60","6,104.76","6,011.56","202.99M","-0.24%"
"01/03/2023","6,094.97","5,895.05","6,100.73","5,831.09","172.33M","3.15%"
"12/30/2022","5,908.85","5,903.78","5,956.08","5,894.75","142.57M","0.40%"
"12/29/2022","5,885.14","5,942.80","5,954.18","5,863.04","122.50M","-1.61%"
"12/28/2022","5,981.29","5,881.13","5,992.04","5,873.60","179.16M","2.41%"
"12/23/2022","5,840.50","5,881.08","5,897.94","5,814.43","99.06M","-1.17%"
"12/22/2022","5,909.82","5,995.21","6,008.16","5,880.34","132.78M","-0.86%"
"12/21/2022","5,961.07","5,906.12","5,961.35","5,876.48","116.35M","1.60%"
"12/20/2022","5,867.25","5,953.64","5,967.55","5,787.48","175.68M","-2.08%"
