"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","2,442.35","2,427.38","2,456.71","2,427.38","1.14B","0.66%"
"02/07/2023","2,426.41","2,425.42","2,454.77","2,421.52","1.59B","0.17%"
"02/06/2023","2,422.29","2,466.97","2,466.97","2,410.27","1.77B","-2.54%"
"02/03/2023","2,485.44","2,508.39","2,508.41","2,462.72","2.04B","-0.83%"
"02/02/2023","2,506.27","2,547.34","2,547.34","2,502.72","2.67B","-0.83%"
"02/01/2023","2,527.13","2,510.92","2,527.13","2,491.64","2.02B","1.23%"
"01/31/2023","2,496.51","2,562.29","2,571.43","2,486.43","1.35B","-2.24%"
"01/30/2023","2,553.72","2,604.10","2,606.90","2,548.55","2.16B","-2.13%"
"01/27/2023","2,609.25","2,590.51","2,611.14","2,577.66","1.03B","0.93%"
"01/26/2023","2,585.14","2,547.03","2,591.06","2,544.65","1.10B","2.15%"
"01/20/2023","2,530.74","2,495.00","2,530.74","2,483.81","683.51M","1.40%"
"01/19/2023","2,495.78","2,445.77","2,495.78","2,443.98","582.04M","1.34%"
"01/18/2023","2,462.71","2,475.50","2,497.56","2,447.65","2.20B","-0.50%"
"01/17/2023","2,475.06","2,478.42","2,478.42","2,451.30","1.81B","-0.32%"
"01/16/2023","2,483.11","2,482.79","2,504.09","2,473.94","1.88B","0.39%"
"01/13/2023","2,473.51","2,469.49","2,491.37","2,450.61","3.49B","0.44%"
"01/12/2023","2,462.74","2,475.79","2,490.68","2,446.11","3.04B","-0.14%"
"01/11/2023","2,466.16","2,478.88","2,514.67","2,459.37","4.08B","-0.49%"
"01/10/2023","2,478.39","2,493.42","2,517.25","2,469.95","3.27B","-0.61%"
"01/09/2023","2,493.64","2,523.90","2,540.19","2,475.83","5.91B","-0.39%"
"01/06/2023","2,503.37","2,516.62","2,540.34","2,481.60","12.79B","0.33%"
"01/05/2023","2,495.18","2,503.67","2,507.98","2,479.83","11.11B","0.54%"
"01/04/2023","2,481.87","2,409.01","2,481.87","2,406.02","3.16B","3.41%"
"01/03/2023","2,400.14","2,344.71","2,414.87","2,299.31","2.80B","1.49%"
"12/30/2022","2,364.95","2,340.57","2,370.96","2,322.56","1.64B","1.62%"
"12/29/2022","2,327.23","2,334.62","2,337.46","2,301.11","1.62B","-0.81%"
"12/28/2022","2,346.17","2,374.54","2,380.53","2,339.22","1.61B","-0.32%"
"12/23/2022","2,353.63","2,329.83","2,356.51","2,326.96","1.23B","0.34%"
"12/22/2022","2,345.71","2,341.24","2,362.93","2,334.56","2.31B","1.36%"
"12/21/2022","2,314.27","2,326.79","2,336.57","2,294.91","1.37B","-0.09%"
