"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","1,219.63","1,221.45","1,227.51","1,219.06","214.44M","-0.34%"
"02/07/2023","1,223.84","1,226.92","1,231.55","1,221.11","250.33M","-0.31%"
"02/06/2023","1,227.66","1,222.13","1,238.87","1,215.83","305.76M","-0.49%"
"02/03/2023","1,233.66","1,229.31","1,237.53","1,218.49","300.06M","-0.09%"
"02/02/2023","1,234.75","1,235.53","1,248.62","1,233.31","377.34M","0.08%"
"02/01/2023","1,233.72","1,214.12","1,237.84","1,206.71","531.72M","1.52%"
"01/31/2023","1,215.22","1,217.77","1,225.48","1,206.15","486.80M","-0.60%"
"01/30/2023","1,222.57","1,227.36","1,242.16","1,216.75","641.94M","0.13%"
"01/27/2023","1,221.01","1,215.75","1,223.85","1,214.45","224.36M","0.34%"
"01/26/2023","1,216.84","1,217.23","1,222.23","1,204.91","257.59M","0.70%"
"01/20/2023","1,208.36","1,181.30","1,212.46","1,181.30","391.53M","2.17%"
"01/19/2023","1,182.75","1,176.65","1,185.05","1,174.44","115.00M","0.01%"
"01/18/2023","1,182.69","1,173.66","1,187.95","1,169.06","257.39M","0.63%"
"01/17/2023","1,175.30","1,179.90","1,180.19","1,170.58","238.86M","-0.68%"
"01/16/2023","1,183.40","1,194.75","1,200.82","1,177.01","223.92M","-0.25%"
"01/13/2023","1,186.32","1,173.64","1,191.42","1,171.94","330.40M","1.45%"
"01/12/2023","1,169.39","1,152.43","1,169.79","1,150.67","281.18M","1.36%"
"01/11/2023","1,153.73","1,149.83","1,164.75","1,148.05","333.81M","0.77%"
"01/10/2023","1,144.89","1,144.03","1,154.76","1,143.74","291.46M","0.27%"
"01/09/2023","1,141.86","1,148.07","1,157.11","1,141.86","304.42M","0.20%"
"01/06/2023","1,139.54","1,146.41","1,152.03","1,139.54","297.09M","-0.57%"
"01/05/2023","1,146.11","1,157.42","1,168.51","1,143.78","365.09M","-0.39%"
"01/04/2023","1,150.62","1,132.53","1,152.11","1,132.41","355.58M","1.97%"
"01/03/2023","1,128.40","1,098.84","1,135.89","1,095.82","465.91M","2.14%"
"12/30/2022","1,104.80","1,103.08","1,108.14","1,095.32","253.55M","0.97%"
"12/29/2022","1,094.19","1,108.68","1,111.36","1,092.37","261.59M","-1.71%"
"12/28/2022","1,113.25","1,121.41","1,132.19","1,108.07","368.03M","-0.19%"
"12/23/2022","1,115.32","1,102.17","1,121.76","1,102.17","326.86M","0.46%"
"12/22/2022","1,110.19","1,105.67","1,115.54","1,104.66","243.28M","1.27%"
"12/21/2022","1,096.23","1,084.00","1,099.58","1,083.28","235.21M","1.23%"
"12/20/2022","1,082.96","1,090.18","1,092.86","1,082.10","458.63M","-0.74%"
"12/19/2022","1,091.01","1,101.82","1,103.57","1,086.28","459.62M","-1.32%"
"12/16/2022","1,105.60","1,105.90","1,111.24","1,097.34","505.70M","0.04%"
"12/15/2022","1,105.15","1,115.54","1,115.84","1,103.36","489.12M","-0.77%"
"12/14/2022","1,113.72","1,105.72","1,122.59","1,105.72","1.21B","0.87%"
"12/13/2022","1,104.08","1,108.37","1,108.76","1,097.55","211.13M","0.14%"
