"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","5,844.62","5,780.68","5,863.04","5,780.68","330.81M","1.12%"
"02/07/2023","5,779.94","5,785.77","5,842.32","5,775.87","325.86M","0.13%"
"02/06/2023","5,772.56","5,802.38","5,802.38","5,726.85","314.67M","-0.82%"
"02/03/2023","5,820.42","5,846.24","5,846.24","5,784.28","312.53M","-0.71%"
"02/02/2023","5,861.79","5,874.36","5,915.01","5,834.12","401.23M","0.07%"
"02/01/2023","5,857.81","5,801.26","5,857.81","5,779.29","404.13M","0.80%"
"01/31/2023","5,811.14","5,916.02","5,941.21","5,773.40","577.72M","-1.42%"
"01/30/2023","5,895.10","5,937.48","5,979.75","5,875.62","443.49M","-0.67%"
"01/27/2023","5,934.92","5,940.02","5,956.45","5,895.35","197.46M","0.28%"
"01/26/2023","5,918.40","5,956.11","5,956.88","5,906.86","282.97M","0.30%"
"01/20/2023","5,900.56","5,871.62","5,901.04","5,834.57","201.06M","0.89%"
"01/19/2023","5,848.75","5,820.82","5,866.38","5,807.58","122.86M","-0.13%"
"01/18/2023","5,856.16","5,791.92","5,856.16","5,791.63","266.78M","1.01%"
"01/17/2023","5,797.58","5,848.81","5,860.80","5,746.35","266.88M","-0.82%"
"01/16/2023","5,845.57","5,814.87","5,910.26","5,814.87","384.21M","0.88%"
"01/13/2023","5,794.42","5,824.88","5,829.23","5,763.06","280.33M","-0.26%"
"01/12/2023","5,809.40","5,790.39","5,826.67","5,764.93","363.20M","0.60%"
"01/11/2023","5,774.59","5,850.30","5,863.92","5,764.93","400.77M","-1.14%"
"01/10/2023","5,841.07","5,867.88","5,928.01","5,833.91","346.31M","0.05%"
"01/09/2023","5,838.04","5,861.68","5,880.79","5,807.17","488.62M","0.60%"
"01/06/2023","5,803.38","5,837.45","5,847.31","5,762.13","629.15M","0.41%"
"01/05/2023","5,779.53","5,787.07","5,851.64","5,770.97","468.67M","0.51%"
"01/04/2023","5,749.95","5,656.78","5,754.52","5,644.18","421.85M","2.06%"
"01/03/2023","5,633.90","5,496.41","5,668.29","5,407.03","570.73M","2.25%"
"12/30/2022","5,509.99","5,518.62","5,543.78","5,478.23","301.70M","0.42%"
"12/29/2022","5,486.70","5,489.21","5,506.97","5,460.35","313.11M","-0.76%"
"12/28/2022","5,528.52","5,318.62","5,547.18","5,318.62","790.23M","4.68%"
"12/23/2022","5,281.44","5,302.12","5,343.67","5,255.34","244.28M","-0.94%"
"12/22/2022","5,331.68","5,335.44","5,365.95","5,318.08","218.44M","0.79%"
"12/21/2022","5,289.75","5,297.73","5,331.48","5,243.69","147.96M","-0.23%"
"12/20/2022","5,301.92","5,290.15","5,331.14","5,251.14","203.17M","-0.30%"
"12/19/2022","5,317.97","5,400.36","5,415.56","5,295.85","226.87M","-1.55%"
"12/16/2022","5,401.87","5,410.85","5,414.73","5,346.32","447.69M","-0.31%"
"12/15/2022","5,418.91","5,459.05","5,463.80","5,342.60","254.52M","-0.54%"
"12/14/2022","5,448.60","5,420.84","5,473.90","5,407.32","248.98M","1.12%"
"12/13/2022","5,387.99","5,411.15","5,411.28","5,360.69","255.47M","-0.05%"
"12/12/2022","5,390.78","5,412.08","5,430.28","5,376.05","329.65M","-0.78%"
"12/09/2022","5,433.20","5,245.33","5,448.72","5,245.33","407.83M","3.71%"
"12/08/2022","5,238.91","5,235.72","5,253.22","5,191.21","280.42M","0.27%"
"12/07/2022","5,224.86","5,306.79","5,380.45","5,224.86","410.01M","-1.56%"
"12/06/2022","5,307.91","5,219.25","5,308.13","5,218.92","296.93M","1.19%"
"12/05/2022","5,245.45","5,212.18","5,262.67","5,168.41","483.18M","2.00%"
"12/02/2022","5,142.62","5,273.64","5,278.48","5,122.95","469.28M","-2.48%"
"12/01/2022","5,273.19","5,350.96","5,379.16","5,256.91","488.44M","-0.70%"
"11/30/2022","5,310.62","5,204.60","5,310.62","5,179.02","801.99M","1.92%"
"11/29/2022","5,210.78","5,159.91","5,210.78","5,128.08","389.44M","1.61%"
"11/28/2022","5,127.97","5,113.57","5,145.39","5,010.35","301.27M","-1.62%"
"11/25/2022","5,212.35","5,235.65","5,243.20","5,169.72","251.56M","-0.25%"
"11/24/2022","5,225.59","5,197.31","5,235.61","5,186.22","322.89M","1.38%"
"11/23/2022","5,154.47","5,130.98","5,203.21","5,127.35","488.81M","0.59%"
