,HSCC,HSCE,HSCIC,HSCICD,HSCICS,HSCIE,HSCIF,HSCIH,HSCIIG,HSCIIT,HSCIM,HSCIPC,HSCIT,HSCIU
2023-02-08 00:00:00,3947.9,7189.29,1598.9,"3,055.36","20,975.94","8,342.66","3,376.48","13,641.62",1262.72,11841.0,"6,710.50","2,442.35","1,219.63","5,844.62"
2023-02-07 00:00:00,3906.08,7232.25,1576.09,"3,055.17","20,978.88","8,277.21","3,348.69","13,658.90",1260.5,12013.08,"6,694.13","2,426.41","1,223.84","5,779.94"
2023-02-06 00:00:00,3890.65,7189.37,1582.01,"3,054.14","21,040.21","8,173.97","3,341.23","13,556.51",1262.96,11905.04,"6,644.51","2,422.29","1,227.66","5,772.56"
2023-02-03 00:00:00,3944.84,7387.02,1601.69,"3,148.13","21,390.96","8,252.62","3,370.44","14,236.69",1305.46,12273.84,"6,915.26","2,485.44","1,233.66","5,820.42"
2023-02-02 00:00:00,3996.7,7505.79,1630.37,"3,179.96","21,682.10","8,451.94","3,425.29","14,453.95",1323.09,12394.06,"7,065.94","2,506.27","1,234.75","5,861.79"
2023-02-01 00:00:00,4033.79,7560.4,1648.65,"3,199.61","21,643.66","8,468.92","3,449.13","14,229.33",1332.55,12465.83,"7,132.12","2,527.13","1,233.72","5,857.81"
2023-01-31 00:00:00,3978.79,7424.92,1625.67,"3,120.40","21,348.47","8,370.57","3,466.32","13,764.34",1283.81,12202.36,"6,903.15","2,496.51","1,215.22","5,811.14"
2023-01-30 00:00:00,4041.94,7496.07,1651.63,"3,126.31","21,651.11","8,390.02","3,495.80","14,125.73",1296.89,12314.78,"6,869.97","2,553.72","1,222.57","5,895.10"
2023-01-27 00:00:00,4134.35,7773.61,1644.51,"3,249.99","21,932.94","8,570.57","3,555.25","14,695.25",1326.86,13021.16,"7,142.21","2,609.25","1,221.01","5,934.92"
2023-01-26 00:00:00,4112.44,7706.72,1646.6,"3,212.82","21,920.33","8,481.30","3,556.36","14,698.70",1330.68,12846.53,"7,118.85","2,585.14","1,216.84","5,918.40"
2023-01-20 00:00:00,4073.6,7483.58,1622.26,"3,118.28","21,664.76","8,407.87","3,480.44","14,386.38",1290.07,12448.58,"6,919.03","2,530.74","1,208.36","5,900.56"
2023-01-19 00:00:00,3991.98,7312.76,1602.83,"3,068.54","21,552.65","8,089.78","3,444.74","14,212.47",1263.47,12088.14,"6,718.12","2,495.78","1,182.75","5,848.75"
2023-01-18 00:00:00,3967.78,7340.73,1601.56,"3,052.61","21,545.73","8,168.69","3,439.37","14,184.83",1257.17,12199.14,"6,663.08","2,462.71","1,182.69","5,856.16"
2023-01-17 00:00:00,3942.12,7314.04,1600.3,"3,037.78","21,674.33","8,058.28","3,419.30","14,187.61",1247.08,12128.42,"6,563.90","2,475.06","1,175.30","5,797.58"
2023-01-16 00:00:00,3967.57,7350.34,1613.29,"3,074.98","22,027.37","8,073.53","3,458.02","14,680.67",1258.37,12096.15,"6,664.26","2,483.11","1,183.40","5,845.57"
2023-01-13 00:00:00,3963.5,7391.18,1579.05,"3,075.64","22,053.71","8,014.16","3,439.82","14,554.59",1240.16,12202.72,"6,615.28","2,473.51","1,186.32","5,794.42"
2023-01-12 00:00:00,3943.81,7311.84,1570.74,"3,035.14","21,656.80","7,929.42","3,401.82","13,874.10",1240.81,12040.48,"6,575.92","2,462.74","1,169.39","5,809.40"
