Date,Price,Open,High,Low,Vol.,Change %
02/10/2023,4.7013,4.7054,4.7054,4.701,4.09K,-0.08%
02/09/2023,4.705,4.7035,4.7494,4.6976,103.71K,0.03%
02/08/2023,4.7038,4.7305,4.7459,4.6974,111.60K,-0.45%
02/07/2023,4.7252,4.6779,4.7471,4.6716,133.08K,1.11%
02/06/2023,4.6734,4.6936,4.7123,4.6536,122.37K,-0.28%
02/03/2023,4.6864,4.7638,4.7708,4.6872,132.05K,-1.58%
02/02/2023,4.7614,4.811,4.8261,4.7587,129.10K,-1.00%
02/01/2023,4.8094,4.7667,4.8175,4.748,125.31K,0.95%
01/31/2023,4.7643,4.7642,4.7709,4.7185,118.04K,0.02%
01/30/2023,4.7634,4.8173,4.8316,4.759,122.71K,-1.13%
01/27/2023,4.8176,4.8258,4.8376,4.8045,106.19K,-0.16%
01/26/2023,4.8251,4.8197,4.8465,4.8024,115.13K,0.17%
01/25/2023,4.8169,4.7817,4.833,4.7705,79.59K,0.80%
01/24/2023,4.7789,4.7684,4.7892,4.7444,78.09K,0.27%
01/23/2023,4.7661,4.7234,4.7766,4.7179,83.99K,0.88%
01/20/2023,4.7247,4.6832,4.7319,4.6769,105.27K,0.96%
01/19/2023,4.68,4.6858,4.692,4.6588,134.45K,-0.04%
01/18/2023,4.6817,4.7343,4.768,4.68,145.65K,-1.06%
01/17/2023,4.7318,4.6832,4.7407,4.6805,138.10K,1.09%
01/16/2023,4.6809,4.6767,4.7027,4.6693,96.99K,0.13%
01/13/2023,4.6746,4.6989,4.7067,4.649,130.78K,-0.40%
01/12/2023,4.6933,4.6723,4.7077,4.6383,118.49K,0.49%
01/11/2023,4.6706,4.669,4.6874,4.6554,120.20K,0.07%
01/10/2023,4.6673,4.6845,4.6909,4.6522,130.96K,-0.24%
01/09/2023,4.6787,4.7021,4.7241,4.6781,131.73K,-0.46%
01/06/2023,4.7004,4.6477,4.7104,4.6115,138.78K,1.23%
01/05/2023,4.6433,4.7071,4.7134,4.6347,116.38K,-1.32%
01/04/2023,4.7055,4.6566,4.7429,4.6445,136.81K,1.18%
01/03/2023,4.6507,4.6925,4.7038,4.6217,138.66K,-0.87%
01/02/2023,4.6915,4.7007,4.7093,4.6859,16.69K,-0.16%
12/30/2022,4.6991,4.7165,4.7259,4.6617,111.52K,-0.43%
12/29/2022,4.7192,4.7016,4.7273,4.6721,93.49K,0.39%
12/28/2022,4.7007,4.6842,4.7452,4.6761,90.62K,0.37%
12/27/2022,4.6834,4.6824,4.7208,4.68,105.59K,0.03%
12/26/2022,4.682,4.6846,4.6968,4.667,5.49K,-0.25%
12/23/2022,4.6938,4.6551,4.7017,4.6513,121.80K,0.84%
12/22/2022,4.6548,4.6818,4.7253,4.6443,116.86K,-0.57%
12/21/2022,4.6815,4.6477,4.6982,4.6389,120.58K,0.74%
12/20/2022,4.6472,4.6764,4.7071,4.6217,148.25K,-0.57%
12/19/2022,4.674,4.6815,4.6952,4.6596,120.96K,0.32%
12/16/2022,4.6593,4.6739,4.6932,4.6543,106.88K,-0.27%
12/15/2022,4.6717,4.771,4.7756,4.6557,124.33K,-2.05%
12/14/2022,4.7696,4.7597,4.784,4.7332,128.48K,0.24%
12/13/2022,4.758,4.706,4.811,4.7016,114.31K,1.10%
12/12/2022,4.7062,4.7341,4.7412,4.6948,104.11K,-0.43%
12/09/2022,4.7265,4.7148,4.7418,4.6909,118.56K,0.27%
12/08/2022,4.7138,4.6878,4.7253,4.6697,126.62K,0.62%
12/07/2022,4.6847,4.6824,4.7014,4.6531,141.31K,0.10%
12/06/2022,4.6801,4.6645,4.715,4.6596,127.12K,0.41%
12/05/2022,4.6611,4.775,4.8024,4.6551,130.14K,-2.18%
12/02/2022,4.7652,4.7973,4.8165,4.7333,124.54K,-0.65%
12/01/2022,4.7966,4.8122,4.8361,4.7779,151.36K,-0.27%
11/30/2022,4.8098,4.7881,4.8239,4.7347,136.30K,0.52%
11/29/2022,4.785,4.7927,4.8375,4.7828,110.98K,-0.14%
11/28/2022,4.7915,4.8252,4.8366,4.7825,110.22K,-0.90%
11/25/2022,4.8351,4.8376,4.855,4.8224,90.75K,-0.01%
11/24/2022,4.8355,4.82,4.8484,4.8072,87.60K,0.36%
11/23/2022,4.818,4.7474,4.8259,4.7391,93.05K,1.52%
11/22/2022,4.7459,4.7305,4.7488,4.7241,105.98K,0.30%
11/21/2022,4.7318,4.7534,4.7731,4.718,120.86K,-0.37%
11/18/2022,4.7492,4.7841,4.8032,4.7435,124.91K,-0.65%
11/17/2022,4.7803,4.7751,4.8099,4.7491,134.78K,0.11%
11/16/2022,4.7752,4.7551,4.8085,4.7462,139.17K,0.34%
11/15/2022,4.7589,4.741,4.7836,4.712,150.48K,0.51%
