"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2023","1.1428","1.1510","1.1510","1.1408","14.03K","-0.69%"
"03/23/2023","1.1508","1.1405","1.1514","1.1403","17.38K","0.91%"
"03/22/2023","1.1404","1.1396","1.1412","1.1383","29.01K","0.09%"
"03/21/2023","1.1394","1.1400","1.1422","1.1386","29.86K","-0.03%"
"03/20/2023","1.1397","1.1397","1.1409","1.1368","28.37K","0.02%"
"03/17/2023","1.1395","1.1379","1.1439","1.1379","15.12K","0.16%"
"03/16/2023","1.1376","1.1364","1.1391","1.1357","18.44K","0.12%"
"03/15/2023","1.1363","1.1422","1.1423","1.1358","17.20K","-0.46%"
"03/14/2023","1.1416","1.1457","1.1460","1.1393","28.38K","-0.35%"
"03/13/2023","1.1455","1.1362","1.1465","1.1344","30.40K","0.88%"
"03/10/2023","1.1355","1.1271","1.1373","1.1259","18.52K","0.78%"
"03/09/2023","1.1267","1.1292","1.1293","1.1256","11.25K","-0.19%"
"03/08/2023","1.1289","1.1274","1.1302","1.1250","12.17K","0.17%"
"03/07/2023","1.1270","1.1327","1.1339","1.1274","14.00K","-0.49%"
"03/06/2023","1.1326","1.1364","1.1370","1.1318","20.31K","-0.29%"
"03/03/2023","1.1359","1.1351","1.1396","1.1351","11.78K","0.11%"
"03/02/2023","1.1346","1.1428","1.1428","1.1345","14.51K","-0.66%"
"03/01/2023","1.1422","1.1321","1.1439","1.1320","19.21K","0.90%"
"02/28/2023","1.1319","1.1294","1.1323","1.1291","22.41K","0.25%"
"02/27/2023","1.1291","1.1282","1.1301","1.1252","22.14K","0.10%"
"02/24/2023","1.1280","1.1358","1.1360","1.1276","22.32K","-0.69%"
"02/23/2023","1.1358","1.1384","1.1405","1.1358","27.37K","-0.21%"
"02/22/2023","1.1382","1.1413","1.1414","1.1368","32.13K","-0.22%"
"02/21/2023","1.1407","1.1428","1.1437","1.1399","32.39K","-0.17%"
"02/20/2023","1.1426","1.1423","1.1436","1.1391","29.51K","0.05%"
"02/17/2023","1.1420","1.1441","1.1442","1.1393","24.57K","-0.15%"
"02/16/2023","1.1438","1.1452","1.1470","1.1429","18.26K","-0.09%"
"02/15/2023","1.1449","1.1499","1.1500","1.1451","18.54K","-0.42%"
"02/14/2023","1.1496","1.1505","1.1529","1.1490","12.06K","-0.05%"
"02/13/2023","1.1502","1.1527","1.1528","1.1487","9.37K","-0.18%"
"02/10/2023","1.1523","1.1577","1.1577","1.1521","8.68K","-0.43%"
"02/09/2023","1.1573","1.1562","1.1590","1.1556","10.70K","0.12%"
"02/08/2023","1.1559","1.1555","1.1591","1.1554","14.03K","0.07%"
"02/07/2023","1.1551","1.1547","1.1584","1.1546","19.24K","0.10%"
"02/06/2023","1.1540","1.1582","1.1591","1.1535","21.08K","-0.34%"
"02/03/2023","1.1579","1.1652","1.1653","1.1563","19.73K","-0.57%"
"02/02/2023","1.1646","1.1633","1.1691","1.1627","19.55K","0.13%"
"02/01/2023","1.1630","1.1608","1.1638","1.1605","23.66K","0.21%"
"01/31/2023","1.1606","1.1609","1.1614","1.1593","21.86K","0.00%"
"01/30/2023","1.1606","1.1539","1.1613","1.1538","25.15K","0.60%"
"01/27/2023","1.1536","1.1539","1.1544","1.1537","19.54K","0.01%"
"01/26/2023","1.1535","1.1542","1.1545","1.1537","19.48K","-0.03%"
"01/25/2023","1.1538","1.1541","1.1547","1.1539","16.50K","0.00%"
"01/24/2023","1.1538","1.1543","1.1545","1.1537","12.90K","-0.01%"
"01/23/2023","1.1539","1.1538","1.1543","1.1534","24.40K","0.02%"
"01/20/2023","1.1536","1.1554","1.1579","1.1534","24.23K","-0.10%"
