"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2023","0.1916","0.1905","0.1924","0.1902","","0.52%"
"03/23/2023","0.1906","0.1907","0.1910","0.1885","","0.00%"
"03/22/2023","0.1906","0.1911","0.1913","0.1885","","-0.26%"
"03/21/2023","0.1911","0.1898","0.1917","0.1896","","0.68%"
"03/20/2023","0.1898","0.1902","0.1912","0.1890","","-0.21%"
"03/17/2023","0.1902","0.1914","0.1916","0.1894","","-0.58%"
"03/16/2023","0.1913","0.1925","0.1928","0.1910","","-0.62%"
"03/15/2023","0.1925","0.1908","0.1934","0.1898","","0.94%"
"03/14/2023","0.1907","0.1912","0.1922","0.1902","","-0.26%"
"03/13/2023","0.1912","0.1935","0.1937","0.1899","","-1.29%"
"03/10/2023","0.1937","0.1933","0.1941","0.1919","","0.21%"
"03/09/2023","0.1933","0.1934","0.1937","0.1919","","0.00%"
"03/08/2023","0.1933","0.1936","0.1939","0.1921","","-0.10%"
"03/07/2023","0.1935","0.1893","0.1936","0.1887","","2.22%"
"03/06/2023","0.1893","0.1883","0.1898","0.1881","","0.58%"
"03/03/2023","0.1882","0.1892","0.1894","0.1881","","-0.58%"
"03/02/2023","0.1893","0.1884","0.1900","0.1883","","0.48%"
"03/01/2023","0.1884","0.1893","0.1903","0.1877","","-0.48%"
"02/28/2023","0.1893","0.1893","0.1901","0.1884","","0.00%"
"02/27/2023","0.1893","0.1891","0.1902","0.1889","","-0.05%"
"02/24/2023","0.1894","0.1872","0.1896","0.1867","","1.18%"
"02/23/2023","0.1872","0.1874","0.1880","0.1863","","-0.05%"
"02/22/2023","0.1873","0.1859","0.1876","0.1857","","0.75%"
"02/21/2023","0.1859","0.1849","0.1862","0.1845","","0.60%"
"02/20/2023","0.1848","0.1852","0.1858","0.1845","","-0.27%"
"02/17/2023","0.1853","0.1851","0.1872","0.1850","","0.11%"
"02/16/2023","0.1851","0.1846","0.1863","0.1837","","0.27%"
"02/15/2023","0.1846","0.1823","0.1856","0.1822","","1.26%"
"02/14/2023","0.1823","0.1829","0.1840","0.1812","","-0.27%"
"02/13/2023","0.1828","0.1841","0.1849","0.1826","","-0.71%"
"02/10/2023","0.1841","0.1837","0.1844","0.1830","","0.27%"
"02/09/2023","0.1836","0.1840","0.1841","0.1816","","-0.22%"
"02/08/2023","0.1840","0.1831","0.1841","0.1821","","0.49%"
"02/07/2023","0.1831","0.1851","0.1852","0.1823","","-1.13%"
"02/06/2023","0.1852","0.1840","0.1859","0.1833","","0.65%"
"02/03/2023","0.1840","0.1802","0.1841","0.1799","","2.17%"
"02/02/2023","0.1801","0.1787","0.1804","0.1781","","0.84%"
"02/01/2023","0.1786","0.1807","0.1813","0.1785","","-1.16%"
"01/31/2023","0.1807","0.1808","0.1828","0.1805","","0.00%"
"01/30/2023","0.1807","0.1798","0.1811","0.1794","","0.50%"
"01/27/2023","0.1798","0.1796","0.1804","0.1792","","0.17%"
"01/26/2023","0.1795","0.1797","0.1805","0.1788","","-0.11%"
"01/25/2023","0.1797","0.1812","0.1816","0.1793","","-0.83%"
"01/24/2023","0.1812","0.1817","0.1826","0.1809","","-0.28%"
"01/23/2023","0.1817","0.1834","0.1837","0.1814","","-0.87%"
"01/20/2023","0.1833","0.1848","0.1849","0.1831","","-0.81%"
"01/19/2023","0.1848","0.1840","0.1858","0.1840","","0.38%"
"01/18/2023","0.1841","0.1831","0.1843","0.1810","","0.60%"
"01/17/2023","0.1830","0.1841","0.1846","0.1828","","-0.60%"
"01/16/2023","0.1841","0.1836","0.1845","0.1824","","0.33%"
"01/13/2023","0.1835","0.1837","0.1851","0.1830","","-0.16%"
"01/12/2023","0.1838","0.1855","0.1862","0.1833","","-0.86%"
"01/11/2023","0.1854","0.1859","0.1863","0.1848","","-0.27%"
"01/10/2023","0.1859","0.1852","0.1867","0.1848","","0.27%"
"01/09/2023","0.1854","0.1863","0.1865","0.1843","","-0.48%"
"01/06/2023","0.1863","0.1895","0.1905","0.1859","","-1.69%"
"01/05/2023","0.1895","0.1873","0.1901","0.1868","","1.34%"
"01/04/2023","0.1870","0.1902","0.1905","0.1857","","-1.68%"
"01/03/2023","0.1902","0.1883","0.1913","0.1874","","1.06%"
"01/02/2023","0.1882","0.1879","0.1886","0.1875","","0.16%"
"12/30/2022","0.1879","0.1893","0.1899","0.1877","","-0.69%"
"12/29/2022","0.1892","0.1904","0.1912","0.1890","","-0.63%"
"12/28/2022","0.1904","0.1905","0.1909","0.1886","","0.00%"
