"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2023","0.1184","0.1176","0.1189","0.1175","","0.65%"
"03/23/2023","0.1176","0.1174","0.1177","0.1166","","0.20%"
"03/22/2023","0.1173","0.1184","0.1185","0.1168","","-0.82%"
"03/21/2023","0.1183","0.1189","0.1192","0.1181","","-0.51%"
"03/20/2023","0.1189","0.1194","0.1199","0.1188","","-0.39%"
"03/17/2023","0.1194","0.1201","0.1201","0.1192","","-0.57%"
"03/16/2023","0.1201","0.1204","0.1208","0.1198","","-0.29%"
"03/15/2023","0.1204","0.1187","0.1212","0.1184","","1.44%"
"03/14/2023","0.1187","0.1188","0.1194","0.1185","","-0.05%"
"03/13/2023","0.1188","0.1197","0.1197","0.1186","","-0.79%"
"03/10/2023","0.1197","0.1204","0.1205","0.1190","","-0.53%"
"03/09/2023","0.1204","0.1208","0.1209","0.1203","","-0.34%"
"03/08/2023","0.1208","0.1208","0.1210","0.1205","","0.00%"
"03/07/2023","0.1207","0.1193","0.1208","0.1191","","1.22%"
"03/06/2023","0.1193","0.1198","0.1200","0.1191","","-0.41%"
"03/03/2023","0.1198","0.1202","0.1203","0.1197","","-0.34%"
"03/02/2023","0.1202","0.1194","0.1205","0.1194","","0.67%"
"03/01/2023","0.1194","0.1205","0.1206","0.1191","","-0.86%"
"02/28/2023","0.1204","0.1202","0.1205","0.1197","","0.22%"
"02/27/2023","0.1201","0.1209","0.1210","0.1200","","-0.52%"
"02/24/2023","0.1208","0.1203","0.1209","0.1201","","0.43%"
"02/23/2023","0.1202","0.1202","0.1205","0.1199","","0.06%"
"02/22/2023","0.1202","0.1197","0.1203","0.1195","","0.41%"
"02/21/2023","0.1197","0.1195","0.1198","0.1192","","0.20%"
"02/20/2023","0.1195","0.1192","0.1197","0.1192","","0.22%"
"02/17/2023","0.1192","0.1194","0.1201","0.1191","","-0.16%"
"02/16/2023","0.1194","0.1192","0.1196","0.1188","","0.16%"
"02/15/2023","0.1192","0.1186","0.1195","0.1186","","0.47%"
"02/14/2023","0.1186","0.1188","0.1190","0.1179","","-0.15%"
"02/13/2023","0.1188","0.1193","0.1196","0.1187","","-0.39%"
"02/10/2023","0.1193","0.1186","0.1194","0.1185","","0.55%"
"02/09/2023","0.1186","0.1189","0.1190","0.1180","","-0.25%"
