"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2023","7.8492","7.8495","7.8500","7.8486","12.60K","0.00%"
"03/23/2023","7.8494","7.8473","7.8500","7.8463","16.06K","0.03%"
"03/22/2023","7.8471","7.8458","7.8489","7.8438","26.14K","0.02%"
"03/21/2023","7.8458","7.8413","7.8470","7.8355","28.23K","0.06%"
"03/20/2023","7.8414","7.8490","7.8498","7.8409","26.85K","-0.10%"
"03/17/2023","7.8491","7.8497","7.8502","7.8488","12.94K","-0.01%"
"03/16/2023","7.8496","7.8495","7.8502","7.8472","16.38K","0.00%"
"03/15/2023","7.8494","7.8484","7.8501","7.8467","14.86K","0.02%"
"03/14/2023","7.8482","7.8442","7.8488","7.8380","26.29K","0.05%"
"03/13/2023","7.8441","7.8468","7.8492","7.8372","28.00K","-0.03%"
"03/10/2023","7.8466","7.8497","7.8501","7.8453","16.47K","-0.04%"
"03/09/2023","7.8494","7.8500","7.8502","7.8490","9.64K","0.00%"
"03/08/2023","7.8497","7.8498","7.8502","7.8495","9.71K","0.00%"
"03/07/2023","7.8496","7.8495","7.8502","7.8491","11.58K","0.00%"
"03/06/2023","7.8493","7.8499","7.8502","7.8490","18.22K","0.01%"
"03/03/2023","7.8489","7.8496","7.8503","7.8492","9.50K","-0.01%"
"03/02/2023","7.8495","7.8496","7.8500","7.8482","12.51K","0.00%"
"03/01/2023","7.8494","7.8493","7.8500","7.8488","17.00K","0.00%"
"02/28/2023","7.8491","7.8440","7.8499","7.8435","20.22K","0.07%"
"02/27/2023","7.8440","7.8479","7.8486","7.8432","20.13K","-0.06%"
"02/24/2023","7.8486","7.8465","7.8499","7.8458","20.37K","0.02%"
"02/23/2023","7.8468","7.8464","7.8475","7.8422","25.41K","0.01%"
"02/22/2023","7.8462","7.8448","7.8477","7.8415","30.14K","0.03%"
"02/21/2023","7.8441","7.8338","7.8458","7.8334","30.57K","0.13%"
"02/20/2023","7.8342","7.8448","7.8454","7.8229","28.00K","-0.13%"
"02/17/2023","7.8446","7.8492","7.8496","7.8437","22.64K","-0.05%"
"02/16/2023","7.8488","7.8479","7.8497","7.8464","16.13K","0.01%"
"02/15/2023","7.8478","7.8500","7.8500","7.8438","16.21K","-0.03%"
"02/14/2023","7.8499","7.8499","7.8503","7.8495","9.50K","0.00%"
"02/13/2023","7.8498","7.8494","7.8502","7.8492","7.58K","0.00%"
"02/10/2023","7.8498","7.8498","7.8502","7.8494","9.02K","0.00%"
"02/09/2023","7.8497","7.8498","7.8502","7.8482","12.07K","0.00%"
"02/08/2023","7.8497","7.8486","7.8502","7.8480","12.44K","0.02%"
"02/07/2023","7.8484","7.8465","7.8491","7.8461","16.98K","0.03%"
