Date,Price,Open,High,Low,Vol.,Change %
02/03/2023,23.92,23.47,24.37,22.76,,3.82%
02/02/2023,23.04,22.96,23.23,22.61,,-2.74%
02/01/2023,23.69,23.63,24.16,23.44,,-4.40%
01/31/2023,24.78,24.22,25.6,23.98,,-0.48%
01/30/2023,24.9,23.05,24.91,23.05,,10.91%
01/27/2023,22.45,22.78,22.87,22.36,,-2.18%
01/26/2023,22.95,23.54,23.54,22.59,,2.78%
01/20/2023,22.33,22.31,23.03,22.06,,0.22%
01/19/2023,22.28,22.56,22.78,22.14,,1.23%
01/18/2023,22.01,22.6,22.66,21.93,,-2.91%
01/17/2023,22.67,22.76,22.93,22.5,,-0.44%
01/16/2023,22.77,23.11,23.17,22.38,,0.44%
01/13/2023,22.67,23.79,23.8,22.61,,-8.22%
01/12/2023,24.7,24.82,24.87,24.01,,-0.48%
01/11/2023,24.82,25.52,25.53,24.54,,-5.73%
01/10/2023,26.33,27.73,27.75,25.89,,-5.53%
01/09/2023,27.87,27.48,28.6,27.39,,-0.54%
01/06/2023,28.02,27.82,28.45,27.73,,-4.34%
01/05/2023,29.29,29.08,29.76,29.02,,-1.08%
01/04/2023,29.61,29.9,30.04,29.21,,-2.24%
01/03/2023,30.29,30.54,31.13,29.82,,5.32%
12/30/2022,28.76,28.27,28.79,28.06,,-1.44%
12/29/2022,29.18,29.42,29.81,29.03,,-0.65%
12/28/2022,29.37,28.5,29.45,28.1,,3.31%
12/23/2022,28.43,32.41,32.41,27.29,,0.39%
12/22/2022,28.32,27.61,29.37,27.13,,3.58%
12/21/2022,27.34,28.25,28.28,27.09,,-4.31%
12/20/2022,28.57,28.37,29.47,27.39,,0.11%
12/19/2022,28.54,28.4,28.97,27.72,,1.53%
12/16/2022,28.11,27.36,28.57,27.28,,-0.53%
12/15/2022,28.26,27.63,29.5,27.63,,-5.14%
12/14/2022,29.79,30.9,31.17,29.07,,-7.91%
12/13/2022,32.35,30.94,32.86,30.93,,-0.19%
12/12/2022,32.41,30.35,32.47,30.35,,2.30%
12/09/2022,31.68,30.01,31.93,30.01,,2.16%
12/08/2022,31.01,30.65,31.19,29.48,,-2.85%
12/07/2022,31.92,31.8,32.34,29.73,,-1.05%
12/06/2022,32.26,32.66,33.52,31.88,,-6.11%
12/05/2022,34.36,33,34.72,32.8,,5.56%
12/02/2022,32.55,31.91,33.34,31.78,,-2.95%
12/01/2022,33.54,34.36,35.64,33.48,,-2.81%
11/30/2022,34.51,33.51,34.73,31.87,,0.55%
11/29/2022,34.32,32.1,34.32,31.38,,5.73%
11/28/2022,32.46,31.54,33.62,31.54,,9.44%
11/25/2022,29.66,29.68,30.13,29.48,,-2.21%
11/24/2022,30.33,31.68,32.1,30.31,,-2.79%
11/23/2022,31.2,31.39,32.59,30.55,,-4.94%
11/22/2022,32.82,34.01,34.08,32.3,,-5.69%
11/21/2022,34.8,36.07,36.55,34.66,,-0.17%
11/18/2022,34.86,35.4,36.95,34.85,,-5.25%
11/17/2022,36.79,37.46,38.18,36.06,,-3.11%
11/16/2022,37.97,37.95,38.74,36.33,,-1.58%
11/15/2022,38.58,36.67,38.58,35.79,,1.61%
11/14/2022,37.97,36.93,38.57,36.53,,1.74%
11/11/2022,37.32,33.91,38.17,33.75,,3.90%
11/10/2022,35.92,33.64,36.21,33.64,,2.80%
11/09/2022,34.94,35.71,35.72,34.45,,-3.37%
11/08/2022,36.16,37.4,37.42,36.16,,-4.01%
11/07/2022,37.67,38.8,39.23,37.1,,-0.19%
11/04/2022,37.74,35.97,39.28,35.91,,1.86%
11/03/2022,37.05,36.53,37.12,36.03,,1.31%
11/02/2022,36.57,37.78,37.78,36.28,,-3.84%
11/01/2022,38.03,38.52,38.83,37.28,,-3.65%
10/31/2022,39.47,38.58,41.44,38.35,,-0.58%
10/28/2022,39.7,35.75,40.99,34.9,,8.53%
10/27/2022,36.58,37.26,37.46,36.18,,-5.23%
10/26/2022,38.6,40.41,40.41,37.61,,-6.33%
10/25/2022,41.21,43.49,45.11,40.99,,-4.43%
10/24/2022,43.12,36.76,43.54,36.19,,22.85%
10/21/2022,35.1,34.85,35.21,34.45,,-0.65%
10/20/2022,35.33,35.27,36.15,33.78,,5.46%
10/19/2022,33.5,33.4,33.61,27.56,,-0.48%
10/18/2022,33.66,33.03,34.81,32.58,,-6.03%
