Date,Index
Feb-23,115.4502
Jan-23,116.0079
Dec-22,115.1156
Nov-22,115.2271
Oct-22,115.4502
Sep-22,115.3387
Aug-22,115.004
Jul-22,115.1156
Jun-22,114.5578
May-22,114.5578
Apr-22,114.7809
Mar-22,114.3347
Feb-22,114.3347
Jan-22,113.6655
Dec-21,113.1077
Nov-21,113.4424
Oct-21,112.9962
Sep-21,112.2154
Aug-21,112.2154
Jul-21,112.1038
Jun-21,111.7692
May-21,112.2154
Apr-21,112.3269
Mar-21,112.6615
Feb-21,113.2193
Jan-21,112.55
Dec-20,111.5
Nov-20,110.7
Oct-20,111.4
Sep-20,111.7
Aug-20,111.5
Jul-20,110
Jun-20,110.4
May-20,110.4
Apr-20,111.3
Mar-20,112.3
Feb-20,113.7
Jan-20,112.8
Dec-19,111.2
Nov-19,111.2
Oct-19,110.8
Sep-19,109.8
Aug-19,108.9
Jul-19,108.1
Jun-19,107.7
May-19,107.8
Apr-19,107.8
Mar-19,107.7
Feb-19,108.1
Jan-19,107
Dec-18,106.5
Nov-18,106.4
Oct-18,106.8
Sep-18,106.6
Aug-18,105.9
Jul-18,105.2
Jun-18,104.9
May-18,104.9
Apr-18,105.1
Mar-18,105.3
Feb-18,106.5
Jan-18,105.2
Dec-17,104.5
Nov-17,104.2
Oct-17,104.2
Sep-17,104.1
Aug-17,103.5
Jul-17,103
Jun-17,103.1
May-17,103.3
Apr-17,103.2
Mar-17,103.2
Feb-17,103.5
Jan-17,103.7
Dec-16,102.6
Nov-16,102.4
Oct-16,102.3
Sep-16,102.4
Aug-16,101.7
Jul-16,101.6
Jun-16,101.4
May-16,101.6
Apr-16,102
Mar-16,102.2
Feb-16,102.7
Jan-16,101.1
Dec-15,100.6
Nov-15,100.1
Oct-15,100.1
Sep-15,100.5
Aug-15,100.4
Jul-15,99.9
Jun-15,99.5
May-15,99.5
Apr-15,99.7
Mar-15,99.9
Feb-15,100.5
Jan-15,99.3
Dec-14,99
Nov-14,98.6
Oct-14,98.9
Sep-14,98.9
Aug-14,98.4
Jul-14,98.2
Jun-14,98.2
May-14,98.3
Apr-14,98.2
Mar-14,98.6
Feb-14,99.1
Jan-14,98.6
Dec-13,97.6238
Nov-13,97.3318
Oct-13,97.4296
Sep-13,97.33187
Aug-13,96.56228
Jul-13,96.07897
Jun-13,95.98406
May-13,95.98406
Apr-13,96.56242
Mar-13,96.37189
