Date,Caixin China Manufacturing PMI
01-Dec-22,49.4
01-Nov-22,49.2
01-Oct-22,48.1
01-Sep-22,49.5
01-Aug-22,50.4
01-Jul-22,51.7
01-Jun-22,48.1
01-May-22,46
01-Apr-22,48.1
01-Mar-22,50.4
01-Feb-22,49.1
01-Jan-22,50.9
01-Dec-21,49.9
01-Nov-21,50.6
01-Oct-21,50
01-Sep-21,49.2
01-Aug-21,50.3
01-Jul-21,51.3
01-Jun-21,52
01-May-21,51.9
01-Apr-21,50.6
01-Mar-21,50.9
01-Feb-21,51.5
01-Jan-21,53
01-Dec-20,54.9
01-Nov-20,53.6
01-Oct-20,53
01-Sep-20,53.1
01-Aug-20,52.8
01-Jul-20,51.2
01-Jun-20,50.7
01-May-20,49.4
01-Apr-20,50.1
01-Mar-20,40.3
01-Feb-20,51.1
01-Jan-20,51.5
01-Dec-19,51.8
01-Nov-19,51.9
01-Oct-19,51.4
01-Sep-19,50.4
01-Aug-19,49.9
01-Jul-19,49.4
01-Jun-19,50.2
01-May-19,51.7
01-Apr-19,50.8
01-Mar-19,49.9
01-Feb-19,48.3
01-Jan-19,49.7
01-Dec-18,50.2
01-Nov-18,50.1
01-Oct-18,50
01-Sep-18,50.6
01-Aug-18,50.8
01-Jul-18,51
01-Jun-18,51.1
01-May-18,51.1
01-Apr-18,51
01-Mar-18,51.6
01-Feb-18,51.5
01-Jan-18,51.5
01-Dec-17,50.8
01-Nov-17,51
01-Oct-17,51
01-Sep-17,51.6
01-Aug-17,51.1
01-Jul-17,50.4
01-Jun-17,49.6
01-May-17,50.3
01-Apr-17,51.2
01-Mar-17,51.7
01-Feb-17,51
01-Jan-17,51.9
01-Dec-16,50.9
01-Nov-16,51.2
01-Oct-16,50.1
01-Sep-16,50
01-Aug-16,50.6
01-Jul-16,48.6
01-Jun-16,49.2
01-May-16,49.4
01-Apr-16,49.7
01-Mar-16,48
01-Feb-16,48.4
01-Jan-16,48.2
01-Dec-15,48.6
01-Nov-15,48.3
01-Oct-15,47.2
01-Sep-15,47.3
01-Aug-15,47.8
01-Jul-15,49.4
01-Jun-15,49.2
01-May-15,48.9
01-Apr-15,49.6
01-Mar-15,50.7
01-Feb-15,49.7
01-Jan-15,49.6
01-Dec-14,50
01-Nov-14,50.4
01-Oct-14,50.2
01-Sep-14,50.2
01-Aug-14,51.7
01-Jul-14,50.7
01-Jun-14,49.4
01-May-14,48.1
01-Apr-14,48
01-Mar-14,48.5
01-Feb-14,49.5
01-Jan-14,50.5
01-Dec-13,50.8
01-Nov-13,50.9
01-Oct-13,50.2
01-Sep-13,50.1
01-Aug-13,47.7
01-Jul-13,48.2
01-Jun-13,49.2
01-May-13,50.4
01-Apr-13,51.6
01-Mar-13,50.4
01-Feb-13,52.3
01-Jan-13,51.5
01-Dec-12,50.5
01-Nov-12,49.5
01-Oct-12,47.9
01-Sep-12,47.7
01-Aug-12,49.3
01-Jul-12,48.2
01-Jun-12,48.4
01-May-12,49.3
01-Apr-12,48.3
01-Mar-12,49.6
01-Feb-12,48.8
01-Jan-12,48.7
01-Dec-11,47.7
01-Nov-11,51
01-Oct-11,49.9
01-Sep-11,49.9
01-Aug-11,49.3
01-Jul-11,50.1
01-Jun-11,51.6
01-May-11,51.8
01-Apr-11,51.8
01-Mar-11,51.7
01-Feb-11,54.5
01-Jan-11,54.4
01-Dec-10,55.3
01-Nov-10,54.8
01-Oct-10,52.9
01-Sep-10,51.9
01-Aug-10,49.4
01-Jul-10,50.4
01-Jun-10,52.7
01-May-10,55.4
01-Apr-10,57
01-Mar-10,55.8
01-Feb-10,57.4
01-Jan-10,56.1
01-Dec-09,55.7
01-Nov-09,55.4
01-Oct-09,55
01-Sep-09,55.1
01-Aug-09,52.8
01-Jul-09,51.8
01-Jun-09,51.2
01-May-09,50.1
01-Apr-09,44.8
01-Mar-09,45.1
01-Feb-09,42.2
01-Jan-09,41.2
01-Dec-08,40.9
01-Nov-08,45.2
01-Oct-08,47.7
01-Sep-08,49.2
01-Aug-08,53.3
01-Jul-08,53.3
01-Jun-08,54.7
01-May-08,55.4
01-Apr-08,54.4
01-Mar-08,52.8
01-Feb-08,53.2
01-Jan-08,53.3
01-Dec-07,52.8
01-Nov-07,55.2
01-Oct-07,55
01-Sep-07,53.4
01-Aug-07,53.2
01-Jul-07,55
01-Jun-07,54.1
01-May-07,53.3
01-Apr-07,52.3
01-Mar-07,53
01-Feb-07,52
01-Jan-07,52.4
01-Dec-06,53
01-Nov-06,52.1
01-Oct-06,52.4
01-Sep-06,52.6
01-Aug-06,53
01-Jul-06,52.9
01-Jun-06,52.8
01-May-06,52.7
01-Apr-06,51
01-Mar-06,50.7
01-Feb-06,50.2
01-Jan-06,50.1
01-Dec-05,49.8
01-Nov-05,50.1
01-Oct-05,50.9
01-Sep-05,50.6
01-Aug-05,51.5
01-Jul-05,51
01-Jun-05,53.3
01-May-05,54.4
01-Apr-05,55.2
01-Mar-05,52.9
01-Feb-05,52.1
