Date,Index
Dec-22,152.3854
Nov-22,152.1772
Oct-22,152.2339
Sep-22,152.0807
Aug-22,151.2307
Jul-22,150.2843
Jun-22,149.3199
May-22,148.722
Apr-22,147.9317
Mar-22,146.8957
Feb-22,146.2468
Jan-22,146.0994
Dec-21,145.7857
Nov-21,144.9698
Oct-21,143.8781
Sep-21,143.0687
Aug-21,142.7561
Jul-21,141.8612
Jun-21,140.75
May-21,139.8913
Apr-21,138.9754
Mar-21,138.1401
Feb-21,137.4662
Jan-21,136.8574
Dec-20,135.9308
Nov-20,134.789
Oct-20,133.694
Sep-20,132.733
Aug-20,132.2209
Jul-20,131.6872
Jun-20,130.8568
May-20,129.4656
Apr-20,127.6382
Mar-20,125.1925
Feb-20,123.0916
Jan-20,122.5865
Dec-19,122.7654
Nov-19,122.494
Oct-19,121.7449
Sep-19,121.6352
Aug-19,121.2406
Jul-19,120.4304
Jun-19,119.8567
May-19,119.1582
Apr-19,118.4279
Mar-19,117.4735
Feb-19,116.6674
Jan-19,116.5471
Dec-18,116.3768
Nov-18,115.7278
Oct-18,115.1301
Sep-18,114.8442
Aug-18,114.7083
Jul-18,114.7143
Jun-18,114.2834
May-18,113.4316
Apr-18,112.7842
Mar-18,112.2029
Feb-18,111.9041
Jan-18,111.9393
Dec-17,111.8837
Nov-17,111.4739
Oct-17,111.0502
Sep-17,110.8762
Aug-17,110.5455
Jul-17,110.1246
Jun-17,109.7787
May-17,109.5255
Apr-17,109.2168
Mar-17,108.4999
Feb-17,107.8458
Jan-17,107.5622
Dec-16,107.1984
Nov-16,106.5019
Oct-16,105.9027
Sep-16,105.7384
Aug-16,105.774
Jul-16,105.3873
Jun-16,104.8448
May-16,104.5536
Apr-16,103.8903
Mar-16,103.2904
Feb-16,103.0043
Jan-16,102.5261
Dec-15,102.2157
Nov-15,101.9152
Oct-15,101.103
Sep-15,100.6182
Aug-15,100.6511
Jul-15,100.309
Jun-15,99.95408
May-15,99.78095
Apr-15,99.1329
Mar-15,98.45128
Feb-15,98.14461
Jan-15,97.72409
Dec-14,96.7831
Nov-14,95.72164
Oct-14,95.15971
Sep-14,94.99536
Aug-14,94.71646
Jul-14,94.33298
Jun-14,94.11112
May-14,93.70287
Apr-14,93.26803
Mar-14,93.10048
Feb-14,92.97652
Jan-14,92.90446
Dec-13,93.06037
Nov-13,93.0981
Oct-13,92.90276
Sep-13,93.01929
Aug-13,92.9926
Jul-13,92.82501
Jun-13,92.90137
May-13,92.92949
Apr-13,92.68789
Mar-13,92.22491
Feb-13,91.96127
Jan-13,92.21375
Dec-12,92.27062
Nov-12,92.01973
Oct-12,91.7403
Sep-12,91.42383
Aug-12,91.48078
Jul-12,91.45948
Jun-12,91.14915
May-12,90.7966
Apr-12,90.60513
Mar-12,90.12021
Feb-12,89.59878
Jan-12,89.73794
Dec-11,89.51668
Nov-11,89.05396
Oct-11,89.13708
Sep-11,89.18055
Aug-11,88.89707
Jul-11,88.7002
Jun-11,88.63485
May-11,88.5741
Apr-11,88.2763
Mar-11,87.83842
Feb-11,87.74575
Jan-11,87.85007
Dec-10,87.66569
Nov-10,87.36653
Oct-10,87.2626
Sep-10,87.23569
Aug-10,87.21083
Jul-10,87.23395
Jun-10,88.10313
May-10,88.77915
Apr-10,88.24197
Mar-10,87.78699
Feb-10,87.84821
Jan-10,88.22002
Dec-09,88.29002
Nov-09,88.19508
Oct-09,88.37059
Sep-09,88.4549
Aug-09,88.65608
Jul-09,89.02157
Jun-09,89.21963
May-09,89.37362
Apr-09,89.10888
Mar-09,88.75161
Feb-09,88.71981
Jan-09,88.76407
Dec-08,88.61053
Nov-08,88.1511
Oct-08,87.35616
Sep-08,86.44452
Aug-08,86.01992
Jul-08,85.75549
Jun-08,85.52795
May-08,85.03423
Apr-08,84.16901
Mar-08,83.38483
Feb-08,82.95396
Jan-08,82.41399
Dec-07,81.5077
Nov-07,80.6054
Oct-07,79.6703
Sep-07,78.74497
Aug-07,78.28656
Jul-07,77.99591
Jun-07,77.3759
May-07,76.59356
Apr-07,75.87624
Mar-07,74.83858
Feb-07,73.94446
Jan-07,73.68704
Dec-06,72.76392
Nov-06,71.66408
Oct-06,71.26898
Sep-06,70.66681
Aug-06,70.06609
Jul-06,69.90903
Jun-06,69.69191
May-06,69.3781
Apr-06,68.62699
Mar-06,67.73877
Feb-06,67.30381
Jan-06,67.20077
Dec-05,66.63905
Nov-05,65.87474
Oct-05,65.51672
Sep-05,65.04797
Aug-05,64.87823
Jul-05,64.72659
Jun-05,64.14462
May-05,63.56118
Apr-05,62.91018
Mar-05,62.37503
Feb-05,62.15745
Jan-05,62.00828
Dec-04,61.48021
Nov-04,60.85713
Oct-04,60.41854
Sep-04,59.99165
Aug-04,59.92378
Jul-04,59.87024
Jun-04,59.5944
May-04,59.33781
Apr-04,58.97062
Mar-04,58.58255
Feb-04,58.33032
Jan-04,58.25239
Dec-03,58.00396
Nov-03,57.47627
Oct-03,56.99654
Sep-03,56.80082
Aug-03,56.84973
Jul-03,56.81773
Jun-03,56.7838
May-03,56.57998
Apr-03,55.96
Mar-03,55.33726
Feb-03,54.94232
Jan-03,54.76493
Dec-02,54.33383
Nov-02,53.56094
Oct-02,53.12784
Sep-02,52.81079
Aug-02,52.52822
Jul-02,52.49494
Jun-02,52.43296
May-02,52.13582
Apr-02,51.7527
Mar-02,51.39721
Feb-02,51.21761
Jan-02,51.29074
Dec-01,50.88321
Nov-01,50.14284
Oct-01,49.76244
Sep-01,49.39537
Aug-01,49.14432
Jul-01,49.16439
Jun-01,48.9962
May-01,48.61637
Apr-01,48.22163
Mar-01,47.80643
Feb-01,47.50601
Jan-01,46.85896
Dec-00,45.94219
Nov-00,45.44405
Oct-00,45.26704
Sep-00,45.23717
Aug-00,45.2725
Jul-00,45.30563
Jun-00,45.38879
May-00,45.48732
Apr-00,45.24625
Mar-00,44.83219
Feb-00,44.6172
Jan-00,44.47797
Dec-99,44.0153
Nov-99,43.40089
Oct-99,43.09991
Sep-99,42.92128
Aug-99,42.92963
Jul-99,43.00114
Jun-99,42.84182
May-99,42.55934
Apr-99,42.23045
Mar-99,42.00204
Feb-99,42.02086
Jan-99,42.13577
Dec-98,41.83035
Nov-98,41.34289
Oct-98,41.04991
Sep-98,40.92289
Aug-98,40.99917
Jul-98,41.08394
Jun-98,41.02006
May-98,40.79273
Apr-98,40.49218
Mar-98,40.27737
Feb-98,40.19445
Jan-98,40.20127
Dec-97,39.86291
Nov-97,39.30001
Oct-97,39.06906
Sep-97,38.94899
Aug-97,38.95157
Jul-97,39.03286
Jun-97,38.91141
May-97,38.61496
Apr-97,38.42094
Mar-97,38.34108
Feb-97,38.25386
Jan-97,38.39734
Dec-96,38.1425
Nov-96,37.57867
Oct-96,37.46374
Sep-96,37.3969
Aug-96,37.30007
Jul-96,37.34448
Jun-96,37.31187
May-96,37.19242
Apr-96,37.1212
Mar-96,37.00742
Feb-96,36.8917
Jan-96,36.98999
Dec-95,36.59643
Nov-95,35.8789
Oct-95,35.65858
Sep-95,35.51575
Aug-95,35.39522
Jul-95,35.41511
Jun-95,35.33707
May-95,35.14946
Apr-95,34.99992
Mar-95,34.93977
Feb-95,34.90718
Jan-95,35.04473
Dec-94,34.8726
Nov-94,34.41824
Oct-94,34.25485
Sep-94,34.19672
Aug-94,34.32075
Jul-94,34.43635
Jun-94,34.35928
May-94,34.29366
Apr-94,34.26827
Mar-94,34.15069
Feb-94,34.09097
Jan-94,34.27484
Dec-93,33.94279
Nov-93,33.29352
Oct-93,33.02143
Sep-93,32.84391
Aug-93,32.80367
Jul-93,32.84085
Jun-93,32.80605
May-93,32.64515
Apr-93,32.51075
Mar-93,32.2961
Feb-93,32.07701
