Date,US 10yr Benchmark Yield %,US CPI YoY %,US Real 10yr Rate (10yr Benchmark - CPI All Items)
31-Dec-22,3.83,,
30-Nov-22,3.68,7.12,-3.44
31-Oct-22,4.1,7.76,-3.66
30-Sep-22,3.83,8.22,-4.39
31-Aug-22,3.15,8.25,-5.1
31-Jul-22,2.67,8.48,-5.81
30-Jun-22,2.98,9,-6.02
31-May-22,2.85,8.52,-5.67
30-Apr-22,2.89,8.22,-5.33
31-Mar-22,2.32,8.56,-6.24
28-Feb-22,1.83,7.91,-6.08
31-Jan-22,1.79,7.53,-5.74
31-Dec-21,1.52,7.1,-5.58
30-Nov-21,1.43,6.83,-5.4
31-Oct-21,1.55,6.24,-4.69
30-Sep-21,1.52,5.39,-3.87
31-Aug-21,1.3,5.21,-3.91
31-Jul-21,1.24,5.28,-4.04
30-Jun-21,1.45,5.34,-3.89
31-May-21,1.58,4.94,-3.36
30-Apr-21,1.65,4.15,-2.5
31-Mar-21,1.74,2.66,-0.92
28-Feb-21,1.44,1.68,-0.24
31-Jan-21,1.11,1.36,-0.25
31-Dec-20,0.93,1.28,-0.35
30-Nov-20,0.84,1.14,-0.3
31-Oct-20,0.88,1.18,-0.3
30-Sep-20,0.69,1.4,-0.71
31-Aug-20,0.72,1.33,-0.61
31-Jul-20,0.55,1.03,-0.48
30-Jun-20,0.66,0.73,-0.07
31-May-20,0.65,0.24,0.41
30-Apr-20,0.64,0.36,0.28
31-Mar-20,0.7,1.53,-0.83
29-Feb-20,1.13,2.32,-1.19
31-Jan-20,1.51,2.46,-0.95
31-Dec-19,1.92,2.26,-0.34
30-Nov-19,1.78,2.03,-0.25
31-Oct-19,1.69,1.76,-0.07
30-Sep-19,1.68,1.73,-0.05
31-Aug-19,1.5,1.76,-0.26
31-Jul-19,2.02,1.82,0.2
30-Jun-19,2,1.69,0.31
31-May-19,2.14,1.81,0.33
30-Apr-19,2.51,2.01,0.5
31-Mar-19,2.41,1.88,0.53
28-Feb-19,2.73,1.48,1.25
31-Jan-19,2.63,1.5,1.13
31-Dec-18,2.69,1.92,0.77
30-Nov-18,3.01,2.17,0.84
31-Oct-18,3.15,2.53,0.62
30-Sep-18,3.05,2.36,0.69
31-Aug-18,2.86,2.68,0.18
31-Jul-18,2.96,2.9,0.06
30-Jun-18,2.85,2.85,0
31-May-18,2.83,2.78,0.05
30-Apr-18,2.95,2.44,0.51
31-Mar-18,2.74,2.33,0.41
28-Feb-18,2.87,2.23,0.64
31-Jan-18,2.72,2.1,0.62
31-Dec-17,2.4,2.13,0.27
30-Nov-17,2.42,2.17,0.25
31-Oct-17,2.38,2.02,0.36
30-Sep-17,2.33,2.18,0.15
31-Aug-17,2.12,1.93,0.19
31-Jul-17,2.3,1.73,0.57
30-Jun-17,2.31,1.64,0.67
31-May-17,2.21,1.86,0.35
30-Apr-17,2.29,2.18,0.11
31-Mar-17,2.4,2.44,-0.04
28-Feb-17,2.36,2.81,-0.45
31-Jan-17,2.45,2.51,-0.06
31-Dec-16,2.45,2.05,0.4
30-Nov-16,2.37,1.68,0.69
31-Oct-16,1.84,1.69,0.15
30-Sep-16,1.6,1.55,0.05
31-Aug-16,1.58,1.06,0.52
31-Jul-16,1.46,0.87,0.59
30-Jun-16,1.49,1.08,0.41
31-May-16,1.84,1.08,0.76
30-Apr-16,1.83,1.17,0.66
31-Mar-16,1.78,0.89,0.89
29-Feb-16,1.74,0.85,0.89
31-Jan-16,1.94,1.24,0.7
31-Dec-15,2.27,0.64,1.63
30-Nov-15,2.21,0.44,1.77
31-Oct-15,2.16,0.13,2.03
30-Sep-15,2.06,0.01,2.05
31-Aug-15,2.21,0.24,1.97
31-Jul-15,2.2,0.23,1.97
30-Jun-15,2.35,0.18,2.17
31-May-15,2.12,0.04,2.08
30-Apr-15,2.05,-0.1,2.15
31-Mar-15,1.94,-0.02,1.96
28-Feb-15,2,-0.09,2.09
31-Jan-15,1.68,-0.23,1.91
31-Dec-14,2.17,0.65,1.52
30-Nov-14,2.18,1.23,0.95
31-Oct-14,2.35,1.61,0.74
30-Sep-14,2.52,1.68,0.84
31-Aug-14,2.35,1.72,0.63
31-Jul-14,2.58,1.97,0.61
30-Jun-14,2.53,2.06,0.47
31-May-14,2.48,2.17,0.31
30-Apr-14,2.67,2.02,0.65
31-Mar-14,2.73,1.61,1.12
28-Feb-14,2.66,1.12,1.54
31-Jan-14,2.67,1.56,1.11
31-Dec-13,3.04,1.51,1.53
30-Nov-13,2.75,1.23,1.52
31-Oct-13,2.57,0.88,1.69
30-Sep-13,2.64,1.09,1.55
31-Aug-13,2.78,1.54,1.24
31-Jul-13,2.6,1.89,0.71
30-Jun-13,2.52,1.72,0.8
31-May-13,2.16,1.39,0.77
30-Apr-13,1.7,1.14,0.56
31-Mar-13,1.87,1.52,0.35
28-Feb-13,1.89,2.02,-0.13
31-Jan-13,2.02,1.68,0.34
31-Dec-12,1.78,1.76,0.02
30-Nov-12,1.62,1.8,-0.18
31-Oct-12,1.72,2.16,-0.44
30-Sep-12,1.65,1.95,-0.3
31-Aug-12,1.57,1.69,-0.12
31-Jul-12,1.51,1.42,0.09
30-Jun-12,1.67,1.65,0.02
31-May-12,1.59,1.74,-0.15
30-Apr-12,1.95,2.27,-0.32
31-Mar-12,2.23,2.58,-0.35
29-Feb-12,1.98,2.9,-0.92
31-Jan-12,1.83,3.01,-1.18
31-Dec-11,1.89,3.06,-1.17
30-Nov-11,2.08,3.45,-1.37
31-Oct-11,2.17,3.52,-1.35
30-Sep-11,1.92,3.81,-1.89
31-Aug-11,2.23,3.75,-1.52
31-Jul-11,2.82,3.58,-0.76
30-Jun-11,3.18,3.5,-0.32
31-May-11,3.05,3.46,-0.41
30-Apr-11,3.32,3.08,0.24
31-Mar-11,3.47,2.62,0.85
28-Feb-11,3.42,2.12,1.3
31-Jan-11,3.42,1.7,1.72
31-Dec-10,3.3,1.44,1.86
30-Nov-10,2.81,1.08,1.73
31-Oct-10,2.63,1.17,1.46
30-Sep-10,2.53,1.12,1.41
31-Aug-10,2.47,1.15,1.32
31-Jul-10,2.94,1.34,1.6
30-Jun-10,2.97,1.12,1.85
31-May-10,3.31,2,1.31
30-Apr-10,3.69,2.21,1.48
31-Mar-10,3.84,2.29,1.55
28-Feb-10,3.61,2.15,1.46
31-Jan-10,3.63,2.62,1.01
31-Dec-09,3.85,2.81,1.04
30-Nov-09,3.21,1.91,1.3
31-Oct-09,3.41,-0.22,3.63
30-Sep-09,3.31,-1.38,4.69
31-Aug-09,3.4,-1.48,4.88
31-Jul-09,3.52,-1.96,5.48
30-Jun-09,3.53,-1.23,4.76
31-May-09,3.47,-1.02,4.49
30-Apr-09,3.16,-0.58,3.74
31-Mar-09,2.71,-0.45,3.16
28-Feb-09,3.02,0.01,3.01
31-Jan-09,2.87,-0.11,2.98
31-Dec-08,2.25,-0.02,2.27
30-Nov-08,2.93,1.1,1.83
31-Oct-08,4.01,3.73,0.28
30-Sep-08,3.85,4.95,-1.1
31-Aug-08,3.83,5.31,-1.48
31-Jul-08,3.99,5.5,-1.51
30-Jun-08,3.99,4.94,-0.95
31-May-08,4.06,4.09,-0.03
30-Apr-08,3.77,3.9,-0.13
31-Mar-08,3.45,3.97,-0.52
29-Feb-08,3.53,4.14,-0.61
31-Jan-08,3.67,4.29,-0.62
31-Dec-07,4.04,4.11,-0.07
30-Nov-07,3.97,4.37,-0.4
31-Oct-07,4.48,3.61,0.87
30-Sep-07,4.59,2.83,1.76
31-Aug-07,4.54,1.9,2.64
31-Jul-07,4.78,2.32,2.46
30-Jun-07,5.03,2.69,2.34
31-May-07,4.9,2.71,2.19
30-Apr-07,4.63,2.59,2.04
31-Mar-07,4.65,2.8,1.85
28-Feb-07,4.56,2.42,2.14
31-Jan-07,4.83,2.08,2.75
31-Dec-06,4.71,2.52,2.19
30-Nov-06,4.46,1.97,2.49
31-Oct-06,4.61,1.41,3.2
30-Sep-06,4.64,2.01,2.63
31-Aug-06,4.74,3.93,0.81
31-Jul-06,4.99,4.1,0.89
30-Jun-06,5.15,4.18,0.97
31-May-06,5.12,3.98,1.14
30-Apr-06,5.07,3.61,1.46
31-Mar-06,4.86,3.42,1.44
28-Feb-06,4.55,3.64,0.91
31-Jan-06,4.53,4.02,0.51
31-Dec-05,4.39,3.34,1.05
30-Nov-05,4.49,3.34,1.15
31-Oct-05,4.57,4.35,0.22
30-Sep-05,4.34,4.74,-0.4
31-Aug-05,4.02,3.65,0.37
31-Jul-05,4.28,3.07,1.21
30-Jun-05,3.94,2.54,1.4
31-May-05,4,2.87,1.13
30-Apr-05,4.21,3.36,0.85
31-Mar-05,4.5,3.21,1.29
28-Feb-05,4.36,3.05,1.31
31-Jan-05,4.14,2.84,1.3
31-Dec-04,4.24,3.34,0.9
30-Nov-04,4.36,3.62,0.74
31-Oct-04,4.05,3.19,0.86
30-Sep-04,4.14,2.54,1.6
31-Aug-04,4.13,2.55,1.58
31-Jul-04,4.5,2.94,1.56
30-Jun-04,4.62,3.17,1.45
31-May-04,4.66,2.9,1.76
30-Apr-04,4.53,2.29,2.24
31-Mar-04,3.86,1.74,2.12
29-Feb-04,3.99,1.69,2.3
31-Jan-04,4.16,2.03,2.13
31-Dec-03,4.27,2.04,2.23
30-Nov-03,4.34,1.93,2.41
31-Oct-03,4.33,2.04,2.29
30-Sep-03,3.96,2.38,1.58
31-Aug-03,4.45,2.22,2.23
31-Jul-03,4.49,2.06,2.43
30-Jun-03,3.54,1.95,1.59
31-May-03,3.37,1.89,1.48
30-Apr-03,3.89,2.18,1.71
31-Mar-03,3.83,3.03,0.8
28-Feb-03,3.71,3.15,0.56
31-Jan-03,4,2.76,1.24
31-Dec-02,3.83,2.48,1.35
30-Nov-02,4.22,2.25,1.97
31-Oct-02,3.93,2.03,1.9
30-Sep-02,3.63,1.52,2.11
31-Aug-02,4.14,1.75,2.39
31-Jul-02,4.51,1.47,3.04
30-Jun-02,4.86,1.07,3.79
31-May-02,5.08,1.24,3.84
30-Apr-02,5.11,1.64,3.47
31-Mar-02,5.42,1.36,4.06
28-Feb-02,4.88,1.14,3.74
31-Jan-02,5.07,1.2,3.87
31-Dec-01,5.07,1.6,3.47
30-Nov-01,4.78,1.89,2.89
31-Oct-01,4.3,2.13,2.17
30-Sep-01,4.6,2.59,2.01
31-Aug-01,4.85,2.72,2.13
31-Jul-01,5.07,2.72,2.35
