Date,Index
Feb-23,126.9276
Jan-23,126.223
Dec-22,125.2218
Nov-22,125.6074
Oct-22,125.7344
Sep-22,125.2265
Aug-22,124.9577
Jul-22,125.002
Jun-22,125.0168
May-22,123.3228
Apr-22,121.9782
Mar-22,121.301
Feb-22,119.7028
Jan-22,118.6193
Dec-21,117.6295
Nov-21,117.2692
Oct-21,116.6958
Sep-21,115.7343
Aug-21,115.4208
Jul-21,115.1829
Jun-21,114.6314
May-21,113.5762
Apr-21,112.6729
Mar-21,111.7544
Feb-21,110.9684
Jan-21,110.3642
Dec-20,109.8968
Nov-20,109.7934
Oct-20,109.8605
Sep-20,109.8149
Aug-20,109.6622
Jul-20,109.3175
Jun-20,108.7673
May-20,108.1754
Apr-20,108.1733
Mar-20,108.9015
Feb-20,109.139
Jan-20,108.8407
Dec-19,108.4201
Nov-19,108.5188
Oct-19,108.577
Sep-19,108.3294
Aug-19,108.2446
Jul-19,108.25
Jun-19,108.0695
May-19,108.0479
Apr-19,107.8184
Mar-19,107.2505
Feb-19,106.6489
Jan-19,106.2
Dec-18,105.9979
Nov-18,106.3375
Oct-18,106.6949
Sep-18,106.5067
Aug-18,106.3831
Jul-18,106.324
Jun-18,106.3168
May-18,106.1477
Apr-18,105.708
Mar-18,105.2895
Feb-18,105.052
Jan-18,104.5777
Dec-17,104.0111
Nov-17,104.0723
Oct-17,104.0697
Sep-17,104.1356
Aug-17,103.5871
Jul-17,103.2778
Jun-17,103.3491
May-17,103.2555
Apr-17,103.1673
Mar-17,102.8622
Feb-17,102.7787
Jan-17,102.4564
Dec-16,101.8627
Nov-16,101.8294
Oct-16,101.988
Sep-16,101.861
Aug-16,101.6168
Jul-16,101.5235
Jun-16,101.6881
May-16,101.3552
Apr-16,100.9468
Mar-16,100.4704
Feb-16,100.0397
Jan-16,99.95739
Dec-15,99.79242
Nov-15,100.1346
Oct-15,100.3464
Sep-15,100.3915
Aug-15,100.5481
Jul-15,100.6907
Jun-15,100.6839
May-15,100.3325
Apr-15,99.82364
Mar-15,99.62112
Feb-15,99.03172
Jan-15,98.60348
Dec-14,99.06969
Nov-14,99.63463
Oct-14,100.1755
Sep-14,100.4278
Aug-14,100.3523
Jul-14,100.5202
Jun-14,100.5595
May-14,100.3725
Apr-14,100.0232
Mar-14,99.69453
Feb-14,99.05661
Jan-14,98.69166
Dec-13,98.32586
Nov-13,98.3343
Oct-13,98.53555
Sep-13,98.78996
Aug-13,98.6752
Jul-13,98.55664
Jun-13,98.51783
May-13,98.28198
Apr-13,98.10731
Mar-13,98.20941
