Date,Index
Dec-22,176.0664
Nov-22,177.2901
Oct-22,177.794
Sep-22,178.523
Aug-22,179.5906
Jul-22,179.6255
Jun-22,179.3864
May-22,179.7326
Apr-22,179.6927
Mar-22,180.4856
Feb-22,180.2257
Jan-22,179.7384
Dec-21,178.4117
Nov-21,177.2436
Oct-21,175.5384
Sep-21,174.0606
Aug-21,172.9772
Jul-21,171.1507
Jun-21,169.8622
May-21,169.5185
Apr-21,166.9614
Mar-21,164.8286
Feb-21,162.8469
Jan-21,160.832
Dec-20,158.7764
Nov-20,157.4895
Oct-20,155.546
Sep-20,154.2135
Aug-20,152.4053
Jul-20,151.7445
Jun-20,150.5116
May-20,148.07
Apr-20,141.1568
Mar-20,132.7393
Feb-20,128.34
Jan-20,127.8676
Dec-19,127.181
Nov-19,126.6065
Oct-19,125.729
Sep-19,124.5716
Aug-19,123.866
Jul-19,123.152
Jun-19,122.4961
May-19,121.4808
Apr-19,120.7211
Mar-19,120.4696
Feb-19,120.1508
Jan-19,119.8062
Dec-18,119.2085
Nov-18,118.2355
Oct-18,118.1267
Sep-18,118.0113
Aug-18,117.7855
Jul-18,117.3671
Jun-18,117.0815
May-18,116.5717
Apr-18,116.1276
Mar-18,115.9433
Feb-18,115.4841
Jan-18,115.1355
Dec-17,115.0034
Nov-17,114.6033
Oct-17,114.3816
Sep-17,113.9225
Aug-17,113.5697
Jul-17,113.0832
Jun-17,112.5676
May-17,112.3675
Apr-17,111.9366
Mar-17,111.4194
Feb-17,110.8449
Jan-17,110.2746
Dec-16,109.6677
Nov-16,109.3929
Oct-16,108.8026
Sep-16,108.2422
Aug-16,107.7466
Jul-16,107.0309
Jun-16,106.532
May-16,105.9815
Apr-16,105.4236
Mar-16,104.6872
Feb-16,104.1551
Jan-16,103.5274
Dec-15,102.4814
Nov-15,101.9998
Oct-15,101.2593
Sep-15,100.9911
Aug-15,100.5345
Jul-15,100.1103
Jun-15,99.67359
May-15,99.29585
Apr-15,99.02271
Mar-15,98.62586
Feb-15,98.49551
Jan-15,97.51006
Dec-14,96.98121
Nov-14,96.34361
Oct-14,96.00073
Sep-14,95.49762
Aug-14,95.22033
Jul-14,94.97542
Jun-14,94.48393
May-14,94.0323
Apr-14,93.45613
Mar-14,92.9854
Feb-14,92.65996
Jan-14,91.97836
Dec-13,91.56242
Nov-13,91.06595
Oct-13,90.96384
Sep-13,90.00577
Aug-13,89.58154
Jul-13,89.08839
Jun-13,88.70732
May-13,88.23659
Apr-13,87.88541
Mar-13,87.58736
Feb-13,87.02282
Jan-13,87.00206
Dec-12,86.83768
Nov-12,85.82399
Oct-12,85.24036
Sep-12,84.68826
Aug-12,84.02824
Jul-12,83.45125
Jun-12,83.01539
May-12,82.42677
Apr-12,82.06313
Mar-12,81.61481
Feb-12,81.24205
Jan-12,80.80702
Dec-11,80.1993
Nov-11,79.80495
Oct-11,79.3857
Sep-11,79.10509
Aug-11,78.93324
Jul-11,77.34753
Jun-11,75.97269
May-11,75.34589
Apr-11,74.75976
Mar-11,74.25001
Feb-11,73.78011
Jan-11,73.25043
Dec-10,73.07359
Nov-10,72.80959
Oct-10,72.63857
Sep-10,72.22927
Aug-10,71.97191
Jul-10,71.55431
Jun-10,71.47295
May-10,71.31438
Apr-10,70.86025
Mar-10,70.60538
Feb-10,70.62946
Jan-10,70.22016
Dec-09,70.53481
Nov-09,70.57466
Oct-09,70.32809
Sep-09,70.10476
Aug-09,70.1114
Jul-09,70.11223
Jun-09,70.07404
May-09,69.99268
Apr-09,69.51282
Mar-09,69.48293
Feb-09,68.93333
Jan-09,68.68925
Dec-08,68.0118
Nov-08,66.54813
Oct-08,66.12888
Sep-08,65.25051
Aug-08,64.67517
Jul-08,64.5523
Jun-08,64.16625
May-08,64.0193
Apr-08,63.91968
Mar-08,63.56269
Feb-08,63.01807
Jan-08,62.31156
Dec-07,62.03012
Nov-07,61.78271
Oct-07,61.57848
Sep-07,61.46225
Aug-07,61.31199
Jul-07,60.68019
Jun-07,60.42781
May-07,60.15218
Apr-07,60.03512
Mar-07,59.4357
Feb-07,59.15509
Jan-07,59.02475
Dec-06,58.70927
Nov-06,58.35062
Oct-06,58.05921
Sep-06,57.65158
Aug-06,57.42659
Jul-06,57.17089
Jun-06,56.82718
May-06,56.5117
Apr-06,56.45524
Mar-06,56.1464
Feb-06,56.02768
Jan-06,55.82594
Dec-05,55.47393
Nov-05,55.25061
Oct-05,55.11445
Sep-05,54.82969
Aug-05,54.54659
Jul-05,54.27428
Jun-05,54.01193
May-05,53.74211
Apr-05,53.59766
Mar-05,53.48143
Feb-05,53.40588
Jan-05,53.33697
Dec-04,53.2855
Nov-04,53.1319
Oct-04,52.9119
Sep-04,52.67944
Aug-04,52.39136
Jul-04,52.17301
Jun-04,52.05844
May-04,52.03852
Apr-04,51.40008
Mar-04,51.05886
Feb-04,50.76165
Jan-04,50.43953
Dec-03,50.37145
Nov-03,50.38639
Oct-03,50.34073
Sep-03,50.41711
Aug-03,50.64957
Jul-03,50.16722
Jun-03,49.77951
May-03,49.47482
Apr-03,48.97254
Mar-03,48.66204
Feb-03,48.49019
Jan-03,48.19048
Dec-02,47.91983
Nov-02,47.74217
Oct-02,47.3254
Sep-02,46.95679
Aug-02,46.75422
Jul-02,46.40138
Jun-02,46.04771
May-02,45.84015
Apr-02,45.62347
Mar-02,45.62181
Feb-02,45.52384
Jan-02,45.28059
Dec-01,45.11206
Nov-01,44.67205
Oct-01,44.30924
Sep-01,44.40306
Aug-01,43.47986
Jul-01,43.19925
Jun-01,42.95102
May-01,42.61478
Apr-01,42.63885
Mar-01,42.10835
Feb-01,41.62766
Jan-01,41.30886
Dec-00,40.88794
Nov-00,40.51683
Oct-00,40.42468
Sep-00,40.29185
Aug-00,39.99546
Jul-00,39.76217
Jun-00,39.61605
May-00,39.46745
Apr-00,39.56873
Mar-00,39.10464
Feb-00,38.84894
Jan-00,38.73935
Dec-99,38.50523
Nov-99,38.27692
Oct-99,38.11918
Sep-99,37.92159
Aug-99,37.78876
Jul-99,37.64596
