DATE,GDP
01-Oct-2022,26144.956
01-Jul-2022,25723.941
01-Apr-2022,25248.476
01-Jan-2022,24740.48
01-Oct-2021,24349.121
01-Jul-2021,23550.42
01-Apr-2021,23046.934
01-Jan-2021,22313.85
01-Oct-2020,21704.706
01-Jul-2020,21362.428
01-Apr-2020,19636.731
01-Jan-2020,21538.032
01-Oct-2019,21706.532
01-Jul-2019,21531.839
01-Apr-2019,21272.448
01-Jan-2019,21013.085
01-Oct-2018,20819.269
01-Jul-2018,20687.278
01-Apr-2018,20470.197
01-Jan-2018,20155.486
01-Oct-2017,19894.75
01-Jul-2017,19561.896
01-Apr-2017,19304.506
01-Jan-2017,19148.194
01-Oct-2016,18968.041
01-Jul-2016,18775.459
01-Apr-2016,18611.617
01-Jan-2016,18425.306
01-Oct-2015,18332.079
01-Jul-2015,18306.96
01-Apr-2015,18193.707
01-Jan-2015,17991.348
01-Oct-2014,17852.54
01-Jul-2014,17743.227
01-Apr-2014,17462.703
01-Jan-2014,17144.281
01-Oct-2013,17133.114
01-Jul-2013,16911.068
01-Apr-2013,16699.551
01-Jan-2013,16629.05
01-Oct-2012,16420.386
01-Jul-2012,16319.54
01-Apr-2012,16207.13
01-Jan-2012,16068.824
01-Oct-2011,15842.267
01-Jul-2011,15647.681
01-Apr-2011,15557.535
01-Jan-2011,15351.444
01-Oct-2010,15309.471
01-Jul-2010,15141.605
01-Apr-2010,14980.193
01-Jan-2010,14764.611
01-Oct-2009,14651.248
01-Jul-2009,14448.882
01-Apr-2009,14381.236
01-Jan-2009,14430.901
01-Oct-2008,14608.208
01-Jul-2008,14898.999
01-Apr-2008,14865.701
01-Jan-2008,14706.538
01-Oct-2007,14715.058
01-Jul-2007,14564.117
01-Apr-2007,14402.082
01-Jan-2007,14215.651
01-Oct-2006,14039.56
01-Jul-2006,13870.188
01-Apr-2006,13753.424
01-Jan-2006,13599.16
01-Oct-2005,13324.204
01-Jul-2005,13142.642
01-Apr-2005,12922.656
01-Jan-2005,12767.286
01-Oct-2004,12527.214
01-Jul-2004,12305.307
01-Apr-2004,12112.815
01-Jan-2004,11923.447
01-Oct-2003,11772.234
01-Jul-2003,11566.669
01-Apr-2003,11312.766
01-Jan-2003,11174.129
01-Oct-2002,11061.433
01-Jul-2002,10984.04
01-Apr-2002,10887.46
01-Jan-2002,10783.5
