Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,EV,EV FQ-1,EV FQ-2,EV FQ-3,EV FQ-4,EV FQ-5,EV FQ-6,EV FQ-7,EV FQ-8,EV FQ-9,EV FQ-10,EV FQ-11,EV FQ-12
199,ITC Properties Group Limited,Real Estate,Real Estate Management & Development,Real Estate,122.1 M,2023,48.338 M,75.623 M,101 M,103.8 M,82.451 M,157.3 M,222.7 M,122 M,140.1 M,147.1 M,161 M,130 M,154.2 M
2322,Hong Kong ChaoShang Group Limited,Industrials,Trading Companies & Distributors,Capital Goods,383.2 M,2023,365.2 M,438.8 M,409.7 M,464.5 M,454 M,513.5 M,516 M,453.7 M,460.8 M,508.6 M,417.9 M,241.3 M,171.3 M
83,Sino Land Company Limited,Real Estate,Real Estate Management & Development,Real Estate,11.009 B,2023,3.163 B,2.236 B,3.878 B,2.304 B,1.834 B,2.401 B,4.238 B,2.748 B,1.867 B,522.3 M,1.384 B,1.213 B,2.629 B
321,Texwinca Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,246.4 M,2023,147.6 M,178.7 M,173.3 M,186.7 M,223.1 M,242.9 M,240.7 M,177.7 M,168.2 M,178.1 M,140.9 M,257 M,198.8 M
335,Upbest Group Limited,Financials,Consumer Finance,Diversified Financials,205 M,2023,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,Johnson Electric Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,1.056 B,2023,1.265 B,1.435 B,1.384 B,2.06 B,1.842 B,2.269 B,2.429 B,2.263 B,2.053 B,1.686 B,1.753 B,2.374 B,1.946 B
241,Alibaba Health Information Technology Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,10.981 B,2023,8.455 B,7.012 B,6.349 B,9.063 B,17.041 B,27.588 B,35.822 B,37.499 B,31.927 B,36.929 B,19.398 B,13.112 B,10.071 B
247,Tsim Sha Tsui Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,5.729 B,2023,12.229 B,10.462 B,9.692 B,9.649 B,9.495 B,9.391 B,12.079 B,12.092 B,9.649 B,9.622 B,8.791 B,8.541 B,10.427 B
855,China Water Affairs Group Limited,Utilities,Water Utilities,Utilities,1.358 B,2023,4.094 B,4.195 B,4.303 B,4.883 B,4.157 B,3.578 B,3.525 B,3.47 B,3.237 B,3.188 B,3.103 B,3.108 B,2.967 B
989,Hua Yin International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,385.4 M,2023,511.3 M,592.7 M,537.9 M,731.3 M,538 M,552.5 M,622.6 M,653.9 M,491.7 M,353.9 M,367 M,382 M,426.8 M
105,Associated International Hotels Limited,Real Estate,Real Estate Management & Development,Real Estate,429.7 M,2023,389.8 M,496.9 M,536.1 M,543.3 M,569.6 M,608.2 M,596.4 M,596.2 M,598.5 M,658.8 M,716.9 M,806.6 M,957 M
266,Tian Teck Land Limited,Real Estate,Real Estate Management & Development,Real Estate,238.9 M,2023,709.2 M,798.6 M,849.5 M,870.5 M,954.7 M,978.6 M,1.004 B,997.7 M,1.063 B,1.104 B,1.114 B,1.2 B,1.294 B
25,Chevalier International Holdings Limited,Industrials,Industrial Conglomerates,Capital Goods,271.2 M,2023,179.4 M,234.6 M,169.6 M,193.6 M,179.4 M,234.1 M,225.2 M,243.9 M,205.8 M,277 M,308.2 M,390.1 M,453.2 M
1023,Sitoy Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,107.6 M,2023,73.402 M,34.269 M,28.945 M,36.348 M,25.677 M,28.227 M,47.996 M,31.266 M,18.794 M,19.461 M,31.875 M,31.247 M,93.984 M
1982,Nameson Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,153.9 M,2023,239.8 M,220.7 M,257.6 M,282.6 M,237.5 M,289.4 M,275.2 M,277.8 M,261.1 M,276.1 M,313.5 M,362.1 M,308.2 M
1469,Get Nice Financial Group Limited,Financials,Capital Markets,Diversified Financials,207 M,2023,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2633,Jacobson Pharma Corporation Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",218.2 M,2023,305.3 M,282.5 M,265.4 M,263.7 M,306.4 M,318.6 M,330.1 M,363.6 M,364.4 M,434.4 M,394.1 M,493 M,365.4 M
1651,Precision Tsugami (China) Corporation Limited,Industrials,Machinery,Capital Goods,385.2 M,2023,297.4 M,396.4 M,337.2 M,375.4 M,442.7 M,487 M,401.6 M,316.2 M,277.3 M,259.3 M,264.2 M,294.7 M,268.7 M
1468,Kingkey Financial International (Holdings) Limited,Financials,Capital Markets,Diversified Financials,1.554 B,2023,1.582 B,500.1 M,502.8 M,591.5 M,606.8 M,617.1 M,392.1 M,186.8 M,185.8 M,203 M,198.4 M,247.2 M,158.3 M
2199,Regina Miracle International (Holdings) Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,461.6 M,2023,833.7 M,1.246 B,1.216 B,1.495 B,905.8 M,915 M,813.8 M,855.3 M,735.3 M,751.9 M,909.3 M,1.15 B,1.181 B
1243,Wang On Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,110.4 M,2023,159.4 M,242 M,327.8 M,471.8 M,444 M,400 M,361.2 M,419.6 M,265.9 M,331.2 M,1.783 B,1.643 B,1.905 B
1929,Chow Tai Fook Jewellery Group Limited,Consumer Discretionary,Specialty Retail,Retailing,19.364 B,2023,21.691 B,20.303 B,20.291 B,20.078 B,20.187 B,23.898 B,17.157 B,14.457 B,15.31 B,11.838 B,9.504 B,11.971 B,9.612 B
2221,New Concepts Holdings Limited,Industrials,Construction & Engineering,Capital Goods,120.7 M,2023,148.6 M,96.728 M,105.8 M,109.8 M,145.3 M,107.9 M,89.193 M,86.579 M,110.5 M,119.1 M,115.4 M,126.9 M,137.3 M
1854,China Wantian Holdings Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,108.4 M,2023,106.7 M,53.65 M,52.612 M,60.617 M,51.202 M,22.451 M,13.857 M,17.633 M,15.145 M,16.283 M,16.928 M,29.616 M,39.444 M
1729,Time Interconnect Technology Limited,Industrials,Electrical Equipment,Capital Goods,421.4 M,2023,499.5 M,504.7 M,407.7 M,295.4 M,222.4 M,220.7 M,222.4 M,202.8 M,49.65 M,56.769 M,45.212 M,82.762 M,87.546 M
1373,International Housewares Retail Company Limited,Consumer Discretionary,Specialty Retail,Retailing,258.6 M,2023,251.6 M,273 M,244.1 M,247.5 M,257.1 M,274.2 M,241.7 M,218.9 M,202.8 M,218.3 M,190.9 M,182.5 M,118.4 M
973,L'Occitane International S.A.,Consumer Staples,Personal Products,Household & Personal Products,3.595 B,2023,3.822 B,5.182 B,5.335 B,6.524 B,5.414 B,5.83 B,4.858 B,4.463 B,3.384 B,3.303 B,3.124 B,4.452 B,3.441 B
8053,Pizu Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,144.8 M,2023,325.7 M,342.8 M,373.7 M,371.2 M,397.3 M,429 M,446 M,458 M,500.6 M,431.4 M,211.7 M,256.3 M,262.9 M
711,Asia Allied Infrastructure Holdings Limited,Industrials,Construction & Engineering,Capital Goods,118.2 M,2023,303.4 M,286.8 M,292.9 M,312.8 M,293.5 M,314.8 M,278.7 M,258.3 M,289.7 M,324 M,320.2 M,267.1 M,132.8 M
367,Chuang's Consortium International Limited,Real Estate,Real Estate Management & Development,Real Estate,138.5 M,2023,298.3 M,392.3 M,421 M,360.4 M,551.3 M,569.8 M,542.6 M,465.9 M,564.4 M,642.7 M,591.3 M,609.4 M,697.4 M
938,Man Sang International Limited,Real Estate,Real Estate Management & Development,Real Estate,137.7 M,2023,480.1 M,487.2 M,488.3 M,510.5 M,449.3 M,450 M,444.5 M,434.4 M,423.7 M,418.2 M,399.3 M,408.3 M,381.8 M
331,FSE Lifestyle Services Limited,Industrials,Construction & Engineering,Capital Goods,344 M,2023,336.8 M,274.1 M,294.7 M,303.9 M,346.2 M,404.5 M,315.6 M,228.4 M,203.2 M,193.4 M,216 M,220.6 M,163.2 M
345,Vitasoy International Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",2.062 B,2023,2.055 B,1.918 B,2.028 B,2.158 B,2.684 B,3.928 B,4.098 B,4.141 B,4.119 B,4.06 B,3.193 B,3.825 B,4.225 B
160,"Hon Kwok Land Investment Company, Limited",Real Estate,Real Estate Management & Development,Real Estate,194.6 M,2023,607.4 M,641.7 M,655.2 M,681.4 M,700.2 M,767.5 M,690.7 M,669.2 M,628.1 M,640.7 M,564.7 M,639.5 M,627.3 M
985,CST Group Limited,Financials,Capital Markets,Diversified Financials,107.8 M,2023,286.7 M,333.7 M,254.6 M,297.6 M,-172.9 M,-167.5 M,46.114 M,74.017 M,174.2 M,151.7 M,70.343 M,58.997 M,2.899 M
384,China Gas Holdings Limited,Utilities,Gas Utilities,Utilities,7.346 B,2023,11.467 B,12.538 B,10.091 B,15.16 B,20.293 B,21.056 B,24.391 B,24.054 B,17.75 B,19.104 B,20.748 B,22.151 B,22.057 B
1726,HKE Holdings Limited,Industrials,Construction & Engineering,Capital Goods,179.2 M,2023,170.6 M,51.882 M,68.859 M,91.038 M,136.3 M,25.04 M,31.794 M,8.6 M,442.611 K,3.127 M,-398.153 K,4.761 M,23.321 M
237,"Safety Godown Company, Limited",Real Estate,Real Estate Management & Development,Real Estate,117.6 M,2023,93.831 M,102 M,79.645 M,85.734 M,79.433 M,105.7 M,88.181 M,96.261 M,151 M,126.6 M,135.3 M,169.2 M,176.4 M
558,L.K. Technology Holdings Limited,Industrials,Machinery,Capital Goods,1.68 B,2023,1.792 B,2.699 B,2.081 B,2.818 B,3.075 B,2.684 B,1.89 B,365.1 M,209.1 M,210.8 M,204.7 M,228.2 M,219.2 M
2368,Eagle Nice (International) Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,295.1 M,2023,335.3 M,313.1 M,300.3 M,317.5 M,326.7 M,355.8 M,329.2 M,274.5 M,256.1 M,213.2 M,198.8 M,244.2 M,191.8 M
1382,Pacific Textiles Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,466.5 M,2023,404.3 M,517.6 M,612.8 M,626.5 M,653.2 M,779 M,839.6 M,863.4 M,605 M,623.5 M,585.6 M,897.9 M,893.8 M
33,International Genius Company,Consumer Discretionary,Distributors,Retailing,134.8 M,2023,127 M,113.5 M,118.6 M,92.024 M,82.402 M,104.1 M,116.8 M,178.9 M,39.685 M,36.751 M,47.693 M,37.274 M,36.811 M
825,New World Department Store China Limited,Consumer Discretionary,Multiline Retail,Retailing,193.3 M,2023,697.8 M,722.5 M,801.6 M,785.3 M,889.3 M,818.7 M,842.5 M,752.6 M,826.7 M,837.9 M,776.2 M,804.2 M,263.6 M
1668,China South City Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,758 M,2023,4.346 B,4.414 B,4.171 B,4.232 B,4.003 B,4.492 B,4.117 B,4.431 B,3.511 B,3.833 B,4.192 B,4.422 B,4.257 B
6808,Sun Art Retail Group Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,3.002 B,2023,1.283 B,1.499 B,1.824 B,2.175 B,2.821 B,5.507 B,6.583 B,8.74 B,9.567 B,15.824 B,13.678 B,11.309 B,9.43 B
2033,Time Watch Investments Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,108.8 M,2023,440.608 K,-17.766 M,3.894 M,13.773 M,61.141 M,80.157 M,131.3 M,99.107 M,123.5 M,128.9 M,145.7 M,132.2 M,171.1 M
1428,Bright Smart Securities & Commodities Group Limited,Financials,Capital Markets,Diversified Financials,296.2 M,2023,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,National Electronics Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,111.3 M,2023,496.8 M,478.8 M,446 M,440.1 M,404.8 M,421.4 M,368.8 M,366.6 M,418.6 M,422.7 M,400.8 M,397.5 M,453.6 M
26,"China Motor Bus Company, Limited",Real Estate,Real Estate Management & Development,Real Estate,441.5 M,2023,361.6 M,421.9 M,429.1 M,457 M,414.1 M,607.7 M,498.8 M,438.8 M,401.8 M,578 M,303.1 M,461.9 M,499.2 M
129,Asia Standard International Group Limited,Real Estate,Real Estate Management & Development,Real Estate,107.6 M,2023,1.091 B,830.5 M,825.7 M,517.1 M,-247 M,-234.3 M,-769.9 M,-294.9 M,-19.598 M,9.75 M,-295.7 M,-353.7 M,-364.3 M
1686,SUNeVision Holdings Ltd.,Information Technology,IT Services,Software & Services,2.363 B,2023,4.015 B,3.635 B,4.511 B,4.881 B,5.149 B,5.141 B,5.469 B,5.492 B,4.814 B,4.43 B,4.288 B,3.472 B,3.707 B
590,Luk Fook Holdings (International) Limited,Consumer Discretionary,Specialty Retail,Retailing,1.93 B,2023,1.731 B,1.306 B,1.21 B,1.36 B,1.247 B,1.701 B,1.433 B,1.233 B,1.367 B,1.161 B,1.206 B,1.714 B,1.501 B
896,Hanison Construction Holdings Limited,Industrials,Construction & Engineering,Capital Goods,158.4 M,2023,276.2 M,290.8 M,407.6 M,423.5 M,481.8 M,477.6 M,445.7 M,410.4 M,308 M,283.3 M,171.7 M,156.7 M,26.839 M
3306,JNBY Design Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,589.2 M,2023,545.3 M,422.6 M,451.2 M,486.8 M,674.5 M,755.8 M,758.3 M,772.4 M,500.1 M,402.3 M,398.2 M,334.1 M,567.5 M
1050,Karrie International Holdings Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,242 M,2023,285.5 M,461.3 M,497.8 M,520.1 M,475.7 M,547.4 M,490.2 M,409.9 M,353.6 M,351.6 M,321.6 M,373.8 M,307.4 M
391,Mei Ah Entertainment Group Limited,Communication Services,Entertainment,Media,200 M,2023,227 M,98.554 M,101 M,109 M,103 M,100.2 M,106 M,97.912 M,105.9 M,100.5 M,106.4 M,159.8 M,156.3 M
992,Lenovo Group Limited,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,13.581 B,2023,12.601 B,7.69 B,10.457 B,13.065 B,13.887 B,13.707 B,15.081 B,17.859 B,13.733 B,10.575 B,9.384 B,9.124 B,10.848 B
1140,Wealthking Investments Limited,Financials,Capital Markets,Diversified Financials,495.9 M,2023,23.327 M,397.3 M,5.587 M,109.8 M,87.884 M,13.39 M,133.9 M,115.5 M,163.2 M,155.7 M,370.8 M,514.1 M,405.3 M
1709,DL Holdings Group Limited,Financials,Capital Markets,Diversified Financials,495.2 M,2023,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900,AEON Credit Service (Asia) Company Limited,Financials,Consumer Finance,Diversified Financials,270.5 M,2023,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,CSI Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,189.8 M,2023,702 M,499.2 M,517.9 M,559.2 M,803 M,962.4 M,658.6 M,667.7 M,598 M,645 M,458.7 M,443.5 M,647.7 M
1999,Man Wah Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,3.387 B,2023,3.607 B,4.545 B,4.465 B,6.285 B,5.909 B,9.591 B,8.481 B,8.526 B,5.329 B,3.927 B,2.447 B,3.083 B,2.787 B
113,Dickson Concepts (International) Limited,Consumer Discretionary,Specialty Retail,Retailing,201.9 M,2023,27.132 M,23.157 M,-8.014 M,12.678 M,-29.773 M,-1.927 M,-15.144 M,-34 M,-11.023 M,41.365 M,86.223 M,84.265 M,-49.61 M
1125,Lai Fung Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,111.8 M,2023,1.263 B,1.521 B,1.482 B,1.422 B,1.37 B,1.369 B,1.445 B,1.483 B,1.506 B,1.481 B,1.523 B,1.498 B,1.342 B
29,Dynamic Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,301.9 M,2023,286.6 M,224.1 M,275.7 M,303.6 M,291.4 M,379.3 M,409.8 M,391.6 M,434.5 M,451.6 M,355.2 M,303.2 M,354.1 M
659,NWS Holdings Limited,Industrials,Industrial Conglomerates,Capital Goods,3.402 B,2023,2.566 B,3.241 B,2.843 B,2.723 B,3.937 B,3.972 B,4.758 B,4.727 B,4.755 B,4.301 B,4.301 B,4.946 B,5.507 B
1060,Alibaba Pictures Group Limited,Communication Services,Entertainment,Media,1.718 B,2023,739.2 M,1.668 B,1.271 B,1.467 B,2.016 B,2.697 B,2.497 B,2.346 B,3.012 B,2.617 B,2.553 B,3.766 B,3.36 B
53,Guoco Group Limited,Industrials,Industrial Conglomerates,Capital Goods,2.85 B,2023,5.431 B,5.814 B,6.326 B,6.545 B,6.326 B,6.303 B,6.653 B,6.773 B,6.368 B,6.685 B,7.409 B,7.414 B,6.407 B
677,Golden Resources Development International Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,278.9 M,2023,236.3 M,69.293 M,57.182 M,65.69 M,74.993 M,63.203 M,80.131 M,75.326 M,85.02 M,77.797 M,83.445 M,76.403 M,27.15 M
186,Nimble Holdings Company Limited,Consumer Discretionary,Distributors,Retailing,188.9 M,2023,418.9 M,841.4 M,686.7 M,749.8 M,690 M,748.8 M,339.3 M,354.4 M,329.4 M,188.7 M,278.8 M,326.7 M,533.5 M
131,Cheuk Nang (Holdings) Limited,Real Estate,Real Estate Management & Development,Real Estate,174.6 M,2023,318 M,292.2 M,110.6 M,121.6 M,131.6 M,151.1 M,311.1 M,317.4 M,270.2 M,302.4 M,431.3 M,348.6 M,420.8 M
315,SmarTone Telecommunications Holdings Limited,Communication Services,Wireless Telecommunication Services,Telecommunication Services,694.9 M,2023,615.1 M,553.2 M,538.1 M,540.3 M,567.6 M,600.6 M,695.1 M,681.7 M,565.5 M,623.8 M,710.7 M,768 M,836.7 M
147,International Business Settlement Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,181.2 M,2023,261.4 M,353.5 M,418.9 M,345.3 M,237 M,245.4 M,306.8 M,265.7 M,278 M,401.2 M,480.6 M,454.7 M,399.5 M
149,China Agri-Products Exchange Limited,Real Estate,Real Estate Management & Development,Real Estate,105.2 M,2023,296.1 M,322.3 M,326.9 M,345.1 M,329.3 M,341.7 M,407.6 M,358.6 M,332.4 M,318.3 M,318.2 M,331.4 M,333.3 M
8365,Hatcher Group Limited,Financials,Capital Markets,Diversified Financials,140.2 M,2023,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Chen Hsong Holdings Limited,Industrials,Machinery,Capital Goods,147 M,2023,58.724 M,85.161 M,66.503 M,73.418 M,40.553 M,72.89 M,53.436 M,36.076 M,18.734 M,21.372 M,50.203 M,88.82 M,140.5 M
178,Sa Sa International Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,699.7 M,2023,754.7 M,604.8 M,583.8 M,698 M,706.4 M,903.1 M,740 M,513.9 M,593 M,577 M,561.2 M,797.3 M,541.7 M
259,Yeebo (International Holdings) Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,362.6 M,2023,104.1 M,168.9 M,63.953 M,111.3 M,30.135 M,129.6 M,16.154 M,36.523 M,-5.453 M,7.69 M,-26.067 M,-53.685 M,-69.352 M
