Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,EBITDA,EBITDA FQ-1,EBITDA FQ-2,EBITDA FQ-3,EBITDA FQ-4,EBITDA FQ-5,EBITDA FQ-6,EBITDA FQ-7,EBITDA FQ-8,EBITDA FQ-9,EBITDA FQ-10,EBITDA FQ-11,EBITDA FQ-12
9913,Chi Kan Holdings Limited,Industrials,Construction & Engineering,Capital Goods,270.1 M,2023,6.641 M,2.083 M,1.265 M,1.279 M,3.839 M,3.849 M,932.349 K,934.927 K,1.889 M,1.889 M,2.337 M,2.332 M,1.793 M
2153,"Tat Hong Equipment Service Co., Ltd.",Industrials,Construction & Engineering,Capital Goods,196.2 M,2023,38.02 M,9.721 M,11.059 M,11.034 M,13.038 M,13.021 M,11.955 M,12.254 M,13.503 M,15.013 M,-,-,-
1942,MOG Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,1.543 B,2023,-951.737 K,-1.699 M,1.245 M,1.257 M,160.107 K,159.902 K,1.043 M,1.074 M,632.896 K,613.511 K,1.84 M,1.94 M,1.989 M
2161,JBM (Healthcare) Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",111.1 M,2023,11.037 M,2.798 M,2.727 M,2.74 M,2.066 M,2.072 M,3.109 M,3.118 M,3.659 M,3.659 M,-,-,-
1082,Bradaverse Education (Int'l) Investments Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,129.2 M,2023,-979.109 K,-,-205.909 K,-142.427 K,-129.929 K,-130.127 K,-348.13 K,-347.701 K,-347.824 K,-347.934 K,-2.917 M,-2.916 M,-1.261 M
1989,Pine Care Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,103.5 M,2023,4.035 M,938.586 K,1.031 M,984.28 K,1.493 M,1.497 M,647.325 K,1.036 M,1.953 M,1.953 M,952.125 K,947.27 K,1.973 M
1082,Bradaverse Education (Int'l) Investments Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,129.2 M,2023,-,-,-205.909 K,-142.427 K,-129.929 K,-130.127 K,-348.13 K,-347.701 K,-347.824 K,-347.934 K,-2.917 M,-2.916 M,-1.261 M
6889,"DYNAM JAPAN HOLDINGS Co., Ltd.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,479.5 M,2023,271.1 M,78.215 M,73.954 M,78.212 M,65.327 M,65.45 M,30.949 M,33.189 M,23.003 M,22.472 M,61.934 M,61.281 M,89.299 M
1023,Sitoy Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,107.6 M,2023,31.347 M,7.932 M,7.657 M,7.67 M,4.561 M,4.568 M,595.995 K,595.26 K,-245.276 K,-245.354 K,-8.374 M,-8.372 M,4.513 M
1468,Kingkey Financial International (Holdings) Limited,Financials,Capital Markets,Diversified Financials,1.554 B,2023,-1.913 M,-391.683 K,-565.983 K,-568.648 K,-274.769 K,-275.491 K,958.913 K,961.563 K,-367.611 K,-367.588 K,-2.764 M,-2.75 M,-358.971 K
279,Arta TechFin Corporation Limited,Financials,Capital Markets,Diversified Financials,275 M,2023,-,-,-,-,-,-,-,-,-,-,-,-,-
1982,Nameson Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,153.9 M,2023,79.68 M,28.878 M,10.996 M,11.047 M,19.942 M,19.994 M,10.555 M,10.584 M,21.242 M,21.241 M,4.482 M,4.459 M,24.017 M
1243,Wang On Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,110.4 M,2023,-4.516 M,682.116 K,-2.666 M,-2.679 M,-4.477 M,-4.488 M,-5.25 M,-5.265 M,1.716 M,1.716 M,-373.356 K,-371.452 K,46.567 M
2138,EC Healthcare,Consumer Discretionary,Diversified Consumer Services,Consumer Services,1.024 B,2023,51.746 M,13.384 M,12.52 M,12.579 M,19.67 M,19.722 M,13.134 M,13.17 M,6.462 M,6.462 M,9.395 M,9.347 M,18.121 M
8021,WLS Holdings Limited,Industrials,Construction & Engineering,Capital Goods,128.1 M,2023,2.838 K,-209.371 K,1.011 M,-1.159 M,1.351 M,1.447 M,1.455 M,2.05 M,571.506 K,644.302 K,955.062 K,125.897 K,766.559 K
1499,OKG Technology Holdings Limited,Industrials,Construction & Engineering,Capital Goods,242.9 M,2023,4.912 M,3.22 M,-764.112 K,-767.71 K,-1.774 M,-1.779 M,-4.646 M,-4.659 M,-653.61 K,-653.569 K,-1.32 M,-1.313 M,-975.479 K
2199,Regina Miracle International (Holdings) Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,461.6 M,2023,188.9 M,50.813 M,43.742 M,43.948 M,39.779 M,39.883 M,31.227 M,31.313 M,17.872 M,17.871 M,27.138 M,26.999 M,25.513 M
1929,Chow Tai Fook Jewellery Group Limited,Consumer Discretionary,Specialty Retail,Retailing,19.364 B,2023,1.203 B,326.2 M,275.9 M,277.2 M,332 M,332.8 M,354.6 M,355.6 M,241.7 M,241.7 M,170.6 M,169.7 M,183.4 M
2221,New Concepts Holdings Limited,Industrials,Construction & Engineering,Capital Goods,120.7 M,2023,-775.956 K,-1.369 M,982.092 K,986.717 K,-273.291 K,-274.009 K,-2.403 M,-3.279 M,-376.192 K,-376.168 K,-1.986 M,-1.409 M,-500.147 K
384,China Gas Holdings Limited,Utilities,Gas Utilities,Utilities,7.346 B,2023,1.384 B,336.8 M,355.9 M,357.5 M,423.3 M,424.4 M,480 M,481.3 M,470.9 M,470.9 M,473.7 M,471.3 M,442.6 M
973,L'Occitane International S.A.,Consumer Staples,Personal Products,Household & Personal Products,3.595 B,2023,391 M,69.625 M,147.2 M,151.4 M,62.82 M,64.325 M,138 M,143.8 M,38.586 M,36.977 M,99.483 M,101.3 M,41.012 M
8053,Pizu Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,144.8 M,2023,58.283 M,14.671 M,22.736 M,7.721 M,11.983 M,12.702 M,22.265 M,9.712 M,21.931 M,20.086 M,20.594 M,20.117 M,21.815 M
2322,Hong Kong ChaoShang Group Limited,Industrials,Trading Companies & Distributors,Capital Goods,383.2 M,2023,-3.158 M,-1.325 M,-255.576 K,-256.78 K,-1.727 M,-1.732 M,-792.394 K,-794.584 K,-201.225 K,-201.212 K,1.824 M,1.815 M,387.231 K
199,ITC Properties Group Limited,Real Estate,Real Estate Management & Development,Real Estate,122.1 M,2023,-32.141 M,-4.347 M,-11.749 M,-11.805 M,-2.273 M,-2.279 M,-4.974 M,-4.987 M,-10.84 M,-10.839 M,-8.519 M,-8.476 M,-19.1 M
6808,Sun Art Retail Group Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,3.002 B,2023,419.6 M,157.2 M,69.236 M,69.079 M,209.3 M,209 M,-,-,280.3 M,269.3 M,192.2 M,178.3 M,318.9 M
1428,Bright Smart Securities & Commodities Group Limited,Financials,Capital Markets,Diversified Financials,296.2 M,2023,-,-,-,-,-,-,-,-,-,-,-,-,-
57,Chen Hsong Holdings Limited,Industrials,Machinery,Capital Goods,147 M,2023,15.235 M,5.207 M,1.923 M,1.932 M,9.241 M,9.266 M,9.341 M,9.366 M,5.362 M,5.362 M,-234.307 K,-233.112 K,2.377 M
64,Get Nice Holdings Limited,Financials,Capital Markets,Diversified Financials,184.6 M,2023,-,-,-,-,-,-,-,-,-,-,-,-,-
83,Sino Land Company Limited,Real Estate,Real Estate Management & Development,Real Estate,11.009 B,2023,582.6 M,143 M,146.7 M,147 M,321.4 M,321.9 M,699.4 M,698.5 M,112.7 M,112.7 M,74.097 M,74.076 M,87.875 M
52,Fairwood Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,191.4 M,2023,17.294 M,7.144 M,1.508 M,1.515 M,8.529 M,8.552 M,8.468 M,8.491 M,10.261 M,10.261 M,5.229 M,5.203 M,9.711 M
931,China LNG Group Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,269.6 M,2023,-12.117 M,-2.886 M,-3.053 M,-3.067 M,-4.092 M,-4.103 M,-1.499 M,-1.503 M,-419.74 K,-419.714 K,-8.639 M,-8.595 M,-3.663 M
480,HKR International Limited,Real Estate,Real Estate Management & Development,Real Estate,490.1 M,2023,69.748 M,8.838 M,-,-,39.757 M,39.862 M,27.47 M,27.198 M,55.671 M,55.667 M,66.184 M,65.846 M,37.556 M
711,Asia Allied Infrastructure Holdings Limited,Industrials,Construction & Engineering,Capital Goods,118.2 M,2023,-1.702 M,4.674 M,-5.535 M,-5.561 M,5.964 M,5.98 M,-2.448 M,-2.455 M,-4.372 M,-4.372 M,7.169 M,7.132 M,-15.63 K
129,Asia Standard International Group Limited,Real Estate,Real Estate Management & Development,Real Estate,107.6 M,2023,-63.944 M,15.367 M,-45.725 M,-45.941 M,12.466 M,12.499 M,55.036 M,55.188 M,72.539 M,72.534 M,48.315 M,48.068 M,62.973 M
938,Man Sang International Limited,Real Estate,Real Estate Management & Development,Real Estate,137.7 M,2023,-8.735 M,-2.226 M,-2.147 M,-2.157 M,-2.129 M,-2.134 M,-4.122 M,-4.134 M,-2.695 M,-2.695 M,359.941 K,358.106 K,-1.709 M
391,Mei Ah Entertainment Group Limited,Communication Services,Entertainment,Media,200 M,2023,-3.468 M,-100.358 K,-1.637 M,-1.645 M,-146.697 K,-147.083 K,-1.855 M,-1.861 M,4.194 K,4.193 K,-1.295 M,-1.289 M,-825.435 K
985,CST Group Limited,Financials,Capital Markets,Diversified Financials,107.8 M,2023,58.628 M,19.22 M,10.126 M,10.126 M,5.061 M,5.061 M,1.103 M,1.103 M,4.636 M,4.636 M,-4.759 M,-4.759 M,18.069 M
277,Tern Properties Company Limited,Real Estate,Real Estate Management & Development,Real Estate,135.2 M,2023,568.049 K,469.038 K,-185.235 K,-186.108 K,935.293 K,937.75 K,388.608 K,389.682 K,1.045 M,1.045 M,-1.984 M,-1.974 M,1.398 M
163,Emperor International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,313.9 M,2023,24.692 M,5 M,7.363 M,7.398 M,17.753 M,17.8 M,22.399 M,22.461 M,13.74 M,13.739 M,-14.925 M,-14.849 M,43.295 M
8299,Grand T G Gold Holdings Limited,Materials,Metals & Mining,Materials,103 M,2023,9.65 M,2.73 M,3.437 M,666.26 K,3.487 M,1.472 M,1.29 M,2.335 M,-228.217 K,202.902 K,1.675 M,-3.741 M,1.38 M
1271,Grand Ming Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,1.082 B,2023,218.1 M,112.9 M,-3.818 M,-3.836 M,4.814 M,4.827 M,7.939 M,7.961 M,8.868 M,8.868 M,4.768 M,4.744 M,4.24 M
1830,Perfect Medical Health Management Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,646.7 M,2023,50.321 M,17.176 M,10.136 M,10.184 M,21.538 M,21.594 M,10.531 M,10.56 M,12.531 M,12.531 M,11.401 M,11.342 M,21.41 M
1373,International Housewares Retail Company Limited,Consumer Discretionary,Specialty Retail,Retailing,258.6 M,2023,34.008 M,6.976 M,9.758 M,9.82 M,7.731 M,7.74 M,6.786 M,6.799 M,7.882 M,7.885 M,10.198 M,10.179 M,5.161 M
