Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,FCF,FCF FQ-1,FCF FQ-2,FCF FQ-3,FCF FQ-4,FCF FQ-5,FCF FQ-6,FCF FQ-7,FCF FQ-8,FCF FQ-9,FCF FQ-10,FCF FQ-11,FCF FQ-12
1726,HKE Holdings Limited,Industrials,Construction & Engineering,Capital Goods,179.2 M,2023,-12.484 M,-2.642 M,-3.287 M,-3.37 M,-507.667 K,-504.209 K,35.16 K,35.15 K,-305.878 K,-295.945 K,215.249 K,211.049 K,623.25 K
8021,WLS Holdings Limited,Industrials,Construction & Engineering,Capital Goods,128.1 M,2023,-2.354 M,NA,NA,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K
2221,New Concepts Holdings Limited,Industrials,Construction & Engineering,Capital Goods,120.7 M,2023,10.267 M,-3.196 M,8.346 M,8.385 M,-1.908 M,-1.913 M,0 K,0 K,2.895 M,2.895 M,4.363 M,4.234 M,5.133 M
1499,OKG Technology Holdings Limited,Industrials,Construction & Engineering,Capital Goods,242.9 M,2023,-20.69 M,-7.893 M,-2.459 M,-2.471 M,-1.558 M,-1.562 M,-50.747 K,-50.887 K,-384.837 K,-384.813 K,-3.535 M,-3.517 M,-805.913 K
1982,Nameson Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,153.9 M,2023,61.472 M,8.846 M,21.939 M,22.042 M,-16.057 M,-16.099 M,28.831 M,28.91 M,7.911 M,7.911 M,26.037 M,25.904 M,10.503 M
6819,IntelliCentrics Global Holdings Ltd.,Healthcare,Health Care Technology,Healthcare Equipment & Services,288.8 M,2023,-,NA,3.64 M,3.64 M,-1.782 M,-1.782 M,2.575 M,2.575 M,-1.686 M,-1.686 M,0 K,0 K,1.7 M
1797,East Buy Holding Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,4.319 B,2023,67.486 M,38.664 M,0 K,0 K,-69.451 M,-68.419 M,-44.657 M,-43.938 M,-35.186 M,-33.806 M,-36.052 M,-36.806 M,-6.165 M
6858,Honma Golf Limited,Consumer Discretionary,Leisure Products,Consumer Durables & Apparel,254.6 M,2023,34.833 M,11.053 M,8.387 M,8.87 M,16.183 M,16.214 M,5.447 M,5.841 M,10.31 M,10.072 M,-660.737 K,-653.769 K,-2.283 M
8395,Tree Holdings Limited,Consumer Discretionary,Distributors,Retailing,163.4 M,2023,438.277 K,NA,NA,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K
1283,Accel Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,129.4 M,2023,6.413 M,1.462 M,1.748 M,1.757 M,-2.07 M,-2.076 M,2.892 M,2.9 M,2.119 M,2.119 M,1.342 M,1.335 M,-245.736 K
2360,Best Mart 360 Holdings Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,284.1 M,2023,50.406 M,12.762 M,12.472 M,12.53 M,5.445 M,5.459 M,8.663 M,8.687 M,5.449 M,5.449 M,4.223 M,4.202 M,2.002 M
83,Sino Land Company Limited,Real Estate,Real Estate Management & Development,Real Estate,11.009 B,2023,519 M,115.6 M,142.5 M,142.7 M,267.9 M,268.3 M,128.6 M,128.5 M,11.793 M,11.797 M,24.594 M,24.587 M,350.5 M
1271,Grand Ming Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,1.082 B,2023,137.9 M,76.787 M,-7.832 M,-7.869 M,6.553 M,6.57 M,77.646 M,77.861 M,6.045 M,6.045 M,21.247 M,21.139 M,-16.566 M
1373,International Housewares Retail Company Limited,Consumer Discretionary,Specialty Retail,Retailing,258.6 M,2023,70.692 M,18.85 M,16.501 M,16.607 M,19.704 M,19.728 M,10.065 M,10.084 M,24.867 M,24.875 M,15 M,14.973 M,17.166 M
1830,Perfect Medical Health Management Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,646.7 M,2023,39.343 M,19.041 M,637.919 K,640.924 K,23.08 M,23.141 M,11.454 M,11.486 M,22.035 M,22.034 M,10.361 M,10.308 M,24.705 M
711,Asia Allied Infrastructure Holdings Limited,Industrials,Construction & Engineering,Capital Goods,118.2 M,2023,-41.83 M,-10.894 M,-10.045 M,-10.093 M,148.689 K,149.079 K,2.932 M,2.94 M,5.593 M,5.593 M,-18.495 M,-18.401 M,-40.413 M
178,Sa Sa International Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,699.7 M,2023,29.662 M,7.742 M,7.107 M,7.14 M,-2.972 M,-2.98 M,14.185 M,14.225 M,18.041 M,18.04 M,30.53 M,30.374 M,4.035 M
938,Man Sang International Limited,Real Estate,Real Estate Management & Development,Real Estate,137.7 M,2023,-7.728 M,-1.094 M,-2.776 M,-2.79 M,-3.462 M,-3.471 M,-5.259 M,-5.273 M,-2.17 M,-2.17 M,355.813 K,353.999 K,-3.467 M
129,Asia Standard International Group Limited,Real Estate,Real Estate Management & Development,Real Estate,107.6 M,2023,-6.751 M,-15.941 M,12.586 M,12.646 M,-81.019 M,-81.231 M,74.859 M,75.066 M,52.057 M,52.053 M,-67.828 M,-67.482 M,68.607 M
