Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,Quick-Ratio,Quick-Ratio FQ-1,Quick-Ratio FQ-2,Quick-Ratio FQ-3,Quick-Ratio FQ-4,Quick-Ratio FQ-5,Quick-Ratio FQ-6,Quick-Ratio FQ-7,Quick-Ratio FQ-8,Quick-Ratio FQ-9,Quick-Ratio FQ-10,Quick-Ratio FQ-11,Quick-Ratio FQ-12
1989,Pine Care Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,103.5 M,2023,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.4x,0.4x,0.1x,0.1x,0.1x,0.1x,0.5x
199,ITC Properties Group Limited,Real Estate,Real Estate Management & Development,Real Estate,122.1 M,2023,0.2x,0.2x,0.2x,0.2x,0.5x,0.5x,0.1x,0.1x,0.2x,0.2x,0.3x,0.3x,0.4x
163,Emperor International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,313.9 M,2023,0.3x,0.3x,0.3x,0.3x,0.3x,0.3x,0.4x,0.4x,0.5x,0.5x,0.5x,0.5x,0.9x
2322,Hong Kong ChaoShang Group Limited,Industrials,Trading Companies & Distributors,Capital Goods,383.2 M,2023,7.2x,7.2x,9.4x,9.4x,7.2x,7.2x,6.1x,6.1x,3.7x,3.7x,6.9x,6.9x,9.1x
277,Tern Properties Company Limited,Real Estate,Real Estate Management & Development,Real Estate,135.2 M,2023,6.2x,6.2x,8.8x,8.8x,3.9x,3.9x,3.4x,3.4x,4.2x,4.2x,0.9x,0.9x,2.2x
1271,Grand Ming Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,1.082 B,2023,1.1x,1.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.2x,0.2x,0.1x,0.1x,0.4x
2033,Time Watch Investments Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,108.8 M,2023,5.2x,5.2x,5.0x,5.0x,4.3x,4.3x,4.1x,4.1x,4.1x,4.1x,4.5x,4.5x,3.4x
985,CST Group Limited,Financials,Capital Markets,Diversified Financials,107.8 M,2023,0.3x,0.3x,0.9x,0.9x,3.3x,3.3x,6.2x,6.2x,3.6x,3.6x,4.0x,4.0x,4.2x
367,Chuang's Consortium International Limited,Real Estate,Real Estate Management & Development,Real Estate,138.5 M,2023,2.0x,2.0x,2.1x,2.1x,1.1x,1.1x,0.8x,0.8x,1.5x,1.5x,1.1x,1.1x,1.4x
18,Oriental Enterprise Holdings Limited,Communication Services,Media,Media,183.3 M,2023,7.2x,7.2x,5.7x,5.7x,5.5x,5.5x,9.7x,9.7x,6.0x,6.0x,7.2x,7.2x,6.9x
