Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,Revenue,Revenue FQ-1,Revenue FQ-2,Revenue FQ-3,Revenue FQ-4,Revenue FQ-5,Revenue FQ-6,Revenue FQ-7,Revenue FQ-8,Revenue FQ-9,Revenue FQ-10,Revenue FQ-11,Revenue FQ-12
1989,Pine Care Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,103.5 M,2023,34.081 M,8.305 M,8.756 M,8.797 M,8.386 M,8.408 M,8.028 M,8.05 M,7.799 M,7.799 M,7.142 M,7.105 M,6.802 M
1283,Accel Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,129.4 M,2023,61.172 M,13.623 M,17.004 M,17.084 M,18.044 M,18.091 M,17.295 M,17.343 M,15.484 M,15.483 M,16.836 M,16.75 M,16.669 M
9913,Chi Kan Holdings Limited,Industrials,Construction & Engineering,Capital Goods,270.1 M,2023,203.2 M,49.447 M,52.27 M,52.516 M,48.521 M,48.649 M,26.476 M,26.55 M,26.745 M,26.743 M,24.518 M,24.393 M,19.502 M
6889,"DYNAM JAPAN HOLDINGS Co., Ltd.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,479.5 M,2023,763.1 M,207.1 M,222.8 M,235.6 M,228.7 M,229.1 M,237.6 M,254.8 M,218 M,213 M,318.2 M,314.9 M,342.5 M
1468,Kingkey Financial International (Holdings) Limited,Financials,Capital Markets,Diversified Financials,1.554 B,2023,20.436 M,6.19 M,4.039 M,4.058 M,4.095 M,4.106 M,4.288 M,4.3 M,5.288 M,5.288 M,3.756 M,3.737 M,4.262 M
1243,Wang On Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,110.4 M,2023,164.2 M,80.336 M,2.1 M,2.109 M,664.506 K,666.252 K,5.739 M,5.754 M,16.148 M,16.147 M,9.555 M,9.506 M,141.9 M
1499,OKG Technology Holdings Limited,Industrials,Construction & Engineering,Capital Goods,242.9 M,2023,47.974 M,11.608 M,12.409 M,12.468 M,12.281 M,12.313 M,13.925 M,13.963 M,15.255 M,15.255 M,18.191 M,18.098 M,18.39 M
2708,IBO Technology Company Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,119 M,2023,161.1 M,27.324 M,61.51 M,61.371 M,20.645 M,20.619 M,28.207 M,28.314 M,14.04 M,13.493 M,17.109 M,17.402 M,17.171 M
1729,Time Interconnect Technology Limited,Industrials,Electrical Equipment,Capital Goods,421.4 M,2023,653.5 M,209 M,118.1 M,118.6 M,111.8 M,112.1 M,100.7 M,101 M,93.011 M,93.005 M,81.02 M,80.607 M,97.216 M
1082,Bradaverse Education (Int'l) Investments Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,129.2 M,2023,13.097 M,-,3.424 M,3.43 M,2.698 M,2.702 M,1.957 M,1.954 M,880.428 K,880.706 K,1.398 M,1.398 M,2.995 M
